TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:11:13:19:111,358.407,91.700,358.022,0.961,-0.259,-0.101,-31.263,-1.701,-0.167,车中车内底板.001,-24.661,-3.483,-0.859,隧道,-26.637,-2.950,-0.652,道床,
2025:07:11:13:19:316,1.207,92.196,358.159,0.960,-0.267,-0.088,-34.574,-1.701,0.281,车中车内底板.001,-27.878,-3.568,-0.333,隧道,-30.094,-2.950,-0.129,道床,
2025:07:11:13:19:387,2.101,92.278,358.050,0.960,-0.267,-0.081,-35.957,-1.701,0.451,车中车内底板.001,-29.179,-3.589,-0.124,隧道,-31.473,-2.950,0.071,道床,
2025:07:11:13:19:461,2.337,92.290,358.084,0.963,-0.257,-0.076,-35.671,-1.701,0.466,车中车内底板.001,-28.579,-3.592,-0.095,隧道,-30.987,-2.950,0.096,道床,
2025:07:11:13:19:531,2.750,92.231,357.994,0.966,-0.248,-0.069,-35.410,-1.701,0.499,车中车内底板.001,-28.014,-3.598,-0.029,隧道,-30.541,-2.950,0.151,道床,
2025:07:11:13:19:603,3.186,92.167,357.914,0.968,-0.242,-0.064,-35.222,-1.701,0.525,车中车内底板.001,-27.633,-3.597,0.025,隧道,-30.223,-2.950,0.196,道床,
2025:07:11:13:19:675,3.464,92.064,357.836,0.972,-0.229,-0.057,-34.786,-1.701,0.549,车中车内底板.001,-26.754,-3.592,0.076,隧道,-29.481,-2.950,0.237,道床,
2025:07:11:13:19:746,3.672,91.864,357.856,0.979,0.190,0.079,-27.993,2.869,2.151,隧道,-27.112,-1.701,0.528,车中车内底板.001,-16.423,-2.950,0.201,道床,
2025:07:11:13:19:819,4.129,91.582,357.876,0.978,-0.083,0.191,-29.782,-0.988,3.444,隧道,-31.248,1.842,3.078,隧道,-16.423,-2.950,0.201,道床,
2025:07:11:13:19:888,5.104,90.974,357.957,0.967,-0.147,0.209,-31.928,-1.511,3.255,隧道,-31.248,1.842,3.078,隧道,-16.423,-2.950,0.201,道床,
2025:07:11:13:19:959,6.954,90.258,357.685,0.963,-0.161,0.214,-32.396,-1.590,3.213,隧道,-31.248,1.842,3.078,隧道,-16.423,-2.950,0.201,道床,
2025:07:11:13:20:028,8.374,89.474,357.366,0.959,-0.175,0.221,-32.885,-1.645,3.183,隧道,-31.248,1.842,3.078,隧道,-16.423,-2.950,0.201,道床,
2025:07:11:13:20:101,9.322,88.982,357.203,0.988,-0.145,0.047,-23.325,-2.707,1.900,隧道右侧空气墙,-35.769,-0.885,1.313,车中车厢座椅,-33.157,-1.267,1.436,车中车厢内部下部条纹,
2025:07:11:13:20:174,10.337,88.872,357.137,0.989,-0.149,-0.001,-33.018,-1.328,0.997,车中车厢座椅,-18.984,-3.444,0.988,隧道,-30.544,-1.701,0.995,车中车内底板.001,
2025:07:11:13:20:245,11.417,89.072,357.165,0.987,-0.158,-0.017,-33.459,-1.341,0.845,车中车厢座椅,-19.681,-3.541,0.601,隧道,-31.201,-1.701,0.805,车中车内底板.001,
2025:07:11:13:20:316,13.085,89.128,356.883,0.983,-0.180,-0.023,-34.477,-1.363,0.819,车中车厢座椅,-32.631,-1.701,0.776,车中车内底板.001,-22.558,-3.546,0.542,隧道,
2025:07:11:13:20:388,14.166,88.954,356.705,0.982,-0.190,-0.023,-34.956,-1.350,0.831,车中车厢座椅,-33.137,-1.701,0.789,车中车内底板.001,-23.602,-3.544,0.568,隧道,
2025:07:11:13:20:462,14.864,88.634,356.514,0.980,-0.196,-0.020,-35.273,-1.335,0.858,车中车厢座椅,-33.438,-1.701,0.821,车中车内底板.001,-24.246,-3.538,0.632,隧道,
2025:07:11:13:20:531,15.128,88.412,356.445,0.981,-0.193,-0.021,-35.156,-1.337,0.852,车中车厢座椅,-33.306,-1.701,0.812,车中车内底板.001,-23.967,-3.539,0.614,隧道,
2025:07:11:13:20:605,15.470,88.307,356.384,0.990,-0.129,-0.052,-14.468,-3.555,-0.459,隧道,-28.692,-1.701,0.288,车中车内底板.001,-19.112,-2.950,-0.215,道床,
2025:07:11:13:20:675,16.173,88.315,356.244,0.829,-0.554,-0.072,-40.179,-1.371,0.815,车中车厢座椅,-39.684,-1.701,0.772,车中车内底板.001,-36.919,-3.548,0.530,隧道,
2025:07:11:13:20:750,17.033,88.608,356.196,0.786,-0.615,-0.071,-40.532,-1.344,0.840,车中车厢座椅,-40.074,-1.701,0.799,车中车内底板.001,-37.721,-3.542,0.588,隧道,
2025:07:11:13:20:821,18.812,89.082,355.855,0.797,-0.599,-0.074,-40.439,-1.356,0.825,车中车厢座椅,-39.980,-1.701,0.783,车中车内底板.001,-37.524,-3.545,0.555,隧道,
2025:07:11:13:20:895,20.658,89.939,355.677,0.791,-0.607,-0.082,-40.031,-1.701,0.760,车中车内底板.001,-37.623,-3.549,0.511,隧道,-38.404,-2.950,0.592,道床,
2025:07:11:13:20:968,22.491,90.731,355.691,0.785,-0.614,-0.086,-40.076,-1.701,0.750,车中车内底板.001,-37.713,-3.551,0.493,隧道,-38.481,-2.950,0.576,道床,
2025:07:11:13:21:040,24.902,91.418,355.687,0.773,-0.628,-0.087,-40.159,-1.701,0.749,车中车内底板.001,-37.882,-3.551,0.493,隧道,-38.622,-2.950,0.576,道床,
2025:07:11:13:21:109,27.172,92.336,355.583,0.772,-0.629,-0.090,-40.165,-1.701,0.739,车中车内底板.001,-37.892,-3.553,0.474,隧道,-38.632,-2.950,0.560,道床,
2025:07:11:13:21:178,27.412,93.364,355.655,0.784,-0.613,-0.099,-40.074,-1.701,0.704,车中车内底板.001,-37.697,-3.560,0.404,隧道,-38.477,-2.950,0.502,道床,
2025:07:11:13:21:252,27.371,94.124,355.431,0.799,-0.593,-0.095,-39.952,-1.701,0.703,车中车内底板.001,-37.447,-3.560,0.404,隧道,-38.269,-2.950,0.502,道床,
2025:07:11:13:21:321,27.047,94.045,355.060,0.854,-0.520,-0.018,-40.037,-1.328,0.941,车中车厢座椅,-39.424,-1.701,0.928,车中车内底板.001,-36.498,-3.481,0.867,隧道,
2025:07:11:13:21:393,26.512,92.483,353.896,0.926,-0.202,0.320,-41.664,-0.071,1.231,SM_Plug_01a,-35.620,-1.390,3.319,隧道,-41.252,-0.161,1.373,车中车厢内部窗户皮,
2025:07:11:13:21:464,23.975,90.881,353.200,0.923,-0.197,0.330,-41.697,-0.061,1.232,SM_Plug_01a,-35.792,-1.318,3.344,隧道,-41.305,-0.144,1.372,车中车厢内部窗户皮,
2025:07:11:13:21:536,21.713,89.701,353.020,0.920,-0.192,0.341,-41.697,-0.058,1.243,SM_Plug_01a,-35.970,-1.252,3.364,隧道,-41.351,-0.130,1.371,车中车厢内部窗户皮,
2025:07:11:13:21:608,20.065,89.410,353.087,0.938,-0.167,0.305,-41.646,-0.047,1.231,SM_Plug_01a,-35.057,-1.219,3.374,隧道,-41.217,-0.123,1.370,车中车厢内部窗户皮,
