TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:13:57:383,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:13:58:493,0.000,160.000,0.000,0.485,0.207,-0.850,-40.270,2.040,-2.961,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:13:58:578,357.203,330.337,358.252,-0.617,0.205,0.760,-44.517,0.725,3.524,隧道,-42.732,0.131,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:649,357.055,326.780,357.949,-0.665,0.195,0.721,-44.796,0.728,3.523,隧道,-42.766,0.132,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:701,356.949,324.843,357.933,-0.688,0.190,0.700,-44.947,0.729,3.523,隧道,-42.785,0.133,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:749,356.770,321.901,358.142,-0.722,0.186,0.667,-45.190,0.748,3.517,隧道,-42.816,0.136,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:757,356.744,321.547,358.184,-0.725,0.186,0.663,-45.218,0.750,3.516,隧道,-42.820,0.136,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:799,356.695,320.601,358.313,-0.732,0.181,0.657,-45.274,0.740,3.519,隧道,-42.828,0.136,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:822,356.660,320.240,358.415,-0.734,0.179,0.655,-45.290,0.737,3.520,隧道,-42.830,0.136,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:843,356.590,320.024,358.479,-0.735,0.180,0.654,-45.300,0.739,3.520,隧道,-42.832,0.136,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:866,356.566,319.879,358.552,-0.731,0.168,0.661,-45.270,0.693,3.532,隧道,-42.829,0.132,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:888,356.588,319.835,358.605,-0.731,0.159,0.663,-45.265,0.661,3.535,隧道,-42.828,0.129,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:910,356.643,319.871,358.639,-0.729,0.139,0.670,-45.241,0.583,3.543,隧道,-42.826,0.122,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:13:58:933,356.721,319.941,358.664,-0.727,0.128,0.675,-45.218,0.541,3.547,隧道,-42.824,0.119,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
