TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:24:55:928,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:56:931,355.338,248.340,355.812,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:56:978,354.248,248.208,354.041,-0.848,0.263,-0.460,-49.563,2.227,-2.807,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:066,353.914,248.502,353.306,-0.876,0.196,-0.441,-50.621,1.860,-3.068,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:110,354.479,248.863,353.108,-0.884,0.185,-0.430,-50.949,1.814,-3.093,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:145,355.563,249.346,353.057,-0.893,0.164,-0.418,-51.413,1.694,-3.157,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:179,355.912,249.516,353.370,-0.897,0.157,-0.413,-51.612,1.647,-3.182,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:215,355.850,249.614,353.809,-0.899,0.156,-0.409,-51.707,1.651,-3.180,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:247,355.830,249.741,354.206,-0.900,0.155,-0.407,-51.766,1.649,-3.181,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:279,355.729,249.927,354.622,-0.900,0.155,-0.407,-51.771,1.655,-3.178,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:302,355.774,250.013,354.841,-0.901,0.154,-0.407,-51.792,1.644,-3.183,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:328,355.933,250.037,355.196,-0.901,0.150,-0.407,-51.834,1.609,-3.202,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:357,356.125,250.096,355.354,-0.903,0.139,-0.407,-51.973,1.511,-3.255,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:381,356.276,250.105,355.324,-0.904,0.130,-0.408,-52.059,1.429,-3.298,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:403,356.500,250.070,355.369,-0.906,0.107,-0.408,-52.239,1.214,-3.376,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:424,356.870,250.029,355.382,-0.908,0.094,-0.408,-52.451,1.098,-3.459,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:447,357.225,249.969,355.408,-0.911,0.079,-0.404,-52.575,0.944,-3.457,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:468,357.436,249.874,355.483,-0.920,0.071,-0.386,-53.178,0.888,-3.474,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:24:57:478,357.430,249.827,355.535,-0.919,0.071,-0.387,-53.153,0.887,-3.475,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
