TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:10:24:55:928,-42.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:06:10:24:56:931,-42.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:56:978,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:066,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:110,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:145,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:179,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:215,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:247,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:279,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:302,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:328,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:357,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:381,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:403,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:424,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:447,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:468,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:478,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:511,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:533,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:556,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:577,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:600,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:622,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:643,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:667,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:689,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:711,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:732,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:756,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:777,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:799,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:821,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:843,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:867,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:888,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:911,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:934,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:24:57:954,-42.504,-1.621,0.999,-0.116,0.000,-0.042,0.124,0.000,0.000,0.000,
2025:06:10:24:57:975,-42.508,-1.621,0.997,-0.250,0.000,-0.091,0.266,0.000,0.000,0.000,
2025:06:10:24:57:998,-42.510,-1.621,0.996,-0.121,0.000,-0.044,0.128,-1.206,0.000,-0.442,
2025:06:10:24:58:020,-42.520,-1.621,0.992,-0.196,0.000,-0.080,0.212,-1.206,0.000,-0.442,
2025:06:10:24:58:042,-42.527,-1.621,0.989,-0.433,0.000,-0.181,0.469,-1.206,0.000,-0.442,
2025:06:10:24:58:064,-42.530,-1.621,0.988,-0.186,0.000,-0.079,0.202,-1.206,0.000,-0.442,
2025:06:10:24:58:086,-42.541,-1.621,0.983,-0.234,0.000,-0.106,0.257,-1.206,0.000,-0.442,
2025:06:10:24:58:109,-42.549,-1.621,0.980,-0.451,0.000,-0.206,0.496,-3.300,0.000,-1.619,
2025:06:10:24:58:130,-42.552,-1.621,0.978,-0.224,0.000,-0.103,0.247,-3.300,0.000,-1.619,
2025:06:10:24:58:153,-42.567,-1.621,0.969,-0.341,0.000,-0.211,0.401,-3.300,0.000,-1.619,
2025:06:10:24:58:175,-42.579,-1.621,0.962,-0.731,0.000,-0.429,0.847,-3.300,0.000,-1.619,
2025:06:10:24:58:199,-42.586,-1.621,0.959,-0.368,0.000,-0.207,0.422,-3.300,0.000,-1.619,
2025:06:10:24:58:218,-42.604,-1.621,0.950,-0.351,0.000,-0.158,0.385,1.000,0.000,0.480,
2025:06:10:24:58:240,-42.617,-1.621,0.945,-0.749,0.000,-0.335,0.821,1.000,0.000,0.480,
2025:06:10:24:58:264,-42.623,-1.621,0.942,-0.397,0.000,-0.177,0.434,1.000,0.000,0.480,
2025:06:10:24:58:286,-42.643,-1.621,0.933,-0.417,0.000,-0.184,0.455,1.000,0.000,0.480,
2025:06:10:24:58:307,-42.656,-1.621,0.927,-0.791,0.000,-0.347,0.863,1.000,0.000,0.480,
2025:06:10:24:58:331,-42.663,-1.621,0.924,-0.367,0.000,-0.161,0.401,-0.167,0.000,-0.027,
