TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:42:43:792,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:42:44:942,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:42:45:033,4.134,272.866,4.166,-0.964,-0.266,0.012,-3.245,-1.328,1.072,车中车厢座椅,-1.301,-0.792,1.047,underground-connection,-9.117,-2.950,1.146,道床,
2025:06:09:42:45:073,2.731,272.302,3.989,-0.979,-0.202,-0.002,-5.306,-1.396,0.993,车中车厢座椅,-1.304,-0.571,1.000,underground-connection,-12.847,-2.950,0.979,道床,
2025:06:09:42:45:141,1.730,271.506,3.164,-0.965,-0.177,-0.191,-8.430,-1.807,-1.030,车中车厢座椅,-7.853,-1.701,-0.916,车中车内底板.001,-14.162,-2.859,-2.164,隧道,
2025:06:09:42:45:175,1.477,271.165,2.828,-0.965,-0.170,-0.199,-6.896,-1.460,-0.802,车中车厢座椅,-8.269,-1.701,-1.085,车中车内底板.001,-14.184,-2.742,-2.306,隧道,
2025:06:09:42:45:207,1.305,270.784,2.345,-0.965,-0.163,-0.204,-6.743,-1.371,-0.815,车中车厢座椅,-8.699,-1.701,-1.228,车中车内底板.001,-14.321,-2.651,-2.417,隧道,
2025:06:09:42:45:229,1.228,270.424,2.021,-0.965,-0.159,-0.209,-6.746,-1.335,-0.859,车中车厢座椅,-9.447,-1.780,-1.444,车中车厢内部下部条纹,-8.972,-1.701,-1.341,车中车内底板.001,
2025:06:09:42:45:251,1.117,270.075,1.580,-0.966,-0.153,-0.209,-7.066,-1.328,-0.928,车中车厢座椅,-9.452,-1.706,-1.445,车中车厢内部下部条纹,-9.424,-1.701,-1.439,车中车内底板.001,
2025:06:09:42:45:295,0.911,269.228,0.552,-0.971,-0.141,-0.193,-7.897,-1.328,-0.930,车中车厢座椅,-10.490,-1.704,-1.445,车中车厢内部下部条纹,-10.471,-1.701,-1.441,车中车内底板.001,
2025:06:09:42:45:329,0.892,268.682,359.903,-0.969,-0.137,-0.204,-8.138,-1.328,-1.089,车中车厢座椅,-10.773,-1.701,-1.642,车中车内底板.001,-15.666,-2.394,-2.670,隧道,
2025:06:09:42:45:351,0.918,268.318,359.543,-0.970,-0.119,-0.210,-8.532,-1.184,-1.240,车中车厢座椅,-16.890,-2.205,-3.050,应急疏散平台左侧空气墙,-12.349,-1.650,-2.067,应急疏散平台.007|应急疏散平台|Dupli|,
2025:06:09:42:45:374,0.949,268.054,359.239,-0.973,-0.076,-0.216,-16.433,-1.348,-3.050,应急疏散平台左侧空气墙,-17.540,-1.435,-3.296,隧道,-17.247,-1.655,-3.178,隧道,
2025:06:09:42:45:395,0.953,267.846,358.942,-0.973,-0.075,-0.220,-16.100,-1.309,-3.050,应急疏散平台左侧空气墙,-17.268,-1.400,-3.314,隧道,-8.894,-0.750,-1.421,车中车厢内部窗户皮,
2025:06:09:42:45:418,0.988,267.652,358.682,-0.976,-0.076,-0.205,-17.438,-1.425,-3.050,应急疏散平台左侧空气墙,-18.432,-1.503,-3.259,隧道,-8.894,-0.750,-1.421,车中车厢内部窗户皮,
