TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:09:42:43:792,2.000,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:09:42:44:942,2.000,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:033,2.000,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:073,2.000,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:141,2.000,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:175,2.000,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:207,1.991,-1.621,1.000,-0.554,0.000,-0.021,0.554,0.000,0.000,0.000,
2025:06:09:42:45:229,1.984,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:251,1.977,-1.621,1.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:295,1.961,-1.621,1.001,-0.958,0.000,0.005,0.958,0.000,0.000,0.000,
2025:06:09:42:45:329,1.948,-1.621,1.002,-0.273,0.000,0.010,0.273,0.000,0.000,0.000,
2025:06:09:42:45:351,1.947,-1.621,1.001,-0.078,0.000,-0.033,0.085,-0.784,0.000,-0.327,
2025:06:09:42:45:374,1.944,-1.621,1.000,-0.066,0.000,-0.021,0.069,-0.784,0.000,-0.327,
2025:06:09:42:45:395,1.941,-1.621,1.000,-0.160,0.000,-0.006,0.160,-0.784,0.000,-0.327,
2025:06:09:42:45:418,1.937,-1.621,1.000,-0.230,0.000,0.007,0.230,-0.784,0.000,-0.327,
2025:06:09:42:45:440,1.935,-1.621,0.999,0.000,0.000,0.000,0.000,-0.784,0.000,-0.327,
2025:06:09:42:45:473,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.783,0.000,0.327,
2025:06:09:42:45:495,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.783,0.000,0.327,
2025:06:09:42:45:517,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.783,0.000,0.327,
2025:06:09:42:45:539,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.783,0.000,0.327,
2025:06:09:42:45:562,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.783,0.000,0.327,
2025:06:09:42:45:584,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,
2025:06:09:42:45:595,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,
2025:06:09:42:45:629,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,
2025:06:09:42:45:651,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,
2025:06:09:42:45:673,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.002,0.000,0.000,
2025:06:09:42:45:695,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.002,0.000,0.000,
2025:06:09:42:45:718,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.002,0.000,0.000,
2025:06:09:42:45:740,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.002,0.000,0.000,
2025:06:09:42:45:762,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.002,0.000,0.000,
2025:06:09:42:45:783,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:806,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:828,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:850,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:874,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:45:895,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.001,0.000,0.000,
2025:06:09:42:45:918,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.001,0.000,0.000,
2025:06:09:42:45:940,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.001,0.000,0.000,
2025:06:09:42:45:962,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.001,0.000,0.000,
2025:06:09:42:45:985,1.933,-1.621,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:006,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:029,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:051,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:074,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:094,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:118,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:140,1.928,-1.621,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:162,1.925,-1.621,0.998,-0.161,0.000,-0.029,0.164,0.000,0.000,0.000,
2025:06:09:42:46:184,1.922,-1.621,0.997,-0.161,0.000,-0.030,0.164,0.000,0.000,0.000,
2025:06:09:42:46:206,1.922,-1.621,0.997,0.000,0.000,0.000,0.000,-1.614,0.000,-0.304,
2025:06:09:42:46:227,1.920,-1.621,0.996,-0.158,0.000,-0.037,0.162,-1.614,0.000,-0.304,
2025:06:09:42:46:251,1.917,-1.621,0.996,-0.158,0.000,-0.039,0.163,-1.614,0.000,-0.304,
2025:06:09:42:46:273,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,-1.614,0.000,-0.304,
2025:06:09:42:46:295,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,1.614,0.000,0.304,
2025:06:09:42:46:317,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,1.614,0.000,0.304,
2025:06:09:42:46:340,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,1.614,0.000,0.304,
2025:06:09:42:46:362,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,1.614,0.000,0.304,
2025:06:09:42:46:385,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,1.614,0.000,0.304,
2025:06:09:42:46:407,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:429,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:452,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:474,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:496,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:517,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:539,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:562,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:585,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:607,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:628,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:650,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:680,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:702,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:725,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:747,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:769,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:791,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:814,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:836,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:857,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:880,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:902,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:924,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:946,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:969,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:46:991,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:013,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:036,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:059,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:080,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:109,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:131,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:153,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:175,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:202,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:225,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:246,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:269,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:291,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:313,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:337,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:358,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:379,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:402,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:423,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:445,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:468,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:489,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:512,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:534,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:557,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:579,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:602,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:623,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:646,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:668,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:691,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:712,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:735,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:758,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:779,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:801,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:823,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:846,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:868,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:890,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:913,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:935,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:957,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:47:980,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:002,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:024,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:046,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:069,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:091,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:112,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:135,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:158,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:180,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:202,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:224,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:245,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:268,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:291,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:313,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:335,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:358,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:380,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:402,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:425,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:446,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:469,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:490,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:513,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:535,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:557,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:580,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:602,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:624,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:646,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:668,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:691,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:713,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:735,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:758,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:779,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:802,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:823,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:846,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:868,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:891,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:913,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:936,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:958,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:48:980,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:002,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:024,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:046,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:068,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:102,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:124,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:145,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:169,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:190,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:213,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:236,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:257,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:280,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:302,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:324,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:347,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:369,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:391,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:412,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:434,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:458,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:479,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:502,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:523,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:547,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:42:49:575,1.917,-1.621,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
