TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:17:18:946,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:17:20:117,0.000,160.000,0.000,0.275,-0.094,-0.957,-41.196,0.783,-3.506,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:17:20:206,351.807,155.016,2.371,0.352,0.051,-0.935,-40.766,0.321,-3.568,隧道,-41.602,0.199,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:242,352.028,155.495,2.490,0.343,0.047,-0.938,-40.814,0.302,-3.570,隧道,-41.627,0.190,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:306,352.093,155.690,2.505,0.337,0.046,-0.940,-40.847,0.296,-3.571,隧道,-41.644,0.187,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:348,352.314,156.384,2.483,0.326,0.043,-0.944,-40.910,0.279,-3.573,隧道,-41.676,0.179,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:367,352.368,156.560,2.434,0.323,0.042,-0.945,-40.925,0.274,-3.573,隧道,-41.683,0.176,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:390,352.418,156.740,2.359,0.320,0.041,-0.946,-40.939,0.271,-3.573,隧道,-41.691,0.175,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:413,352.457,156.962,2.265,0.317,0.041,-0.947,-40.955,0.269,-3.573,隧道,-41.699,0.174,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:435,352.495,157.188,2.119,0.314,0.040,-0.949,-40.975,0.267,-3.574,隧道,-41.710,0.173,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:458,352.535,157.429,1.991,0.311,0.048,-0.949,-40.989,0.303,-3.570,隧道,-41.717,0.191,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:478,352.566,157.660,1.838,0.308,0.049,-0.950,-41.008,0.308,-3.570,隧道,-41.727,0.193,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:503,352.607,157.949,1.682,0.304,0.052,-0.951,-41.030,0.319,-3.569,隧道,-41.738,0.199,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:524,352.652,158.092,1.590,0.302,0.057,-0.952,-41.037,0.341,-3.566,隧道,-41.742,0.210,-1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:545,352.701,158.255,1.466,0.301,0.058,-0.952,-41.046,0.348,-3.566,隧道,-41.747,0.213,-1.348,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:568,352.735,158.390,1.344,0.303,0.061,-0.951,-41.037,0.360,-3.564,隧道,-41.743,0.219,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:591,352.747,158.478,1.216,0.303,0.062,-0.951,-41.036,0.365,-3.564,隧道,-41.742,0.222,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:611,352.755,158.550,1.083,0.303,0.068,-0.951,-41.742,0.236,-1.345,车中车厢内部上部条纹,-41.035,0.394,-3.561,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:634,352.757,158.576,0.984,0.304,0.070,-0.950,-41.740,0.240,-1.344,车中车厢内部上部条纹,-41.030,0.402,-3.560,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:656,352.765,158.556,0.923,0.307,0.072,-0.949,-41.732,0.245,-1.343,车中车厢内部上部条纹,-41.014,0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:678,352.775,158.541,0.827,0.310,0.074,-0.948,-41.724,0.250,-1.343,车中车厢内部上部条纹,-40.999,0.422,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:701,352.793,158.419,0.787,0.313,0.074,-0.947,-41.716,0.251,-1.343,车中车厢内部上部条纹,-40.983,0.424,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:721,352.807,158.211,0.816,0.318,0.075,-0.945,-41.703,0.254,-1.342,车中车厢内部上部条纹,-40.958,0.430,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:743,352.843,157.859,0.841,0.327,0.078,-0.942,-41.678,0.262,-1.341,车中车厢内部上部条纹,-40.909,0.446,-3.556,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:765,352.864,157.307,0.920,0.337,0.079,-0.938,-41.650,0.264,-1.341,车中车厢内部上部条纹,-40.853,0.450,-3.556,隧道,0.000,0.000,0.000,Null,
2025:06:10:17:20:788,352.899,156.418,1.021,0.422,0.058,-0.905,-40.376,0.364,-3.564,隧道,-41.410,0.221,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:809,352.937,155.268,1.135,0.534,0.027,-0.845,-39.627,0.221,-3.578,隧道,-41.033,0.150,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:821,352.977,154.540,1.224,0.584,0.008,-0.812,-39.236,0.124,-3.588,隧道,-41.033,0.150,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:871,353.270,151.259,1.482,0.739,-0.003,-0.674,-37.531,0.058,-3.594,隧道,-41.033,0.150,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:891,353.459,149.447,1.627,0.770,0.027,-0.638,-37.056,0.267,-3.574,隧道,-39.738,0.173,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:944,354.400,144.802,2.181,0.805,0.038,-0.591,-36.365,0.363,-3.564,隧道,-39.384,0.221,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:967,354.960,142.578,2.624,0.813,0.030,-0.582,-36.194,0.310,-3.569,隧道,-39.293,0.195,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:20:989,355.655,140.751,2.976,0.821,0.023,-0.570,-35.985,0.256,-3.575,隧道,-39.183,0.168,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:21:011,356.567,138.541,3.412,0.833,0.020,-0.554,-35.687,0.240,-3.576,隧道,-39.028,0.160,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:21:033,357.685,136.408,3.769,0.864,-0.005,-0.504,-34.698,0.035,-3.597,隧道,-38.529,0.057,-1.364,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:17:21:055,358.554,134.249,4.124,0.894,-0.006,-0.448,-38.209,0.049,-1.199,SM_Plug_01a (5),-33.415,0.016,-3.598,隧道,-38.054,0.065,-1.363,车中车厢内部窗户皮,
2025:06:10:17:21:078,359.809,131.716,4.091,0.927,0.007,-0.376,-31.323,0.157,-3.585,隧道,-33.415,0.016,-3.598,隧道,-38.054,0.065,-1.363,车中车厢内部窗户皮,
2025:06:10:17:21:099,0.792,129.056,4.040,0.946,-0.026,-0.323,-29.280,-0.285,-3.572,隧道,-36.537,0.080,-1.362,车中车厢内部窗户皮,-38.054,0.065,-1.363,车中车厢内部窗户皮,
2025:06:10:17:21:122,1.268,126.894,3.916,0.961,-0.053,-0.271,-26.686,-0.782,-3.507,隧道,-25.932,-0.824,-3.719,应急疏散平台左侧空气墙,-38.054,0.065,-1.363,车中车厢内部窗户皮,
2025:06:10:17:21:145,1.727,124.314,3.769,0.969,-0.085,-0.233,-24.907,-1.450,-3.287,隧道,-25.894,-1.363,-3.050,应急疏散平台左侧空气墙,-26.800,-0.824,-3.144,应急疏散平台左侧空气墙,
2025:06:10:17:21:167,2.110,121.749,3.696,0.967,-0.119,-0.225,-28.366,-1.650,-2.332,planty,-32.974,-1.081,-1.262,车中车厢座椅,-28.365,-1.650,-2.332,应急疏散平台.005|应急疏散平台|Dupli|,
2025:06:10:17:21:187,2.397,119.198,3.683,0.971,-0.122,-0.207,-28.563,-1.650,-2.017,planty,-31.524,-1.279,-1.385,车中车厢座椅,-28.563,-1.650,-2.017,应急疏散平台.005|应急疏散平台|Dupli|,
2025:06:10:17:21:210,2.584,116.165,3.544,0.977,-0.095,-0.189,-24.574,-1.650,-2.507,planty,-30.959,-1.030,-1.272,车中车厢座椅,-24.574,-1.650,-2.508,应急疏散平台.003|应急疏散平台|Dupli|,
2025:06:10:17:21:243,2.377,112.447,3.307,0.982,-0.022,-0.186,-18.659,-0.460,-3.555,隧道,-21.372,-0.427,-3.558,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:266,2.211,109.229,3.237,0.978,0.049,-0.204,-21.510,1.119,-3.405,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:289,1.921,106.879,3.314,0.983,0.073,-0.170,-18.934,1.813,-3.093,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:310,1.666,104.088,3.411,0.993,0.096,-0.070,-8.747,3.312,-1.403,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:332,1.483,102.271,3.461,0.995,0.100,-0.031,-7.251,3.591,-0.120,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:355,1.232,100.032,3.523,0.995,0.099,0.013,-9.672,3.314,1.400,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:377,1.149,98.671,3.447,0.996,0.089,0.009,-5.952,3.343,1.322,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:399,1.087,97.619,3.331,0.996,0.087,0.013,-5.465,3.287,1.451,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:421,0.971,96.216,3.191,0.997,0.078,-0.022,2.858,3.599,-0.013,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:444,0.875,95.557,3.099,0.996,0.078,-0.040,1.749,3.518,-0.787,隧道,-30.836,0.284,-1.337,车中车厢内部上部条纹,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:465,0.810,95.048,3.034,0.996,0.078,-0.051,0.064,3.381,-1.195,隧道,0.057,3.359,-1.358,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:488,0.765,94.556,2.910,0.996,0.056,-0.069,5.350,2.753,-2.293,隧道,0.057,3.359,-1.358,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:511,0.769,94.150,2.740,0.996,0.050,-0.072,6.683,2.522,-2.565,隧道,0.057,3.359,-1.358,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:533,0.699,93.821,2.528,0.995,0.042,-0.091,1.862,1.924,-3.034,隧道,0.057,3.359,-1.358,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:556,0.523,93.495,2.323,0.995,0.041,-0.091,1.821,1.888,-3.053,隧道,0.057,3.359,-1.358,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:577,0.327,93.180,2.140,0.998,0.034,-0.047,31.485,2.624,-2.450,隧道.002,0.057,3.359,-1.358,隧道,-31.537,-0.182,-1.380,车中车厢内部窗户皮,
2025:06:10:17:21:599,0.086,92.801,1.911,0.998,0.023,0.064,-36.655,0.210,1.358,车中部车厢窗户外皮,-4.040,0.964,3.452,隧道,-37.202,0.198,1.323,车中车厢左车门3-1,
