TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:10:01:23:482,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:01:24:704,0.000,160.000,0.000,0.168,0.054,-0.984,-41.741,1.436,-3.295,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:01:24:801,352.514,256.435,0.714,-0.975,0.189,-0.118,-59.843,3.407,-1.110,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:24:849,352.641,258.795,356.843,-0.978,0.183,-0.103,-60.751,3.460,-0.935,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:24:914,353.238,258.867,356.289,-0.976,0.176,-0.126,-60.697,3.333,-1.353,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:24:967,353.336,259.035,356.179,-0.976,0.177,-0.124,-60.657,3.343,-1.322,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:24:993,353.417,259.006,356.392,-0.973,0.195,-0.124,-59.161,3.397,-1.142,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:016,353.671,258.923,356.536,-0.971,0.201,-0.125,-58.716,3.410,-1.101,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:038,354.048,258.826,356.628,-0.970,0.209,-0.125,-58.180,3.433,-1.025,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:060,354.573,258.676,356.663,-0.970,0.205,-0.127,-58.451,3.425,-1.105,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:082,355.058,258.491,356.700,-0.970,0.203,-0.136,-58.363,3.371,-1.228,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:105,355.283,258.284,356.702,-0.968,0.202,-0.147,-58.176,3.321,-1.388,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:124,355.484,258.044,356.699,-0.960,0.210,-0.183,-56.662,3.150,-1.706,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:148,355.763,257.723,356.907,-0.922,0.275,-0.272,-52.516,3.026,-1.938,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:170,356.009,257.351,357.297,-0.920,0.251,-0.300,-52.557,2.778,-2.262,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:192,356.175,256.891,357.796,-0.914,0.220,-0.342,-52.325,2.406,-2.660,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:216,356.261,256.350,358.393,-0.912,0.208,-0.354,-52.255,2.274,-2.769,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:237,356.164,255.963,358.766,-0.905,0.219,-0.365,-51.834,2.302,-2.746,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:260,356.124,255.447,359.176,-0.896,0.211,-0.391,-51.432,2.150,-2.870,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:282,356.039,254.956,359.662,-0.893,0.215,-0.395,-51.292,2.157,-2.865,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:303,355.951,254.514,0.096,-0.890,0.228,-0.396,-51.084,2.242,-2.795,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:326,355.955,254.045,0.346,-0.885,0.233,-0.404,-50.861,2.244,-2.793,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:347,356.054,253.708,0.444,-0.886,0.223,-0.408,-50.934,2.164,-2.858,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:370,356.200,253.333,0.688,-0.897,0.192,-0.399,-51.537,1.987,-3.000,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:391,356.420,253.002,0.853,-0.927,0.110,-0.357,-53.739,1.389,-3.320,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:415,356.773,252.670,0.770,-0.952,-0.008,-0.307,-56.736,-0.040,-3.596,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:437,357.052,252.409,0.646,-0.954,-0.042,-0.298,-57.070,-0.556,-3.545,隧道,-59.950,3.428,-1.123,隧道,0.000,0.000,0.000,Null,
2025:07:10:01:25:459,357.247,252.134,0.764,-0.954,-0.059,-0.294,-57.330,-0.824,-3.571,应急疏散平台左侧空气墙,-57.095,-0.809,-3.498,隧道,-50.426,-0.388,-1.430,车中部车厢窗户外皮,
2025:07:10:01:25:480,357.386,251.857,0.840,-0.954,-0.060,-0.295,-57.072,-0.824,-3.515,应急疏散平台左侧空气墙,-57.009,-0.820,-3.495,隧道,-50.426,-0.388,-1.430,车中部车厢窗户外皮,
2025:07:10:01:25:503,357.602,251.544,0.696,-0.953,-0.065,-0.297,-55.812,-0.824,-3.156,应急疏散平台左侧空气墙,-56.827,-0.893,-3.473,隧道,-50.426,-0.388,-1.430,车中部车厢窗户外皮,
2025:07:10:01:25:526,357.864,251.453,0.363,-0.954,-0.063,-0.292,-56.394,-0.824,-3.252,应急疏散平台左侧空气墙,-57.139,-0.872,-3.479,隧道,-50.427,-0.432,-1.427,车中部车厢窗户外皮,
2025:07:10:01:25:547,358.287,251.346,0.116,-0.954,-0.067,-0.292,-55.742,-0.848,-3.050,应急疏散平台左侧空气墙,-57.077,-0.942,-3.458,隧道,-50.427,-0.472,-1.426,车中部车厢窗户外皮,
2025:07:10:01:25:571,358.869,251.212,359.962,-0.954,-0.076,-0.289,-55.869,-0.969,-3.050,应急疏散平台左侧空气墙,-57.093,-1.066,-3.420,隧道,-50.428,-0.538,-1.404,车中部车厢窗户外皮,
2025:07:10:01:25:590,359.371,251.154,359.895,-0.954,-0.084,-0.286,-55.976,-1.094,-3.050,应急疏散平台左侧空气墙,-57.084,-1.191,-3.382,隧道,-50.515,-0.614,-1.411,车中车厢内部窗户皮,
2025:07:10:01:25:613,359.937,251.106,359.790,-0.954,-0.093,-0.284,-56.085,-1.227,-3.050,应急疏散平台左侧空气墙,-57.068,-1.322,-3.343,隧道,-50.599,-0.694,-1.417,车中车厢内部窗户皮,
2025:07:10:01:25:634,0.383,251.076,359.654,-0.955,-0.098,-0.280,-56.290,-1.327,-3.050,应急疏散平台左侧空气墙,-57.160,-1.417,-3.305,隧道,-50.735,-0.755,-1.421,车中车厢内部窗户皮,
2025:07:10:01:25:657,0.788,251.016,359.552,-0.954,-0.106,-0.279,-56.309,-1.433,-3.050,应急疏散平台左侧空气墙,-57.010,-1.510,-3.255,隧道,-50.506,-0.791,-1.351,车中车厢座椅,
2025:07:10:01:25:679,1.158,250.949,359.456,-0.954,-0.110,-0.277,-56.420,-1.517,-3.050,应急疏散平台左侧空气墙,-56.992,-1.583,-3.216,隧道,-50.506,-0.832,-1.333,车中车厢座椅,
2025:07:10:01:25:701,1.523,250.856,359.372,-0.954,-0.115,-0.276,-56.467,-1.593,-3.050,应急疏散平台左侧空气墙,-56.922,-1.648,-3.181,隧道,-50.506,-0.872,-1.325,车中车厢座椅,
2025:07:10:01:25:724,2.039,250.671,359.318,-0.953,-0.121,-0.276,-56.445,-1.676,-3.050,应急疏散平台左侧空气墙,-56.771,-1.717,-3.144,隧道,-50.506,-0.921,-1.329,车中车厢座椅,
2025:07:10:01:25:744,2.461,250.422,359.324,-0.952,-0.127,-0.278,-56.347,-1.745,-3.050,应急疏散平台左侧空气墙,-56.567,-1.774,-3.114,隧道,-55.635,-1.650,-2.842,应急疏散平台.008|应急疏散平台|Dupli|,
2025:07:10:01:25:768,2.852,250.066,359.398,-0.950,-0.131,-0.282,-56.121,-1.779,-3.050,应急疏散平台左侧空气墙,-56.287,-1.802,-3.099,隧道,-55.182,-1.650,-2.771,应急疏散平台.008|应急疏散平台|Dupli|,
2025:07:10:01:25:790,3.010,249.625,359.563,-0.950,-0.129,-0.285,-55.969,-1.736,-3.050,应急疏散平台左侧空气墙,-56.196,-1.767,-3.118,隧道,-55.339,-1.650,-2.861,应急疏散平台.008|应急疏散平台|Dupli|,
2025:07:10:01:25:811,3.092,249.061,359.741,-0.947,-0.129,-0.293,-55.567,-1.677,-3.050,应急疏散平台左侧空气墙,-55.872,-1.718,-3.144,隧道,-50.462,-0.996,-1.435,车中车厢内部中部条纹,
2025:07:10:01:25:834,3.089,248.380,359.856,-0.944,-0.128,-0.305,-54.982,-1.592,-3.050,应急疏散平台左侧空气墙,-55.389,-1.647,-3.182,隧道,-50.462,-0.996,-1.435,车中车厢内部中部条纹,
2025:07:10:01:25:857,3.153,247.621,359.929,-0.916,-0.124,-0.380,-52.262,-1.227,-3.050,应急疏散平台左侧空气墙,-52.967,-1.323,-3.343,隧道,-48.327,-0.693,-1.417,车中车厢内部窗户皮,
2025:07:10:01:25:878,3.246,246.896,0.017,-0.886,-0.116,-0.450,-50.491,-0.946,-3.050,应急疏散平台左侧空气墙,-51.234,-1.043,-3.428,隧道,-46.522,-0.428,-1.033,underground-connection (2),
2025:07:10:01:25:900,3.434,246.008,0.230,-0.860,-0.115,-0.497,-49.536,-0.841,-3.050,应急疏散平台左侧空气墙,-50.245,-0.935,-3.460,隧道,-46.505,-0.437,-1.298,underground-connection (2),
2025:07:10:01:25:922,3.650,244.781,0.544,-0.836,-0.122,-0.535,-48.865,-0.830,-3.050,应急疏散平台左侧空气墙,-49.511,-0.924,-3.464,隧道,-46.373,-0.466,-1.455,GameObject,
2025:07:10:01:25:945,3.760,243.752,0.767,-0.814,-0.129,-0.566,-48.363,-0.830,-3.050,应急疏散平台左侧空气墙,-48.957,-0.925,-3.463,隧道,-46.069,-0.466,-1.455,GameObject,
2025:07:10:01:25:968,3.849,242.494,0.893,-0.796,-0.131,-0.590,-48.100,-0.824,-3.121,应急疏散平台左侧空气墙,-48.572,-0.901,-3.470,隧道,-45.853,-0.453,-1.455,GameObject,
2025:07:10:01:25:990,3.903,240.882,0.981,-0.781,-0.134,-0.610,-47.870,-0.824,-3.170,应急疏散平台左侧空气墙,-48.334,-0.904,-3.533,隧道,-45.677,-0.446,-1.455,GameObject,
2025:07:10:01:26:012,3.871,239.546,0.965,-0.772,-0.138,-0.621,-47.660,-0.824,-3.121,应急疏散平台左侧空气墙,-45.517,-0.439,-1.398,车中车厢内部窗户皮,-48.094,-0.901,-3.470,隧道,
2025:07:10:01:26:035,3.826,237.723,0.844,-0.758,-0.138,-0.637,-47.600,-0.824,-3.262,应急疏散平台左侧空气墙,-45.382,-0.421,-1.397,车中车厢内部窗户皮,-47.859,-0.871,-3.480,隧道,
2025:07:10:01:26:057,3.808,236.108,0.733,-0.748,-0.135,-0.649,-47.631,-0.824,-3.427,应急疏散平台左侧空气墙,-45.290,-0.402,-1.396,车中车厢内部窗户皮,-47.704,-0.837,-3.490,隧道,
2025:07:10:01:26:077,3.808,234.164,0.664,-0.728,-0.133,-0.672,-47.576,-0.824,-3.661,应急疏散平台左侧空气墙,-45.120,-0.376,-1.394,车中车厢内部窗户皮,-47.451,-0.801,-3.546,隧道,
2025:07:10:01:26:101,3.793,231.859,0.557,-0.685,-0.127,-0.717,-46.855,-0.705,-3.530,隧道,-45.014,-0.353,-1.392,车中车厢内部窗户皮,-47.222,-0.750,-3.516,隧道,
2025:07:10:01:26:123,3.811,229.500,0.376,-0.539,-0.094,-0.837,-45.486,-0.423,-3.558,隧道,-45.014,-0.353,-1.392,车中车厢内部窗户皮,-47.222,-0.750,-3.516,隧道,
