TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:27:15:601,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:27:16:819,0.000,160.000,0.000,0.260,-0.094,-0.961,-41.260,0.680,-3.533,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:27:16:951,353.071,71.890,358.728,0.973,0.024,0.229,-41.575,0.098,1.231,SM_Plug_01a,-31.642,0.345,3.566,隧道,-41.053,0.111,1.353,车中车厢内部窗户皮,
2025:06:16:27:17:057,352.889,73.648,358.726,0.966,0.030,0.258,-41.651,0.101,1.231,SM_Plug_01a,-32.921,0.374,3.563,隧道,-41.194,0.115,1.353,车中车厢内部窗户皮,
2025:06:16:27:17:115,353.025,74.528,358.769,0.964,0.044,0.260,-41.650,0.111,1.231,SM_Plug_01a,-33.060,0.504,3.550,隧道,-41.203,0.131,1.351,车中车厢内部窗户皮,
2025:06:16:27:17:165,353.235,74.930,358.813,0.965,0.052,0.257,-41.636,0.118,1.231,SM_Plug_01a,-32.951,0.588,3.542,隧道,-41.186,0.142,1.350,车中车厢内部窗户皮,
2025:06:16:27:17:188,353.418,74.986,358.894,0.965,0.054,0.258,-41.637,0.119,1.231,SM_Plug_01a,-32.988,0.604,3.541,隧道,-41.190,0.144,1.350,车中车厢内部窗户皮,
2025:06:16:27:17:211,353.473,74.951,358.948,0.964,0.056,0.260,-41.644,0.120,1.231,SM_Plug_01a,-33.076,0.615,3.539,隧道,-41.201,0.145,1.350,车中车厢内部窗户皮,
2025:06:16:27:17:233,353.548,74.834,359.022,0.963,0.056,0.263,-41.656,0.120,1.231,SM_Plug_01a,-33.217,0.614,3.539,隧道,-41.220,0.145,1.350,车中车厢内部窗户皮,
2025:06:16:27:17:257,353.542,74.799,359.114,0.962,0.061,0.267,-41.666,0.122,1.231,SM_Plug_01a,-33.349,0.648,3.536,隧道,-41.236,0.149,1.350,车中车厢内部窗户皮,
2025:06:16:27:17:279,353.543,74.882,359.222,0.962,0.064,0.266,-41.664,0.124,1.231,SM_Plug_01a,-33.349,0.675,3.534,隧道,-41.236,0.153,1.349,车中车厢内部窗户皮,
2025:06:16:27:17:299,353.540,74.893,359.292,0.961,0.065,0.267,-41.667,0.125,1.231,SM_Plug_01a,-33.393,0.686,3.532,隧道,-41.241,0.154,1.349,车中车厢内部窗户皮,
2025:06:16:27:17:323,353.533,75.024,359.310,0.962,0.066,0.266,-41.662,0.126,1.231,SM_Plug_01a,-33.346,0.697,3.531,隧道,-41.234,0.156,1.349,车中车厢内部窗户皮,
2025:06:16:27:17:344,353.512,75.268,359.351,0.962,0.066,0.265,-41.656,0.126,1.231,SM_Plug_01a,-33.293,0.699,3.531,隧道,-41.225,0.156,1.349,车中车厢内部窗户皮,
2025:06:16:27:17:367,353.431,75.698,359.313,0.964,0.067,0.258,-41.632,0.129,1.231,SM_Plug_01a,-33.063,0.725,3.524,隧道,-41.191,0.160,1.349,车中车厢内部窗户皮,
2025:06:16:27:17:389,353.377,76.233,359.333,0.967,0.066,0.247,-41.593,0.131,1.231,SM_Plug_01a,-32.653,0.744,3.518,隧道,-41.133,0.162,1.348,车中车厢内部窗户皮,
2025:06:16:27:17:411,353.373,76.836,359.338,0.993,-0.019,0.115,-19.943,-0.349,3.635,隧道,-20.528,-0.338,3.567,隧道,-41.133,0.162,1.348,车中车厢内部窗户皮,
2025:06:16:27:17:435,353.372,77.635,359.275,0.996,-0.032,0.085,-13.674,-0.855,3.485,隧道,-38.460,-0.048,1.365,车中车厢内部窗户皮,-38.050,-0.062,1.400,车中车厢左车门3-2,
2025:06:16:27:17:456,353.435,78.745,359.256,0.997,-0.047,0.064,-36.655,-0.193,1.393,车中部车厢窗户外皮,-7.929,-1.561,3.228,隧道,-37.456,-0.155,1.342,车中车厢左车门3-2,
2025:06:16:27:17:477,353.506,79.894,359.251,0.997,-0.056,0.051,-4.606,-2.039,2.961,隧道,-36.238,-0.215,1.377,车中车厢内部窗户皮,-36.748,-0.191,1.348,车中车厢左车门3-1,
2025:06:16:27:17:498,353.583,80.813,359.286,0.995,-0.068,0.075,-14.921,-1.795,3.103,隧道,-38.028,-0.217,1.352,车中车厢左车门3-2,-37.355,-0.263,1.403,车中车厢左车门3-1,
2025:06:16:27:17:521,353.688,82.020,359.347,0.995,-0.073,0.075,-15.251,-1.924,3.053,隧道,-37.985,-0.244,1.348,车中车厢左车门3-2,-37.355,-0.291,1.395,车中车厢左车门3-1,
2025:06:16:27:17:543,353.814,82.773,359.484,0.995,-0.077,0.070,-36.656,-0.365,1.418,车中部车厢窗户外皮,-14.892,-2.059,2.945,隧道,-37.622,-0.290,1.351,车中车厢左车门3-2,
2025:06:16:27:17:565,353.922,83.494,359.580,0.994,-0.075,0.080,-16.726,-1.861,3.068,隧道,-38.039,-0.248,1.362,车中车厢左车门3-2,-37.356,-0.300,1.417,车中车厢左车门3-1,
