TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:17:01:19:388,0,160,0,0,0,0,0,0,0,Null,0,0,0,Null,0,0,0,Null
2025:06:17:01:20:587,0,160,0,0.28,0.052,-0.959,-41.223,1.341,-3.337,隧道,0,0,0,Null,0,0,0,Null
2025:06:17:01:20:679,359.475,356.773,1.271,0.006,0.077,0.997,-42.493,0.267,3.574,隧道,-42.507,0.092,1.327,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:711,358.261,356.876,0.116,0.009,0.101,0.995,-42.485,0.323,3.568,隧道,-42.507,0.096,1.326,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:765,357.901,356.923,359.879,0.01,0.117,0.993,-42.483,0.364,3.564,隧道,-42.506,0.099,1.326,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:809,356.881,356.963,359.097,0.01,0.144,0.99,-42.483,0.429,3.558,隧道,-42.506,0.104,1.326,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:832,356.503,357.115,358.944,0.012,0.156,0.988,-42.478,0.459,3.555,隧道,-42.505,0.106,1.326,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:854,356.193,357.363,358.769,0.016,0.165,0.986,-42.469,0.481,3.553,隧道,-42.504,0.108,1.326,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:877,355.845,357.713,358.469,0.021,0.179,0.984,-42.454,0.515,3.549,隧道,-42.502,0.11,1.326,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:900,355.499,358.063,358.154,0.028,0.188,0.982,-42.438,0.538,3.547,隧道,-42.5,0.112,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:922,355.151,358.44,357.894,0.034,0.196,0.98,-42.42,0.557,3.545,隧道,-42.498,0.114,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:943,354.645,358.963,357.7,0.043,0.209,0.977,-42.398,0.591,3.542,隧道,-42.495,0.116,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:966,354.446,359.264,357.536,0.048,0.231,0.972,-42.384,0.647,3.536,隧道,-42.493,0.12,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:20:988,354.332,359.593,357.246,0.052,0.257,0.965,-42.373,0.712,3.528,隧道,-42.492,0.125,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:21:010,354.293,359.895,356.981,0.057,0.261,0.964,-42.359,0.723,3.525,隧道,-42.49,0.126,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:21:032,354.425,0.222,356.856,0.057,0.268,0.962,-42.359,0.74,3.519,隧道,-42.489,0.127,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:21:054,354.532,0.749,356.643,0.064,0.267,0.962,-42.341,0.736,3.521,隧道,-42.486,0.127,1.325,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:21:076,354.805,1.4,356.062,0.076,0.262,0.962,-42.308,0.724,3.524,隧道,-42.482,0.127,1.328,车中车厢左车门4-2,0,0,0,Null
2025:06:17:01:21:099,355.375,2.176,355.539,0.099,0.245,0.965,-42.25,0.683,3.533,隧道,-42.474,0.13,1.351,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:122,356.217,3.002,355.358,0.158,0.219,0.963,-42.1,0.622,3.539,隧道,-42.462,0.12,1.332,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:144,356.892,4.151,354.97,0.307,0.07,0.949,-41.705,0.258,3.575,隧道,-42.431,0.092,1.329,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:167,357.684,5.453,354.453,0.348,0.022,0.937,-41.581,0.137,3.587,隧道,-42.419,0.083,1.33,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:189,359.025,6.565,354.066,0.356,-0.023,0.934,-41.55,0.018,3.598,隧道,-42.414,0.074,1.331,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:210,0.492,7.921,353.682,0.363,-0.046,0.931,-41.524,-0.041,3.596,隧道,-42.408,0.07,1.331,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:233,2.161,9.456,353.533,0.362,-0.038,0.931,-41.523,-0.022,3.598,隧道,-42.404,0.071,1.331,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:254,3.718,10.995,353.514,0.376,-0.047,0.926,-41.478,-0.045,3.596,隧道,-42.397,0.069,1.331,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:277,5.519,13.123,353.355,0.402,-0.07,0.913,-41.39,-0.109,3.589,隧道,-42.384,0.064,1.331,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:300,7.322,15.484,353.36,0.428,-0.092,0.899,-41.298,-0.172,3.583,隧道,-42.371,0.059,1.332,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:322,8.69,17.888,353.351,0.451,-0.091,0.888,-41.214,-0.17,3.583,隧道,-42.358,0.059,1.332,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:345,10.783,20.525,353.858,0.49,-0.114,0.864,-41.066,-0.242,3.576,隧道,-42.339,0.053,1.332,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:365,12.327,22.933,354.193,0.583,-0.202,0.787,-40.658,-0.541,3.547,隧道,-42.297,0.028,1.334,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:388,14.056,25.992,354.555,0.657,-0.271,0.703,-40.232,-0.83,3.492,隧道,-42.247,0.001,1.335,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:412,15.132,29.1,354.789,0.729,-0.348,0.59,-39.665,-1.242,3.367,隧道,-42.171,-0.044,1.338,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:422,16.09,30.659,355.3,0.767,-0.375,0.52,-39.258,-1.47,3.277,隧道,-42.112,-0.074,1.34,车中车厢左车门4-1,-42.476,0.125,1.333,车中车厢左车门4-2
2025:06:17:01:21:471,17.382,35.694,356.296,0.88,-0.314,0.357,-41.766,-0.152,1.384,车中部车厢窗户外皮,-37.416,-1.704,3.152,隧道,-41.868,-0.116,1.343,车中车厢左车门4-1
2025:06:17:01:21:491,18.485,40.23,357.285,0.908,-0.295,0.299,-36.458,-1.854,3.071,隧道,-41.615,-0.178,1.374,车中车厢内部窗户皮,-41.868,-0.116,1.343,车中车厢左车门4-1
2025:06:17:01:21:514,19.142,44.564,358.206,0.924,-0.284,0.254,-35.585,-2.017,2.979,隧道,-41.411,-0.224,1.377,车中车厢内部窗户皮,-41.868,-0.116,1.343,车中车厢左车门4-1
2025:06:17:01:21:535,19.173,47.067,358.765,0.924,-0.264,0.277,-41.697,-0.12,1.31,SM_Plug_01a,-35.764,-1.818,3.091,隧道,-41.484,-0.181,1.374,车中车厢内部窗户皮
2025:06:17:01:21:557,19.074,50.342,359.431,0.927,-0.259,0.27,-41.697,-0.114,1.296,SM_Plug_01a,-35.545,-1.832,3.083,隧道,-41.424,-0.19,1.375,车中车厢内部窗户皮
2025:06:17:01:21:581,18.944,53.859,0.217,0.917,-0.255,0.306,-41.697,-0.111,1.316,SM_Plug_01a,-36.129,-1.658,3.176,隧道,-41.528,-0.158,1.373,车中车厢内部窗户皮
2025:06:17:01:21:603,18.734,57.8,1.212,0.927,-0.247,0.282,-41.697,-0.101,1.286,SM_Plug_01a,-35.6,-1.723,3.141,隧道,-41.406,-0.179,1.374,车中车厢内部窗户皮
2025:06:17:01:21:624,18.5,60.23,1.884,0.914,-0.24,0.327,-41.697,-0.099,1.315,SM_Plug_01a,-36.285,-1.522,3.249,隧道,-41.539,-0.14,1.371,车中车厢内部窗户皮
2025:06:17:01:21:645,18.245,63.596,2.579,0.933,-0.232,0.275,-41.697,-0.088,1.264,SM_Plug_01a,-35.265,-1.687,3.161,隧道,-41.323,-0.181,1.374,车中车厢内部窗户皮
2025:06:17:01:21:669,17.721,67.738,3.567,0.964,-0.228,0.139,-32.966,-2.142,2.409,隧道右侧空气墙,-31.579,-2.47,2.608,隧道,-41.292,-0.179,1.374,车中车厢内部窗户皮
2025:06:17:01:21:691,17.081,70.298,4.474,0.979,-0.2,0.049,-25.554,-3.353,1.9,隧道右侧空气墙,-36.589,-1.1,1.342,车中车厢座椅,-34.685,-1.488,1.438,车中车厢内部下部条纹
2025:06:17:01:21:714,16.314,73.208,5.426,0.982,-0.186,0.027,-35.332,-1.253,1.235,车中车厢座椅,-32.968,-1.701,1.3,车中车内底板.001,-24.81,-3.248,1.523,隧道
2025:06:17:01:21:735,15.388,75.915,6.265,0.985,-0.175,0.006,-34.431,-1.328,1.081,车中车厢座椅,-32.33,-1.701,1.093,车中车内底板.001,-22.786,-3.396,1.147,隧道
2025:06:17:01:21:757,14.375,78.503,6.932,0.987,-0.153,-0.056,-18.766,-3.572,-0.294,隧道,-30.852,-1.701,0.39,车中车内底板.001,-22.784,-2.95,-0.066,道床
2025:06:17:01:21:779,13.316,80.267,7.45,0.986,-0.165,0.037,-19.923,-3.68,1.9,隧道右侧空气墙,-35.964,-0.992,1.29,车中车厢座椅,-23.293,-3.115,1.772,隧道
2025:06:17:01:21:802,12.245,81.015,7.937,0.99,-0.139,0.006,-31.524,-1.441,1.151,车中车厢座椅,-17.775,-3.369,1.235,隧道,-29.667,-1.701,1.163,车中车内底板.001
2025:06:17:01:21:833,10.537,80.719,8.62,0.982,-0.146,0.116,-41.575,-0.037,1.231,SM_Plug_01a,-27.519,-2.129,2.888,隧道,-38.482,-0.449,1.393,车中车厢内部窗户皮
2025:06:17:01:21:856,9.703,78.474,8.87,0.961,-0.155,0.229,-41.697,-0.027,1.33,SM_Plug_01a,-33.251,-1.386,3.345,隧道,-41.549,-0.051,1.365,车中车厢内部窗户皮
2025:06:17:01:21:879,8.632,77.037,9.073,0.963,-0.129,0.235,-41.697,-0.01,1.339,SM_Plug_01a,-33.251,-1.138,3.402,隧道,-41.595,-0.023,1.363,车中车厢内部窗户皮
2025:06:17:01:21:900,7.594,75.163,9.183,0.971,-0.109,0.213,-41.697,0.005,1.311,SM_Plug_01a,-32.095,-1.076,3.418,隧道,-41.458,-0.022,1.363,车中车厢内部窗户皮
2025:06:17:01:21:922,6.654,74.199,9.256,0.99,-0.064,0.128,-41.697,0.037,1.236,SM_Plug_01a,-24.759,-1.053,3.425,隧道,-41.136,-0.028,1.364,车中车厢内部窗户皮
2025:06:17:01:21:945,5.757,73.672,9.237,1,-0.016,0.026,-36.597,-0.015,1.297,SM_Plug_01a (1),-33.798,-0.061,1.369,车中车厢内部窗户皮,43.268,-1.325,3.342,隧道.004
2025:06:17:01:21:965,5.164,73.127,9.141,0.996,0.02,-0.085,10.922,1.128,-3.402,隧道,49.83,1.319,-4.811,Fire3,43.268,-1.325,3.342,隧道.004
2025:06:17:01:21:989,4.143,73.647,8.85,0.994,0.027,-0.105,0.024,1.246,-3.366,隧道,0.057,1.247,-3.369,隧道,43.268,-1.325,3.342,隧道.004
2025:06:17:01:22:011,3.487,74.168,8.443,0.996,0.017,-0.085,10.962,0.986,-3.445,隧道,0.057,1.247,-3.369,隧道,43.268,-1.325,3.342,隧道.004
2025:06:17:01:22:033,2.841,74.993,7.986,0.997,0.014,-0.075,18.749,0.949,-3.471,隧道,20.028,0.967,-3.567,隧道.002,43.268,-1.325,3.342,隧道.004
2025:06:17:01:22:054,2.4,76.33,7.399,0.997,0.003,-0.072,-8.108,0.177,-1.353,车中车厢内部窗户皮,22.692,0.265,-3.574,隧道.002,33.851,0.142,-3.586,隧道.002
2025:06:17:01:22:079,2.024,78.341,6.647,0.997,-0.011,-0.075,19.417,-0.591,-3.542,隧道,20.028,-0.597,-3.588,隧道.002,33.851,0.142,-3.586,隧道.002
2025:06:17:01:22:100,1.95,79.706,5.913,0.996,-0.016,-0.09,8.749,-0.729,-3.527,隧道,15.297,-0.824,-3.198,应急疏散平台左侧空气墙,19.02,-0.882,-3.476,隧道
2025:06:17:01:22:121,1.907,81.254,4.991,0.995,-0.031,-0.095,-15.93,-0.741,-1.421,车中车厢内部窗户皮,1.088,-1.27,-3.05,应急疏散平台左侧空气墙,4.021,-1.361,-3.331,隧道
2025:06:17:01:22:144,1.858,82.953,4.105,0.994,-0.039,-0.102,-17.564,-0.896,-1.43,车中车厢内部中部条纹,-0.108,-1.585,-3.215,隧道,-18.733,-0.85,-1.31,车中车厢座椅
2025:06:17:01:22:166,1.883,84.329,3.2,0.997,-0.057,-0.051,-11.031,-1.701,-0.509,车中车内底板.001,10.89,-2.95,-1.635,道床,13.717,-3.111,-1.78,隧道
2025:06:17:01:22:189,2.055,86.027,2.241,0.996,-0.06,-0.062,-12.491,-1.701,-0.757,车中车内底板.001,8.405,-2.95,-2.052,道床,8.409,-2.95,-2.053,隧道
2025:06:17:01:22:212,2.369,87.631,1.578,0.995,-0.066,-0.072,-15.616,-1.701,-0.836,车中车内底板.001,2.229,-2.893,-2.123,隧道,8.409,-2.95,-2.053,隧道
2025:06:17:01:22:233,2.687,88.43,1.017,0.994,-0.072,-0.08,-1.78,-2.863,-2.158,隧道,-17.778,-1.701,-0.878,车中车内底板.001,8.409,-2.95,-2.053,隧道
2025:06:17:01:22:255,3.206,89.586,0.35,0.992,-0.079,-0.094,-6.771,-2.763,-2.281,隧道,-20.034,-1.701,-1.025,车中车内底板.001,-19.124,-1.774,-1.112,车中车厢座椅
2025:06:17:01:22:278,3.688,90.588,0.096,0.992,-0.086,-0.091,-7.76,-2.916,-2.094,隧道,-21.761,-1.701,-0.808,车中车内底板.001,-7.366,-2.95,-2.131,道床
2025:06:17:01:22:301,4.38,91.367,359.436,0.99,-0.098,-0.1,-11.493,-2.966,-2.033,隧道,-24.282,-1.701,-0.742,车中车内底板.001,-23.942,-1.735,-0.776,GameObject (2)
2025:06:17:01:22:322,5.061,91.67,359.322,0.993,-0.098,-0.068,-7.483,-3.348,-1.306,隧道,-24.204,-1.701,-0.161,车中车内底板.001,-23.863,-1.735,-0.185,GameObject (2)
2025:06:17:01:22:343,5.91,92.031,359.386,0.991,-0.113,-0.071,-11.734,-3.408,-1.109,隧道,-26.685,-1.701,-0.04,车中车内底板.001,-15.744,-2.95,-0.822,道床
