TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ
2025:06:17:01:19:388,-42.5,0,1,0,101.76,0,101.76,0,0,0
2025:06:17:01:20:587,-42.5,-0.593,1,0,0,0,0,0,0,0
2025:06:17:01:20:679,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:711,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:765,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:809,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:832,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:854,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:877,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:900,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:922,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:943,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:966,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:20:988,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:010,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:032,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:054,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:076,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:099,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:122,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:144,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:167,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:189,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:210,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:233,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:254,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:277,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:300,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:322,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:345,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:365,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:388,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:412,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:422,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:471,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:491,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:514,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:535,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:557,-42.5,-1.621,1,0,0,0,0,0,0,0
2025:06:17:01:21:581,-42.5,-1.621,1,0,0,0,0,0,0,0
