TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:50:23:042,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:50:24:222,0.000,160.000,0.000,0.354,-0.019,-0.935,-40.825,1.024,-3.433,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:50:24:343,353.950,78.545,3.462,0.973,0.085,0.213,-31.410,1.035,3.430,隧道,-40.922,0.204,1.344,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:410,353.885,78.586,3.375,0.973,0.086,0.214,-31.453,1.041,3.428,隧道,-40.927,0.204,1.343,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:465,353.858,78.608,3.372,0.973,0.086,0.214,-31.462,1.042,3.428,隧道,-40.928,0.205,1.343,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:512,353.769,78.629,3.382,0.973,0.083,0.213,-31.364,1.020,3.434,隧道,-40.917,0.202,1.344,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:531,353.777,78.639,3.377,0.974,0.076,0.212,-31.214,0.952,3.455,隧道,-40.905,0.192,1.345,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:554,353.775,78.637,3.367,0.975,0.073,0.212,-31.155,0.923,3.464,隧道,-40.900,0.188,1.345,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:576,353.785,78.647,3.364,0.975,0.064,0.211,-30.963,0.828,3.493,隧道,-40.886,0.175,1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:50:24:598,353.795,78.650,3.359,0.976,0.061,0.211,-30.891,0.792,3.504,隧道,-40.880,0.170,1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
