TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:16:05:16:603,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:595,9.915,195.210,359.981,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:642,9.813,195.070,0.393,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:715,9.607,195.067,0.302,-0.188,-0.126,-0.974,-43.390,-0.491,-3.552,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:759,9.375,194.839,359.875,-0.166,-0.113,-0.980,-43.287,-0.428,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:775,9.353,194.799,359.751,-0.165,-0.107,-0.980,-43.283,-0.406,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:798,9.239,194.744,359.565,-0.167,-0.101,-0.981,-43.292,-0.374,-3.563,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:820,9.094,194.691,359.543,-0.171,-0.085,-0.982,-43.309,-0.304,-3.570,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:843,8.908,194.596,359.596,-0.170,-0.079,-0.982,-43.306,-0.276,-3.573,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:864,8.777,194.490,359.652,-0.170,-0.071,-0.983,-43.306,-0.240,-3.576,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:886,8.631,194.362,359.625,-0.173,-0.056,-0.983,-43.316,-0.172,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:907,8.454,194.207,359.605,-0.171,-0.049,-0.984,-43.308,-0.144,-3.586,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:930,8.246,194.010,359.615,-0.171,-0.033,-0.985,-43.309,-0.068,-3.593,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:952,8.176,193.840,359.581,-0.171,-0.025,-0.985,-43.309,-0.033,-3.597,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:976,8.068,193.629,359.502,-0.174,-0.013,-0.985,-43.322,0.018,-3.598,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:17:998,7.825,193.389,359.535,-0.174,-0.003,-0.985,-43.320,0.064,-3.594,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:05:18:020,7.548,193.157,359.508,-0.174,0.013,-0.985,-43.319,0.138,-3.586,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
