TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:16:12:317,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:16:13:467,0.000,160.000,0.000,0.262,-0.017,-0.965,-41.275,1.134,-3.471,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:16:13:560,4.453,267.920,2.790,-0.996,-0.093,-0.006,-61.729,-1.701,0.871,车中车内底板.001,-81.199,-3.518,0.745,隧道,-57.735,-1.329,0.897,车中车厢座椅,
2025:06:10:16:13:636,1.850,269.593,2.384,-0.998,-0.050,-0.033,-102.789,-2.950,-0.968,道床,-55.882,-0.588,0.566,107,-57.317,-0.660,0.519,97,
2025:06:10:16:13:692,1.569,269.755,1.878,-0.998,-0.046,-0.050,-69.437,-1.154,-0.347,3,-56.665,-0.566,0.295,59,-55.827,-0.528,0.337,107,
2025:06:10:16:13:743,1.444,269.404,1.337,-0.997,-0.043,-0.062,-57.899,-0.586,0.053,82,-59.328,-0.649,-0.035,64,-63.475,-0.830,-0.292,46,
2025:06:10:16:13:770,1.723,268.594,0.873,-0.996,-0.048,-0.077,-95.210,-2.453,-3.050,应急疏散平台左侧空气墙,-79.982,-1.720,-1.878,应急疏散平台,-91.533,-2.276,-2.767,隧道,
2025:06:10:16:13:787,1.954,268.321,0.729,-0.995,-0.057,-0.081,-87.110,-2.451,-2.623,隧道,-61.310,-0.983,-0.523,8,-56.812,-0.727,-0.157,50,
2025:06:10:16:13:822,2.300,267.757,0.353,-0.994,-0.068,-0.090,-81.375,-2.577,-2.507,隧道,-61.469,-1.212,-0.707,8,-67.736,-1.642,-1.274,SM_Fire_Extinguisher_01a (1),
2025:06:10:16:13:846,2.558,267.459,0.002,-0.993,-0.078,-0.091,-65.251,-1.701,-1.085,车中车内底板.001,-54.304,-0.839,-0.078,29,-56.867,-1.041,-0.314,50,
2025:06:10:16:13:874,3.066,266.949,359.527,-0.991,-0.090,-0.097,-62.288,-1.701,-0.922,车中车内底板.001,-54.212,-0.969,-0.135,29,-63.396,-1.802,-1.030,车中车厢座椅,
2025:06:10:16:13:899,3.202,266.685,359.287,-0.991,-0.094,-0.099,-61.474,-1.701,-0.882,车中车内底板.001,-54.187,-1.012,-0.157,29,-74.011,-2.887,-2.130,隧道,
2025:06:10:16:13:923,2.782,266.707,359.419,-0.992,-0.089,-0.091,-62.492,-1.701,-0.837,车中车内底板.001,-54.283,-0.965,-0.080,29,-56.868,-1.197,-0.319,50,
2025:06:10:16:13:947,2.667,266.642,359.492,-0.992,-0.089,-0.088,-62.560,-1.701,-0.778,车中车内底板.001,-56.822,-1.188,-0.268,50,-76.700,-2.966,-2.034,隧道,
2025:06:10:16:13:975,2.920,266.543,359.682,-0.992,-0.095,-0.080,-61.230,-1.701,-0.507,车中车内底板.001,-56.799,-1.277,-0.150,50,-57.887,-1.381,-0.238,82,
2025:06:10:16:13:998,3.384,266.397,359.821,-0.992,-0.102,-0.075,-59.908,-1.701,-0.311,车中车内底板.001,-56.812,-1.382,-0.077,50,-57.827,-1.487,-0.154,82,
