TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:00:02:036,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:234,0.000,180.000,0.000,-0.017,-0.124,-0.992,-42.577,0.561,-3.545,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:352,359.578,141.295,2.656,0.602,-0.112,-0.791,-39.036,-0.551,-3.546,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:401,359.596,141.431,2.580,0.599,-0.112,-0.793,-39.062,-0.546,-3.546,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:454,359.601,141.445,2.571,0.598,-0.111,-0.794,-39.069,-0.540,-3.547,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:498,359.592,141.400,2.569,0.597,-0.109,-0.795,-39.080,-0.531,-3.548,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:515,359.605,141.379,2.569,0.597,-0.109,-0.795,-39.079,-0.530,-3.548,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:540,359.610,141.355,2.576,0.597,-0.099,-0.796,-39.076,-0.476,-3.553,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:571,359.617,141.347,2.584,0.597,-0.093,-0.797,-39.078,-0.441,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:592,359.621,141.357,2.581,0.597,-0.087,-0.798,-39.082,-0.409,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:615,359.626,141.365,2.586,0.596,-0.081,-0.799,-39.089,-0.370,-3.564,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:634,359.618,141.362,2.622,0.595,-0.077,-0.800,-39.096,-0.351,-3.565,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:665,359.610,141.348,2.633,0.594,-0.073,-0.801,-39.102,-0.325,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:687,359.639,141.340,2.593,0.594,-0.070,-0.801,-39.103,-0.312,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:708,359.656,141.347,2.580,0.594,-0.055,-0.803,-39.107,-0.228,-3.578,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:732,359.672,141.368,2.577,0.593,-0.054,-0.803,-39.110,-0.223,-3.578,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:755,359.683,141.387,2.581,0.593,-0.052,-0.803,-39.109,-0.210,-3.579,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:777,359.691,141.399,2.592,0.593,-0.053,-0.803,-39.111,-0.214,-3.579,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:799,359.694,141.395,2.615,0.594,-0.058,-0.802,-39.102,-0.242,-3.576,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:822,359.704,141.368,2.631,0.596,-0.059,-0.801,-39.091,-0.252,-3.575,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:844,359.730,141.331,2.631,0.598,-0.062,-0.799,-39.069,-0.268,-3.574,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:866,359.742,141.306,2.633,0.599,-0.063,-0.798,-39.063,-0.272,-3.573,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:888,359.734,141.280,2.649,0.601,-0.065,-0.797,-39.046,-0.283,-3.572,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:910,359.737,141.256,2.658,0.602,-0.066,-0.796,-39.040,-0.290,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:933,359.750,141.261,2.658,0.602,-0.067,-0.795,-39.033,-0.299,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:954,359.767,141.258,2.673,0.604,-0.069,-0.794,-39.023,-0.311,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:977,359.779,141.274,2.667,0.604,-0.071,-0.794,-39.018,-0.319,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:03:999,359.798,141.282,2.658,0.606,-0.073,-0.792,-39.000,-0.334,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:04:021,359.816,141.302,2.636,0.637,-0.091,-0.766,-38.715,-0.452,-3.556,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:04:044,359.849,141.301,2.635,0.685,-0.163,-0.710,-38.215,-0.918,-3.466,隧道,-38.611,-0.824,-3.055,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:06:15:00:04:068,359.872,141.306,2.627,0.731,-0.232,-0.641,-37.640,-1.436,-3.295,隧道,-39.777,-0.757,-1.422,车中车厢内部窗户皮,-37.919,-1.347,-3.050,应急疏散平台左侧空气墙,
