TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:19:29:49:943,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:29:51:190,0.000,160.000,0.000,0.352,0.077,-0.933,-40.903,1.545,-3.236,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:29:51:290,9.866,338.706,1.223,-0.372,-0.054,0.927,-43.539,-0.066,3.594,隧道,-42.630,0.067,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:377,10.022,338.775,1.285,-0.366,-0.011,0.930,-43.521,0.049,3.595,隧道,-42.628,0.076,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:427,9.935,338.797,1.335,-0.364,0.022,0.931,-43.510,0.137,3.586,隧道,-42.628,0.083,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:476,9.857,338.881,1.282,-0.360,0.071,0.930,-43.497,0.265,3.574,隧道,-42.626,0.093,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:500,9.900,338.961,1.239,-0.358,0.082,0.930,-43.490,0.294,3.571,隧道,-42.626,0.095,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:522,9.972,338.957,1.228,-0.357,0.093,0.929,-43.488,0.322,3.568,隧道,-42.626,0.097,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:543,9.999,338.967,1.213,-0.357,0.095,0.929,-43.487,0.328,3.568,隧道,-42.626,0.098,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:566,10.008,338.969,1.202,-0.356,0.102,0.929,-43.484,0.344,3.566,隧道,-42.625,0.099,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:588,10.033,338.960,1.162,-0.356,0.103,0.929,-43.484,0.347,3.566,隧道,-42.625,0.099,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:610,10.052,338.949,1.136,-0.356,0.103,0.929,-43.485,0.348,3.566,隧道,-42.625,0.099,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:632,10.023,338.920,1.104,-0.356,0.107,0.928,-43.485,0.357,3.565,隧道,-42.626,0.100,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:655,9.945,338.856,1.124,-0.358,0.106,0.928,-43.489,0.355,3.565,隧道,-42.626,0.100,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:676,9.893,338.783,1.106,-0.359,0.104,0.927,-43.493,0.352,3.565,隧道,-42.627,0.100,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:700,9.812,338.715,1.107,-0.360,0.104,0.927,-43.497,0.351,3.565,隧道,-42.627,0.099,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:721,9.751,338.633,1.127,-0.362,0.105,0.926,-43.501,0.353,3.565,隧道,-42.628,0.100,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:742,9.668,338.576,1.108,-0.391,0.110,0.914,-43.592,0.372,3.563,隧道,-42.635,0.101,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:763,9.606,338.527,1.096,-0.450,0.107,0.887,-43.784,0.370,3.564,隧道,-42.650,0.101,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:787,9.574,338.463,1.105,-0.517,0.121,0.847,-44.032,0.425,3.558,隧道,-42.669,0.105,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:811,9.569,338.393,1.132,-0.545,0.130,0.828,-44.146,0.456,3.555,隧道,-42.678,0.108,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:830,9.558,338.326,1.161,-0.556,0.137,0.820,-44.191,0.480,3.553,隧道,-42.682,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:854,9.534,338.299,1.132,-0.565,0.143,0.813,-44.231,0.502,3.551,隧道,-42.685,0.111,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:876,9.501,338.274,1.100,-0.565,0.145,0.812,-44.233,0.509,3.550,隧道,-42.685,0.112,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:898,9.463,338.223,1.069,-0.570,0.150,0.808,-44.254,0.526,3.548,隧道,-42.687,0.113,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:920,9.391,338.131,1.031,-0.549,0.141,0.824,-44.163,0.491,3.552,隧道,-42.680,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:942,9.279,338.021,0.984,-0.547,0.140,0.826,-44.154,0.488,3.552,隧道,-42.680,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:964,9.135,337.902,0.924,-0.544,0.140,0.827,-44.145,0.488,3.552,隧道,-42.679,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:51:986,9.023,337.741,0.824,-0.545,0.140,0.827,-44.147,0.487,3.552,隧道,-42.680,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:009,8.853,337.507,0.695,-0.544,0.139,0.828,-44.143,0.485,3.552,隧道,-42.680,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:032,8.632,337.222,0.580,-0.544,0.139,0.828,-44.145,0.483,3.552,隧道,-42.681,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:054,8.398,336.832,0.490,-0.544,0.136,0.828,-44.147,0.475,3.553,隧道,-42.683,0.109,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:076,8.146,336.294,0.410,-0.549,0.136,0.825,-44.168,0.478,3.553,隧道,-42.686,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:096,7.919,335.673,0.247,-0.551,0.136,0.823,-44.179,0.476,3.553,隧道,-42.688,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:119,7.692,334.885,0.146,-0.558,0.136,0.819,-44.212,0.479,3.553,隧道,-42.693,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:142,7.482,333.961,0.153,-0.577,0.120,0.808,-44.295,0.437,3.557,隧道,-42.702,0.107,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:29:52:164,7.317,332.928,0.360,-0.634,0.094,0.768,-44.572,0.377,3.563,隧道,-42.727,0.102,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
