TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:00:20:589,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:21:819,0.000,160.000,0.000,0.288,-0.208,-0.935,-41.082,0.225,-3.578,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:00:21:948,352.863,225.804,3.761,-0.757,-0.082,-0.648,-45.271,-0.208,-1.382,车中车厢内部窗户皮,-47.809,-0.482,-3.553,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:024,353.104,225.815,4.311,-0.755,-0.085,-0.650,-45.254,-0.221,-1.383,车中车厢内部窗户皮,-47.772,-0.506,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:082,353.365,225.623,4.711,-0.751,-0.089,-0.655,-45.221,-0.231,-1.384,车中车厢内部窗户皮,-47.703,-0.525,-3.548,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:134,353.340,225.661,4.331,-0.748,-0.087,-0.658,-45.196,-0.223,-1.383,车中车厢内部窗户皮,-47.658,-0.510,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:162,353.098,225.542,4.844,-0.747,-0.081,-0.659,-45.188,-0.200,-1.382,车中车厢内部窗户皮,-47.651,-0.465,-3.554,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:192,353.406,225.408,5.098,-0.746,-0.083,-0.661,-45.174,-0.209,-1.382,车中车厢内部窗户皮,-47.622,-0.482,-3.553,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:224,354.030,225.190,5.194,-0.742,-0.092,-0.664,-45.154,-0.238,-1.384,车中车厢内部窗户皮,-47.573,-0.539,-3.547,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:247,354.089,225.018,5.230,-0.740,-0.092,-0.666,-45.137,-0.236,-1.384,车中车厢内部窗户皮,-47.541,-0.535,-3.547,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:271,354.113,224.904,5.200,-0.739,-0.090,-0.668,-45.124,-0.230,-1.384,车中车厢内部窗户皮,-47.517,-0.522,-3.549,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:292,354.099,224.924,4.952,-0.738,-0.090,-0.669,-45.120,-0.227,-1.383,车中车厢内部窗户皮,-47.511,-0.518,-3.549,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:314,353.926,225.010,4.599,-0.739,-0.086,-0.668,-45.122,-0.214,-1.383,车中车厢内部窗户皮,-47.518,-0.494,-3.551,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:335,353.717,225.074,4.417,-0.739,-0.081,-0.669,-45.122,-0.196,-1.381,车中车厢内部窗户皮,-47.525,-0.459,-3.555,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:359,353.648,225.096,4.479,-0.740,-0.076,-0.668,-45.124,-0.180,-1.380,车中车厢内部窗户皮,-47.535,-0.428,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:382,353.779,225.101,4.611,-0.740,-0.076,-0.668,-45.128,-0.181,-1.380,车中车厢内部窗户皮,-47.542,-0.429,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:405,354.003,225.118,4.657,-0.741,-0.079,-0.667,-45.131,-0.192,-1.381,车中车厢内部窗户皮,-47.545,-0.451,-3.556,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:428,354.430,225.241,4.648,-0.742,-0.086,-0.665,-45.147,-0.216,-1.383,车中车厢内部窗户皮,-47.565,-0.497,-3.551,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:449,354.818,225.336,4.763,-0.743,-0.092,-0.663,-45.159,-0.239,-1.384,车中车厢内部窗户皮,-47.582,-0.540,-3.547,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:472,355.093,225.370,4.883,-0.743,-0.096,-0.662,-45.165,-0.252,-1.385,车中车厢内部窗户皮,-47.588,-0.566,-3.544,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:493,355.750,225.569,4.902,-0.745,-0.107,-0.659,-45.187,-0.292,-1.388,车中车厢内部窗户皮,-47.616,-0.641,-3.537,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:515,356.414,225.942,4.678,-0.748,-0.118,-0.653,-45.224,-0.336,-1.391,车中车厢内部窗户皮,-47.666,-0.722,-3.525,隧道,0.000,0.000,0.000,Null,
2025:06:15:00:22:537,357.076,226.466,4.417,-0.833,-0.148,-0.533,-48.776,-1.014,-3.050,应急疏散平台左侧空气墙,-46.284,-0.573,-1.455,GameObject,-49.332,-1.113,-3.406,隧道,
2025:06:15:00:22:559,357.760,227.083,4.331,-0.890,-0.204,-0.408,-51.229,-1.901,-3.050,应急疏散平台左侧空气墙,-47.706,-1.092,-1.436,车中车厢内部下部条纹,-50.137,-1.650,-2.550,应急疏散平台.006|应急疏散平台|Dupli|,
2025:06:15:00:22:585,358.371,227.800,4.303,-0.913,-0.219,-0.344,-53.093,-2.435,-3.050,应急疏散平台左侧空气墙,-48.829,-1.413,-1.444,车中车厢内部下部条纹,-49.981,-1.689,-1.878,应急疏散平台.006|应急疏散平台|Dupli|,
2025:06:15:00:22:608,358.899,228.537,4.277,-0.919,-0.224,-0.324,-49.902,-1.701,-1.672,车中车内底板.001,-48.374,-1.328,-1.133,车中车厢座椅,-52.733,-2.393,-2.671,隧道,
2025:06:15:00:22:629,359.384,229.369,4.278,-0.921,-0.228,-0.317,-49.786,-1.701,-1.567,车中车内底板.001,-48.283,-1.328,-1.049,车中车厢座椅,-52.837,-2.459,-2.617,隧道,
2025:06:15:00:22:650,359.878,230.215,4.414,-0.925,-0.232,-0.301,-49.828,-1.731,-1.445,车中车厢内部下部条纹,-49.711,-1.701,-1.406,车中车内底板.001,-48.224,-1.328,-0.922,车中车厢座椅,
2025:06:15:00:22:673,0.420,231.271,4.672,-0.924,-0.230,-0.306,-49.775,-1.701,-1.462,车中车内底板.001,-48.275,-1.328,-0.966,车中车厢座椅,-53.096,-2.527,-2.561,隧道,
2025:06:15:00:22:695,1.129,232.706,5.001,-0.929,-0.227,-0.291,-50.126,-1.757,-1.444,车中车厢内部下部条纹,-49.900,-1.701,-1.373,车中车内底板.001,-48.376,-1.329,-0.896,车中车厢座椅,
2025:06:15:00:22:717,1.644,233.999,5.274,-0.934,-0.232,-0.272,-49.795,-1.701,-1.180,车中车内底板.001,-48.521,-1.385,-0.808,车中车厢座椅,-53.826,-2.702,-2.355,隧道,
2025:06:15:00:22:740,1.940,235.727,5.668,-0.941,-0.226,-0.253,-50.026,-1.701,-1.077,车中车内底板.001,-54.468,-2.770,-2.273,隧道,-54.106,-2.710,-2.345,隧道,
