TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:17:13:23:944,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:13:24:945,356.498,227.296,355.306,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:13:25:020,356.384,227.436,355.212,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:13:25:105,356.416,227.482,355.197,-0.785,-0.039,-0.619,-45.490,-0.063,-1.372,车中车厢内部窗户皮,-45.596,-0.069,-1.455,GameObject,-48.291,-0.202,-3.580,隧道,
2025:06:17:13:25:148,356.461,227.504,355.184,-0.786,-0.038,-0.618,-45.499,-0.059,-1.372,车中车厢内部窗户皮,-45.605,-0.065,-1.455,GameObject,-48.310,-0.194,-3.581,隧道,
2025:06:17:13:25:187,356.520,227.456,355.162,-0.786,-0.037,-0.618,-45.497,-0.058,-1.372,车中车厢内部窗户皮,-45.603,-0.063,-1.455,GameObject,-48.307,-0.190,-3.581,隧道,
2025:06:17:13:25:211,356.527,227.434,355.158,-0.784,-0.036,-0.620,-45.483,-0.052,-1.371,车中车厢内部窗户皮,-45.589,-0.056,-1.455,GameObject,-48.281,-0.179,-3.582,隧道,
2025:06:17:13:25:235,356.518,227.398,355.169,-0.783,-0.034,-0.621,-45.475,-0.047,-1.371,车中车厢内部窗户皮,-48.268,-0.169,-3.583,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:260,356.514,227.399,355.160,-0.783,-0.033,-0.622,-45.467,-0.043,-1.371,车中车厢内部窗户皮,-48.254,-0.162,-3.584,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:284,356.475,227.391,355.142,-0.781,-0.032,-0.623,-45.453,-0.036,-1.370,车中车厢内部窗户皮,-48.229,-0.148,-3.585,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:308,356.448,227.403,355.153,-0.780,-0.030,-0.625,-45.441,-0.031,-1.370,车中车厢内部窗户皮,-48.207,-0.138,-3.586,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:334,356.433,227.429,355.147,-0.779,-0.029,-0.627,-45.428,-0.025,-1.369,车中车厢内部窗户皮,-48.185,-0.126,-3.588,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:357,356.436,227.448,355.135,-0.778,-0.028,-0.627,-45.424,-0.023,-1.369,车中车厢内部窗户皮,-48.176,-0.123,-3.588,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:383,356.407,227.464,355.144,-0.776,-0.026,-0.630,-45.405,-0.017,-1.369,车中车厢内部窗户皮,-48.142,-0.110,-3.589,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:404,356.421,227.466,355.133,-0.774,-0.026,-0.632,-45.386,-0.013,-1.368,车中车厢内部窗户皮,-48.105,-0.103,-3.590,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:432,356.439,227.464,355.109,-0.773,-0.005,-0.634,-45.369,0.062,-1.363,车中车厢内部窗户皮,-48.091,0.046,-3.595,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:452,356.434,227.464,355.108,-0.773,0.004,-0.634,-45.365,0.094,-1.360,车中车厢内部窗户皮,-48.083,0.110,-3.589,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:472,356.429,227.454,355.121,-0.772,0.032,-0.634,-45.348,0.192,-1.351,车中车厢内部窗户皮,-48.050,0.305,-3.570,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:494,356.443,227.442,355.136,-0.772,0.037,-0.635,-45.343,0.211,-1.349,车中车厢内部窗户皮,-48.040,0.341,-3.566,隧道,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:514,356.444,227.432,355.133,-0.771,0.051,-0.635,-48.016,0.435,-3.557,隧道,-45.328,0.258,-1.342,车中车厢内部上部条纹,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:536,356.440,227.409,355.142,-0.769,0.061,-0.636,-47.989,0.506,-3.550,隧道,-45.311,0.293,-1.335,车中车厢内部上部条纹,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:557,356.436,227.389,355.146,-0.768,0.067,-0.637,-47.970,0.544,-3.546,隧道,-45.299,0.312,-1.332,车中车厢内部上部条纹,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:578,356.435,227.370,355.147,-0.767,0.073,-0.638,-47.948,0.589,-3.542,隧道,-45.285,0.334,-1.327,车中车厢内部上部条纹,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:600,356.434,227.368,355.098,-0.765,0.092,-0.637,-47.922,0.716,-3.527,隧道,-45.261,0.397,-1.310,车中车厢内部上部条纹,-48.286,-0.174,-3.583,隧道,
2025:06:17:13:25:622,356.475,227.551,355.005,-0.766,0.096,-0.635,-47.940,0.747,-3.517,隧道,-45.270,0.412,-1.305,车中车厢内部上部条纹,-48.286,-0.174,-3.583,隧道,
