TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:13:58:426,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:13:59:631,0.000,160.000,0.000,0.332,-0.025,-0.943,-40.932,0.997,-3.442,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:13:59:735,330.091,65.823,359.964,0.810,0.469,0.352,-41.808,0.400,1.303,车中车厢内部上部条纹,-38.508,2.313,2.737,隧道,0.000,0.000,0.000,Null,
2025:06:16:13:59:849,329.642,65.700,359.943,0.814,0.460,0.354,-41.805,0.394,1.305,车中车厢内部上部条纹,-38.462,2.285,2.759,隧道,0.000,0.000,0.000,Null,
2025:06:16:13:59:908,329.509,65.630,359.978,0.816,0.456,0.356,-41.804,0.391,1.306,车中车厢内部上部条纹,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:13:59:963,329.389,65.632,0.047,0.770,0.543,0.336,-38.905,2.517,2.569,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:13:59:992,329.259,65.646,0.132,0.748,0.579,0.325,-39.106,2.600,2.479,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:14:00:015,329.205,65.658,0.159,0.729,0.608,0.317,-39.268,2.660,2.407,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:14:00:035,329.154,65.695,0.167,0.699,0.648,0.302,-39.490,2.743,2.305,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:14:00:057,329.168,65.745,0.185,0.689,0.661,0.297,-39.558,2.772,2.269,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:14:00:077,329.272,65.793,0.218,0.684,0.667,0.295,-39.594,2.782,2.257,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
2025:06:16:14:00:098,329.484,65.847,0.253,0.681,0.662,0.314,-39.634,2.732,2.319,隧道,-38.444,2.269,2.773,隧道,0.000,0.000,0.000,Null,
