TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:37:26:964,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:37:28:256,0.000,160.000,0.000,0.251,-0.050,-0.967,-41.325,0.885,-3.475,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:37:28:366,13.083,56.735,359.636,0.849,-0.274,0.452,-41.767,-0.118,1.406,车中部车厢窗户外皮,-38.117,-1.298,3.350,隧道,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:485,12.435,55.938,359.720,0.841,-0.265,0.471,-38.251,-1.222,3.396,隧道,-41.919,-0.065,1.340,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:547,11.864,55.201,359.791,0.776,-0.159,0.610,-39.246,-0.562,3.545,隧道,-42.060,0.014,1.335,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:600,11.482,54.805,359.848,0.783,-0.036,0.622,-39.221,-0.066,3.593,隧道,-42.069,0.064,1.332,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:634,11.286,54.254,359.883,0.778,0.045,0.627,-39.291,0.256,3.575,隧道,-42.078,0.096,1.330,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:659,10.784,54.054,359.906,0.774,0.095,0.626,-39.324,0.452,3.555,隧道,-42.081,0.115,1.328,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:684,10.661,53.858,359.876,0.772,0.117,0.625,-39.346,0.537,3.547,隧道,-42.083,0.123,1.328,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:707,10.525,53.711,359.827,0.769,0.135,0.625,-39.360,0.607,3.540,隧道,-42.085,0.130,1.328,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:734,10.397,53.470,359.771,0.769,0.135,0.625,-39.368,0.607,3.540,隧道,-42.087,0.130,1.328,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:756,10.227,53.340,359.693,0.768,0.137,0.626,-39.374,0.615,3.539,隧道,-42.088,0.131,1.327,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:779,10.162,53.237,359.668,0.768,0.138,0.626,-39.374,0.617,3.539,隧道,-42.088,0.131,1.327,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:804,9.973,53.075,359.604,0.767,0.144,0.626,-39.383,0.640,3.537,隧道,-42.090,0.133,1.327,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:828,9.937,52.962,359.614,0.768,0.137,0.626,-39.374,0.617,3.539,隧道,-42.089,0.131,1.327,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:853,9.763,52.825,359.613,0.797,0.113,0.594,-39.087,0.547,3.546,隧道,-42.062,0.124,1.328,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:875,9.623,52.802,359.689,0.872,0.048,0.487,-37.947,0.322,3.568,隧道,-41.953,0.102,1.329,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:898,9.566,52.908,359.777,0.869,0.052,0.491,-37.998,0.339,3.567,隧道,-41.958,0.104,1.329,车中车厢左车门4-1,-41.890,-0.078,1.341,车中车厢左车门4-1,
2025:06:15:37:28:920,9.455,53.196,359.911,0.945,-0.020,0.326,-41.697,0.064,1.326,SM_Plug_01a,-35.132,-0.071,3.593,隧道,-41.606,0.063,1.357,车中车厢内部窗户皮,
2025:06:15:37:28:941,9.424,53.594,359.991,0.953,-0.015,0.302,-41.697,0.068,1.305,SM_Plug_01a,-34.472,-0.047,3.595,隧道,-41.534,0.065,1.357,车中车厢内部窗户皮,
2025:06:15:37:28:962,9.346,54.148,0.121,0.964,-0.024,0.265,-41.697,0.062,1.275,SM_Plug_01a,-33.292,-0.145,3.586,隧道,-41.397,0.054,1.358,车中车厢内部窗户皮,
2025:06:15:37:28:983,9.292,54.940,0.208,0.965,-0.015,0.263,-41.697,0.068,1.272,SM_Plug_01a,-33.181,-0.069,3.593,隧道,-41.383,0.063,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:004,9.278,55.669,0.240,0.965,-0.011,0.262,-41.697,0.071,1.269,SM_Plug_01a,-33.122,-0.031,3.597,隧道,-41.374,0.067,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:025,9.316,56.550,0.217,0.966,-0.011,0.258,-41.697,0.071,1.264,SM_Plug_01a,-32.950,-0.027,3.597,隧道,-41.348,0.067,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:045,9.397,57.768,0.203,0.970,-0.011,0.243,-41.697,0.071,1.250,SM_Plug_01a,-32.326,-0.032,3.597,隧道,-41.268,0.066,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:068,9.394,58.658,0.155,0.973,-0.009,0.231,-41.697,0.072,1.238,SM_Plug_01a,-31.737,-0.025,3.598,隧道,-41.195,0.067,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:088,9.339,59.848,0.035,0.977,-0.008,0.215,-41.665,0.073,1.231,SM_Plug_01a,-30.901,-0.012,3.599,隧道,-41.092,0.068,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:109,9.242,61.012,359.913,0.981,-0.007,0.196,-41.579,0.073,1.231,SM_Plug_01a,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:138,9.079,62.748,359.708,0.985,-0.005,0.172,-27.880,0.012,3.599,隧道,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:160,9.021,64.198,359.702,0.989,-0.004,0.151,-25.794,0.013,3.599,隧道,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:184,8.942,65.005,359.566,0.989,-0.005,0.147,-25.261,-0.003,3.600,隧道,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:207,8.896,66.512,359.625,0.992,-0.004,0.127,-22.488,-0.007,3.599,隧道,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:227,8.758,67.811,359.520,0.994,-0.002,0.108,-18.866,0.020,3.598,隧道,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:249,8.543,68.846,359.437,0.995,0.001,0.102,-17.636,0.106,3.590,隧道,-29.726,-0.006,3.599,隧道,-40.948,0.069,1.357,车中车厢内部窗户皮,
2025:06:15:37:29:271,8.221,70.133,359.315,0.997,0.008,0.079,-10.586,0.326,3.568,隧道,-38.541,0.108,1.353,车中车厢内部窗户皮,-38.050,0.112,1.392,车中车厢左车门3-2,
2025:06:15:37:29:294,7.889,71.507,359.223,1.000,0.022,0.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:37:29:316,7.599,72.846,359.143,0.999,0.031,-0.026,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:37:29:339,7.340,74.192,359.078,0.998,0.034,-0.048,-0.734,1.491,-0.952,84,31.526,2.586,-2.496,隧道.002,0.000,0.000,0.000,Null,
2025:06:15:37:29:359,7.182,75.328,359.067,0.997,0.037,-0.066,15.432,2.225,-2.808,隧道,31.526,2.586,-2.496,隧道.002,0.000,0.000,0.000,Null,
2025:06:15:37:29:381,7.078,76.583,359.101,0.995,0.041,-0.096,0.387,1.849,-3.074,隧道,31.526,2.586,-2.496,隧道.002,0.000,0.000,0.000,Null,
2025:06:15:37:29:404,6.833,77.845,359.066,0.995,0.039,-0.095,1.041,1.778,-3.112,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:426,6.581,79.305,359.042,0.991,0.045,-0.125,-8.759,1.600,-3.207,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:450,6.428,80.403,359.022,0.991,0.043,-0.126,-8.739,1.526,-3.247,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:473,6.215,81.807,358.964,0.989,0.044,-0.142,-12.324,1.421,-3.303,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:493,6.038,82.750,358.838,0.990,0.045,-0.137,-11.381,1.490,-3.266,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:516,5.964,84.115,358.792,0.987,0.045,-0.155,-14.646,1.335,-3.339,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:538,5.782,85.534,358.584,0.983,0.046,-0.176,-17.838,1.236,-3.369,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:561,5.814,86.534,358.471,0.984,0.042,-0.173,-17.251,1.155,-3.416,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:584,5.929,87.812,358.348,0.982,0.038,-0.187,-18.949,0.985,-3.445,隧道,0.057,1.866,-3.184,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:605,6.098,89.153,358.317,0.979,0.033,-0.201,-19.943,0.836,-3.594,隧道,-20.424,0.819,-3.495,隧道,0.000,0.000,0.000,Null,
2025:06:15:37:29:627,6.462,90.434,358.166,0.977,0.025,-0.213,-21.583,0.603,-3.541,隧道,-21.492,0.706,-3.530,隧道,0.000,0.000,0.000,Null,
