TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:19:38:22:501,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:38:23:715,0.000,160.000,0.000,0.242,0.117,-0.963,-41.426,1.604,-3.205,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:38:23:827,358.398,73.568,358.356,0.976,0.140,0.169,-40.725,0.313,1.326,车中车厢内部上部条纹,-30.459,1.785,3.108,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:23:950,358.370,73.635,358.395,0.975,0.134,0.179,-40.791,0.293,1.329,车中车厢内部上部条纹,-30.763,1.670,3.170,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:24:009,358.329,73.569,358.465,0.981,0.130,0.145,-40.461,0.329,1.322,车中车厢内部上部条纹,-28.709,1.882,3.056,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:24:058,358.281,73.518,358.516,0.992,0.060,0.111,-39.705,0.239,1.338,车中车厢内部上部条纹,-21.744,1.326,3.342,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:24:084,358.249,73.500,358.545,0.995,0.014,0.099,-39.009,0.126,1.376,车中部车厢窗户外皮,-17.128,0.434,3.557,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:24:106,358.231,73.514,358.545,0.995,0.005,0.099,-38.949,0.096,1.381,车中部车厢窗户外皮,-16.829,0.212,3.579,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:24:128,358.220,73.522,358.533,0.995,-0.027,0.094,-38.909,-0.015,1.367,车中部车厢窗户外皮,-15.848,-0.640,3.537,隧道,0.000,0.000,0.000,Null,
2025:06:19:38:24:148,358.216,73.539,358.533,0.995,-0.034,0.092,-15.840,-0.822,3.495,隧道,-38.873,-0.040,1.365,车中车厢内部窗户皮,-38.909,-0.015,1.366,车中车厢内部窗户皮,
2025:06:19:38:24:171,358.197,73.549,358.551,0.995,-0.051,0.087,-15.897,-1.273,3.358,隧道,-38.619,-0.112,1.370,车中车厢内部窗户皮,-38.909,-0.015,1.366,车中车厢内部窗户皮,
2025:06:19:38:24:193,358.183,73.556,358.560,0.994,-0.069,0.083,-17.051,-1.674,3.168,隧道,-38.393,-0.196,1.375,车中车厢内部窗户皮,-38.050,-0.220,1.404,车中车厢左车门3-2,
2025:06:19:38:24:214,358.157,73.557,358.566,0.992,-0.091,0.082,-19.251,-2.049,2.953,隧道,-38.243,-0.300,1.383,车中车厢内部窗户皮,-38.050,-0.318,1.399,车中车厢左车门3-2,
2025:06:19:38:24:243,358.138,73.555,358.549,0.991,-0.110,0.078,-22.322,-2.142,2.611,隧道右侧空气墙,-19.943,-2.406,2.797,隧道,-20.753,-2.316,2.734,隧道,
2025:06:19:38:24:274,358.138,73.547,358.569,0.992,-0.105,0.075,-21.469,-2.142,2.618,隧道右侧空气墙,-19.877,-2.311,2.738,隧道,-38.037,-0.381,1.368,车中车厢左车门3-2,
