TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:22:16:820,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:17:938,0.000,160.000,0.000,0.314,0.024,-0.949,-41.048,1.217,-3.375,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:026,7.026,76.844,351.612,0.973,-0.113,0.202,-31.104,-1.227,3.372,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:092,7.268,77.357,351.103,0.974,-0.117,0.196,-30.847,-1.303,3.349,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:146,7.273,77.488,350.939,0.973,-0.116,0.198,-30.934,-1.287,3.353,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:181,7.057,77.830,350.614,0.975,-0.113,0.194,-30.649,-1.273,3.358,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:203,6.919,77.935,350.478,0.975,-0.110,0.193,-30.560,-1.252,3.364,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:225,6.784,78.060,350.373,0.975,-0.107,0.193,-30.496,-1.227,3.372,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:260,6.626,78.241,350.250,0.976,-0.104,0.191,-30.251,-1.216,3.402,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:280,6.530,78.362,350.163,0.976,-0.103,0.190,-30.251,-1.192,3.390,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:301,6.470,78.460,350.083,0.977,-0.101,0.190,-30.247,-1.176,3.387,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:326,6.441,78.577,350.014,0.976,-0.106,0.192,-30.251,-1.238,3.409,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:337,6.429,78.638,349.973,0.975,-0.111,0.192,-30.552,-1.267,3.359,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:367,6.445,78.744,349.894,0.972,-0.129,0.196,-31.055,-1.418,3.304,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:391,6.454,78.840,349.888,0.971,-0.136,0.196,-31.239,-1.475,3.274,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:413,6.450,78.963,349.875,0.974,-0.152,0.170,-30.426,-1.779,3.112,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:22:18:434,6.449,79.104,349.871,0.983,-0.165,0.079,-29.122,-2.142,2.096,隧道右侧空气墙,-25.819,-2.696,2.362,隧道,-38.028,-0.647,1.377,车中车厢左车门3-2,
2025:06:09:22:18:457,6.450,79.271,349.921,0.987,-0.161,-0.008,-33.724,-1.328,0.955,车中车厢座椅,-19.943,-3.576,0.839,隧道,-31.436,-1.701,0.936,车中车内底板.001,
2025:06:09:22:18:478,6.434,79.463,349.995,0.988,-0.149,-0.029,-18.243,-3.567,0.325,隧道,-30.582,-1.701,0.685,车中车内底板.001,-22.326,-2.950,0.444,道床,
2025:06:09:22:18:502,6.436,79.731,350.070,0.995,-0.087,-0.052,-2.273,-3.424,-1.054,隧道,-21.985,-1.701,-0.030,车中车内底板.001,-7.699,-2.950,-0.772,道床,
2025:06:09:22:18:525,6.442,80.028,350.138,0.995,-0.085,-0.056,-2.071,-3.370,-1.234,隧道,-21.558,-1.701,-0.141,车中车内底板.001,-6.972,-2.950,-0.959,道床,
2025:06:09:22:18:546,6.434,80.319,350.220,0.995,-0.083,-0.061,-1.921,-3.281,-1.461,隧道,-20.931,-1.701,-0.292,车中车内底板.001,-5.906,-2.950,-1.216,道床,
2025:06:09:22:18:568,6.417,80.688,350.349,0.994,-0.067,-0.083,-1.483,-2.678,-2.384,隧道,-15.960,-1.701,-1.177,车中车内底板.001,-19.124,-1.488,-0.913,车中车厢座椅,
2025:06:09:22:18:590,6.407,81.033,350.448,0.994,-0.070,-0.079,-1.339,-2.794,-2.243,隧道,-16.939,-1.701,-1.000,车中车内底板.001,-16.566,-1.728,-1.030,车中车厢座椅,
2025:06:09:22:18:612,6.381,81.472,350.581,0.994,-0.072,-0.082,-2.692,-2.801,-2.234,隧道,-17.838,-1.701,-0.991,车中车内底板.001,-17.355,-1.736,-1.030,车中车厢座椅,
2025:06:09:22:18:635,6.381,81.808,350.662,0.994,-0.073,-0.086,-4.038,-2.748,-2.298,隧道,-18.228,-1.701,-1.069,车中车内底板.001,-18.675,-1.668,-1.030,车中车厢座椅,
2025:06:09:22:18:656,6.362,82.195,350.767,0.993,-0.074,-0.091,-5.464,-2.684,-2.377,隧道,-18.580,-1.701,-1.169,车中车内底板.001,-19.124,-1.661,-1.119,车中车厢座椅,
2025:06:09:22:18:678,6.360,82.565,350.849,0.992,-0.075,-0.097,-6.602,-2.607,-2.471,隧道,-18.654,-1.701,-1.294,车中车内底板.001,-19.124,-1.666,-1.248,车中车厢座椅,
2025:06:09:22:18:702,6.374,82.999,350.903,0.992,-0.075,-0.104,-8.004,-2.511,-2.574,隧道,-18.742,-1.701,-1.451,车中车内底板.001,-18.800,-1.697,-1.445,车中车厢内部下部条纹,
2025:06:09:22:18:724,6.349,83.323,350.977,0.991,-0.075,-0.107,-8.626,-2.458,-2.617,隧道,-18.689,-1.701,-1.533,车中车内底板.001,-22.903,-1.384,-1.078,underground-connection (1),
2025:06:09:22:18:745,6.374,83.675,351.014,0.991,-0.075,-0.112,-22.870,-1.394,-1.191,SM_Fire_Extinguisher_Cabinet_01a (1),-9.755,-2.386,-2.677,隧道,-18.808,-1.701,-1.651,车中车内底板.001,
2025:06:09:22:18:769,6.386,84.036,351.064,0.990,-0.075,-0.116,-22.870,-1.399,-1.258,SM_Fire_Extinguisher_Cabinet_01a (1),-10.416,-2.344,-2.711,隧道,-18.882,-1.701,-1.723,车中车内底板.001,
2025:06:09:22:18:791,6.418,84.346,351.117,0.990,-0.076,-0.119,-22.870,-1.417,-1.318,SM_Fire_Extinguisher_Cabinet_01a (1),-11.089,-2.322,-2.729,隧道,-19.166,-1.701,-1.762,车中车内底板.001,
2025:06:09:22:18:812,6.446,84.635,351.147,0.990,-0.077,-0.121,-22.870,-1.436,-1.374,SM_Fire_Extinguisher_Cabinet_01a (1),-11.701,-2.305,-2.743,隧道,-19.461,-1.701,-1.792,车中车内底板.001,
2025:06:09:22:18:835,6.490,85.025,351.183,0.989,-0.080,-0.124,-24.862,-1.328,-1.174,车中车厢座椅,-22.870,-1.489,-1.423,SM_Fire_Extinguisher_Cabinet_01a (1),-12.457,-2.326,-2.725,隧道,
2025:06:09:22:18:858,6.497,85.310,351.196,0.989,-0.080,-0.128,-25.108,-1.318,-1.212,车中车厢座椅,-23.220,-1.471,-1.455,GameObject,-19.943,-1.736,-1.878,应急疏散平台.010|应急疏散平台|Dupli|,
2025:06:09:22:18:878,6.507,85.624,351.202,0.989,-0.081,-0.127,-25.185,-1.328,-1.200,车中车厢座椅,-23.208,-1.491,-1.455,GameObject,-13.232,-2.308,-2.740,隧道,
2025:06:09:22:18:901,6.482,85.969,351.228,0.988,-0.081,-0.132,-25.677,-1.282,-1.219,车中车厢座椅,-23.914,-1.426,-1.455,GameObject,-20.754,-1.683,-1.878,应急疏散平台,
2025:06:09:22:18:923,6.444,86.308,351.246,0.988,-0.081,-0.135,-21.207,-1.650,-1.885,planty,-26.030,-1.256,-1.225,车中车厢座椅,-21.207,-1.650,-1.885,应急疏散平台,
2025:06:09:22:18:945,6.394,86.652,351.238,0.987,-0.080,-0.136,-21.145,-1.650,-1.917,planty,-26.142,-1.243,-1.228,车中车厢座椅,-21.144,-1.650,-1.917,应急疏散平台,
2025:06:09:22:18:967,6.364,87.015,351.198,0.987,-0.081,-0.139,-21.216,-1.650,-1.974,planty,-26.389,-1.227,-1.244,车中车厢座椅,-21.215,-1.650,-1.974,应急疏散平台,
2025:06:09:22:18:997,6.375,87.535,351.118,0.986,-0.083,-0.141,-21.909,-1.650,-1.921,planty,-26.389,-1.271,-1.279,车中车厢座椅,-21.909,-1.650,-1.921,应急疏散平台,
2025:06:09:22:19:020,6.378,87.843,351.076,0.986,-0.085,-0.141,-26.389,-1.302,-1.270,车中车厢座椅,-22.125,-1.670,-1.878,应急疏散平台.002|应急疏散平台|Dupli|,-21.956,-1.685,-1.902,应急疏散平台,
2025:06:09:22:19:042,6.404,88.089,351.025,0.986,-0.087,-0.142,-26.389,-1.326,-1.292,车中车厢座椅,-22.317,-1.684,-1.878,应急疏散平台.002|应急疏散平台|Dupli|,-21.956,-1.716,-1.930,应急疏散平台,
2025:06:09:22:19:065,6.432,88.306,350.998,0.986,-0.088,-0.141,-26.389,-1.349,-1.280,车中车厢座椅,-22.211,-1.723,-1.878,应急疏散平台.002|应急疏散平台|Dupli|,-16.010,-2.278,-2.765,隧道,
2025:06:09:22:19:086,6.454,88.505,350.999,0.986,-0.089,-0.142,-26.389,-1.361,-1.290,车中车厢座椅,-22.300,-1.730,-1.878,应急疏散平台.002|应急疏散平台|Dupli|,-16.158,-2.284,-2.760,隧道,
