TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:09:22:16:820,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:09:22:17:938,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:026,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:092,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:146,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:181,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:203,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:225,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:260,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:280,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:301,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:326,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:337,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:367,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:391,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:413,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:434,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:457,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:478,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:502,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:525,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:546,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:568,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:590,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:612,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:635,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:656,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:678,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:702,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:724,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:745,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:769,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:791,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:812,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:835,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:858,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:878,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:901,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:923,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:945,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:967,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:18:997,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:19:020,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:19:042,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:19:065,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:22:19:086,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
