TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:11:27:31:006,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:27:31:912,2.557,145.646,357.938,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:27:31:972,1.980,145.529,357.953,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:27:32:048,1.842,145.515,357.959,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:27:32:090,1.700,145.516,357.860,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:27:32:113,1.537,145.550,357.893,0.558,0.023,-0.829,-39.415,0.202,-3.580,隧道,-40.912,0.140,-1.356,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:147,1.458,145.582,357.905,0.558,0.024,-0.830,-39.420,0.209,-3.579,隧道,-40.915,0.144,-1.356,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:181,1.373,145.586,357.916,0.556,0.026,-0.831,-39.434,0.217,-3.579,隧道,-40.922,0.148,-1.356,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:207,1.324,145.603,357.869,0.555,0.027,-0.832,-39.443,0.221,-3.578,隧道,-40.926,0.150,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:235,1.312,145.629,357.829,0.553,0.027,-0.833,-39.457,0.222,-3.578,隧道,-40.933,0.151,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:255,1.273,145.652,357.824,0.553,0.028,-0.833,-39.461,0.226,-3.578,隧道,-40.935,0.152,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:285,1.270,145.671,357.849,0.551,0.028,-0.834,-39.472,0.226,-3.578,隧道,-40.941,0.153,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:307,1.257,145.688,357.849,0.550,0.028,-0.834,-39.479,0.228,-3.578,隧道,-40.944,0.153,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:329,1.252,145.653,357.858,0.550,0.028,-0.835,-39.481,0.228,-3.578,隧道,-40.945,0.154,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:352,1.251,145.559,357.887,0.551,0.028,-0.834,-39.472,0.229,-3.577,隧道,-40.940,0.154,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:373,1.249,145.448,357.909,0.558,0.028,-0.830,-39.421,0.231,-3.577,隧道,-40.915,0.155,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:396,1.257,145.300,357.939,0.669,0.033,-0.743,-38.409,0.279,-3.573,隧道,-40.408,0.179,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:419,1.295,145.046,357.950,0.752,0.037,-0.658,-37.335,0.330,-3.567,隧道,-39.870,0.205,-1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:27:32:447,1.294,144.546,357.988,0.816,0.041,-0.577,-39.270,0.236,-1.345,车中车厢内部上部条纹,-36.135,0.393,-3.561,隧道,-36.506,0.373,-3.563,隧道,
2025:07:11:27:32:469,1.268,144.145,358.023,0.815,0.041,-0.578,-39.280,0.235,-1.345,车中车厢内部上部条纹,-36.156,0.390,-3.562,隧道,-36.506,0.373,-3.563,隧道,
2025:07:11:27:32:491,1.227,143.545,358.056,0.820,0.041,-0.572,-39.222,0.238,-1.344,车中车厢内部上部条纹,-36.044,0.396,-3.561,隧道,-36.506,0.373,-3.563,隧道,
2025:07:11:27:32:513,1.139,142.912,358.047,0.825,0.042,-0.563,-39.149,0.246,-1.343,车中车厢内部上部条纹,-35.900,0.412,-3.559,隧道,-36.506,0.373,-3.563,隧道,
2025:07:11:27:32:536,1.038,142.178,357.990,0.832,0.039,-0.554,-39.065,0.236,-1.345,车中车厢内部上部条纹,-35.735,0.393,-3.561,隧道,-36.506,0.373,-3.563,隧道,
2025:07:11:27:32:558,0.905,141.330,357.939,0.840,0.040,-0.542,-38.954,0.241,-1.344,车中车厢内部上部条纹,-35.519,0.403,-3.560,隧道,-36.506,0.373,-3.563,隧道,
2025:07:11:27:32:581,0.784,140.446,357.877,0.845,0.035,-0.533,-38.867,0.227,-1.349,车中部车厢窗户外皮,-38.871,0.227,-1.346,车中车厢内部上部条纹,-35.358,0.374,-3.563,隧道,
2025:07:11:27:32:603,0.605,139.454,357.849,0.852,0.036,-0.522,-38.759,0.234,-1.345,车中车厢内部上部条纹,-35.138,0.388,-3.562,隧道,-35.358,0.374,-3.563,隧道,
2025:07:11:27:32:625,0.536,138.623,357.826,0.856,0.034,-0.515,-35.002,0.371,-3.563,隧道,-38.687,0.225,-1.347,车中车厢内部窗户皮,-35.358,0.374,-3.563,隧道,
2025:07:11:27:32:646,0.387,137.490,357.854,0.865,0.035,-0.500,-38.537,0.234,-1.345,车中车厢内部上部条纹,-34.705,0.387,-3.562,隧道,-35.358,0.374,-3.563,隧道,
