TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:27:09:743,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:008,0.000,160.000,0.000,0.036,-0.113,-0.993,-42.292,0.712,-3.528,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:111,347.235,257.790,350.569,-0.983,0.095,-0.159,-65.661,2.299,-2.748,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:185,347.141,257.824,350.534,-0.984,0.087,-0.158,-66.372,2.172,-2.852,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:248,347.089,257.836,350.498,-0.985,0.075,-0.156,-67.649,1.980,-3.004,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:301,346.989,257.877,350.390,-0.985,0.061,-0.162,-67.847,1.635,-3.189,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:322,346.990,257.881,350.392,-0.985,0.056,-0.163,-68.159,1.520,-3.250,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:343,346.996,257.868,350.443,-0.985,0.055,-0.163,-68.173,1.494,-3.264,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:363,347.002,257.880,350.438,-0.985,0.052,-0.165,-68.167,1.428,-3.299,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:388,347.008,257.865,350.431,-0.985,0.045,-0.166,-68.408,1.258,-3.362,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:410,347.013,257.850,350.442,-0.985,0.029,-0.169,-68.667,0.844,-3.488,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:27:11:430,347.026,257.833,350.462,-0.985,0.023,-0.171,-55.799,0.391,-1.312,车中车厢内部上部条纹,-68.602,0.695,-3.532,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:455,347.054,257.799,350.484,-0.985,0.019,-0.173,-55.697,0.335,-1.327,车中车厢内部上部条纹,-68.299,0.583,-3.543,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:475,347.085,257.779,350.483,-0.984,0.015,-0.175,-55.626,0.283,-1.337,车中车厢内部上部条纹,-68.099,0.479,-3.553,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:496,347.116,257.759,350.477,-0.984,0.013,-0.177,-67.850,0.406,-3.560,隧道,-67.933,0.465,-3.554,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:519,347.160,257.747,350.495,-0.984,0.017,-0.176,-55.538,0.299,-1.337,车中车厢内部上部条纹,-67.909,0.511,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:541,347.166,257.745,350.508,-0.984,0.018,-0.178,-67.604,0.527,-3.548,隧道,-67.909,0.511,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:562,347.171,257.754,350.508,-0.984,0.018,-0.179,-67.519,0.531,-3.548,隧道,-67.909,0.511,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:588,347.174,257.750,350.516,-0.984,0.018,-0.180,-67.332,0.537,-3.547,隧道,-67.909,0.511,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:609,347.150,257.761,350.519,-0.986,0.015,-0.168,-56.177,0.285,-1.337,车中车厢内部上部条纹,-69.183,0.484,-3.552,隧道,0.000,0.000,0.000,Null,
2025:06:11:27:11:629,347.147,257.768,350.533,-0.992,-0.010,-0.125,-60.730,-0.111,-1.316,SM_Plug_01a (5),-61.198,-0.116,-1.376,车中车厢内部窗户皮,-78.572,-0.298,-3.571,隧道,
2025:06:11:27:11:651,347.140,257.770,350.548,-0.994,-0.028,-0.108,-79.493,-0.972,-3.050,应急疏散平台左侧空气墙,-82.883,-1.069,-3.420,隧道,-78.572,-0.298,-3.571,隧道,
2025:06:11:27:11:675,347.130,257.770,350.568,-0.994,-0.031,-0.109,-79.213,-1.052,-3.050,应急疏散平台左侧空气墙,-82.355,-1.149,-3.395,隧道,-64.284,-0.590,-1.409,车中车厢内部窗户皮,
