TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:58:00:272,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:239,349.420,130.883,2.300,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:298,348.706,131.196,1.680,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:375,348.489,131.297,1.668,0.714,0.225,-0.663,-37.898,1.495,-3.263,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:414,348.329,131.324,1.699,0.713,0.222,-0.665,-37.912,1.474,-3.275,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:445,348.086,131.408,1.489,0.710,0.226,-0.667,-37.950,1.492,-3.265,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:468,348.043,131.415,1.484,0.710,0.227,-0.667,-37.956,1.496,-3.263,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:489,347.994,131.447,1.460,0.710,0.228,-0.667,-37.958,1.500,-3.260,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:511,347.928,131.514,1.406,0.709,0.229,-0.667,-37.971,1.505,-3.258,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:536,347.842,131.542,1.399,0.708,0.230,-0.667,-37.976,1.513,-3.254,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:559,347.833,131.576,1.438,0.708,0.230,-0.667,-37.978,1.513,-3.254,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:578,347.837,131.627,1.445,0.708,0.230,-0.667,-37.978,1.513,-3.254,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:600,347.853,131.671,1.453,0.708,0.230,-0.668,-37.980,1.511,-3.255,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:622,347.925,131.697,1.481,0.708,0.229,-0.668,-37.977,1.504,-3.259,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:01:644,348.016,131.728,1.481,0.709,0.227,-0.667,-37.965,1.496,-3.263,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
