TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:46:51:978,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:178,0.000,160.000,0.000,0.761,0.022,-0.648,-37.528,1.353,-3.333,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:288,359.306,181.822,1.759,0.027,0.034,-0.999,-42.387,0.229,-3.577,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:348,1.480,170.498,2.115,0.070,0.002,-0.998,-42.163,0.086,-3.592,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:397,1.904,169.028,2.648,0.131,-0.007,-0.991,-41.882,0.049,-3.595,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:443,2.463,167.802,3.803,0.148,-0.015,-0.989,-41.800,0.012,-3.599,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:465,2.493,167.855,3.868,0.139,-0.029,-0.990,-41.842,-0.052,-3.595,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:485,2.482,167.943,3.855,0.136,-0.041,-0.990,-41.860,-0.104,-3.590,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:509,2.481,167.999,3.842,0.136,-0.059,-0.989,-41.859,-0.186,-3.582,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:531,2.467,168.019,3.817,0.135,-0.065,-0.989,-41.862,-0.213,-3.579,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:553,2.428,167.952,3.807,0.136,-0.072,-0.988,-41.857,-0.244,-3.576,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:576,2.349,167.774,3.758,0.139,-0.074,-0.987,-41.844,-0.255,-3.575,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:597,2.211,167.541,3.709,0.143,-0.075,-0.987,-41.825,-0.258,-3.575,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:620,2.060,167.301,3.661,0.147,-0.085,-0.986,-41.808,-0.301,-3.570,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:641,1.980,167.163,3.637,0.149,-0.086,-0.985,-41.798,-0.307,-3.570,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:664,1.928,167.068,3.616,0.150,-0.088,-0.985,-41.794,-0.316,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:686,1.915,166.925,3.618,0.152,-0.088,-0.985,-41.784,-0.315,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:709,1.971,166.682,3.599,0.154,-0.090,-0.984,-41.771,-0.327,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:730,1.961,166.474,3.576,0.158,-0.091,-0.983,-41.755,-0.329,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:753,1.942,166.268,3.561,0.161,-0.091,-0.983,-41.738,-0.331,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:776,1.871,166.103,3.484,0.163,-0.092,-0.982,-41.730,-0.334,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:798,1.859,165.959,3.353,0.165,-0.092,-0.982,-41.721,-0.337,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:819,1.879,165.902,3.211,0.165,-0.093,-0.982,-41.719,-0.340,-3.566,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:842,1.948,165.884,2.992,0.165,-0.095,-0.982,-41.719,-0.348,-3.566,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:863,2.058,166.093,2.707,0.162,-0.097,-0.982,-41.736,-0.360,-3.565,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:887,2.224,166.518,2.391,0.154,-0.101,-0.983,-41.773,-0.374,-3.563,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:908,2.396,167.120,2.006,0.144,-0.104,-0.984,-41.821,-0.389,-3.562,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:931,2.594,168.140,1.634,0.126,-0.109,-0.986,-41.907,-0.408,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:954,2.734,169.458,1.274,0.103,-0.112,-0.988,-42.013,-0.420,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:976,2.774,171.016,1.109,0.077,-0.112,-0.991,-42.134,-0.422,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:53:997,2.857,173.135,0.763,0.041,-0.114,-0.993,-42.298,-0.427,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:54:020,2.785,175.556,0.519,0.002,-0.112,-0.994,-42.479,-0.420,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:54:043,2.671,178.420,0.350,-0.055,-0.109,-0.993,-42.740,-0.404,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:54:065,2.535,182.119,0.346,-0.208,-0.102,-0.973,-43.450,-0.384,-3.562,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:46:54:085,2.453,185.435,0.428,-0.454,-0.099,-0.886,-43.656,-0.170,-1.379,车中车厢内部窗户皮,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:109,2.413,189.924,0.659,-0.572,-0.083,-0.816,-45.622,-0.369,-3.564,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:131,2.478,192.546,0.913,-0.612,-0.068,-0.788,-45.966,-0.302,-3.570,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:154,2.552,196.692,1.119,-0.646,-0.064,-0.761,-46.305,-0.292,-3.571,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:175,2.573,200.135,1.136,-0.617,-0.067,-0.784,-46.033,-0.299,-3.571,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:196,2.578,203.744,1.044,-0.623,-0.068,-0.779,-46.102,-0.307,-3.570,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:220,2.564,207.638,1.135,-0.638,-0.084,-0.766,-46.258,-0.406,-3.560,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:246,2.545,212.250,1.277,-0.642,-0.086,-0.762,-46.311,-0.419,-3.559,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:269,2.501,215.810,1.453,-0.637,-0.083,-0.766,-46.279,-0.403,-3.560,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:291,2.423,218.611,1.611,-0.630,-0.076,-0.773,-46.216,-0.361,-3.564,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:312,2.315,222.289,1.705,-0.664,-0.075,-0.744,-46.575,-0.372,-3.563,隧道,-44.773,-0.412,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:15:46:54:334,2.209,225.730,1.743,-0.713,-0.085,-0.696,-47.168,-0.467,-3.554,隧道,-44.954,-0.202,-1.394,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:15:46:54:357,2.120,229.392,1.827,-0.781,-0.087,-0.619,-45.498,-0.244,-1.385,车中车厢内部窗户皮,-48.223,-0.549,-3.546,隧道,-45.587,-0.254,-1.455,GameObject,
2025:06:15:46:54:387,2.126,233.986,1.966,-0.906,-0.096,-0.413,-51.316,-0.839,-3.050,应急疏散平台左侧空气墙,-52.216,-0.934,-3.461,隧道,-46.525,-0.341,-0.996,underground-connection (2),
2025:06:15:46:54:409,2.142,236.698,1.785,-0.952,-0.087,-0.295,-55.432,-1.087,-3.050,应急疏散平台左侧空气墙,-56.511,-1.186,-3.384,隧道,-48.797,-0.528,-1.405,车中车厢内部窗户皮,
2025:06:15:46:54:432,2.134,239.410,1.285,-0.968,-0.083,-0.238,-58.805,-1.301,-3.050,应急疏散平台左侧空气墙,-59.892,-1.394,-3.317,隧道,-59.950,-1.399,-3.331,隧道,
2025:06:15:46:54:453,2.176,241.683,0.852,-0.974,-0.087,-0.208,-61.284,-1.584,-3.050,应急疏散平台左侧空气墙,-53.123,-0.856,-1.309,车中车厢座椅,-53.692,-0.907,-1.430,车中车厢内部中部条纹,
2025:06:15:46:54:477,2.280,244.041,0.475,-0.968,-0.092,-0.232,-59.262,-1.499,-3.050,应急疏散平台左侧空气墙,-52.042,-0.814,-1.320,车中车厢座椅,-52.492,-0.857,-1.428,车中车厢内部中部条纹,
2025:06:15:46:54:498,2.393,245.834,0.161,-0.964,-0.096,-0.249,-58.064,-1.461,-3.050,应急疏散平台左侧空气墙,-58.805,-1.535,-3.242,隧道,-51.412,-0.797,-1.330,车中车厢座椅,
2025:06:15:46:54:520,2.489,247.678,359.849,-0.941,-0.094,-0.324,-54.225,-1.083,-3.050,应急疏散平台左侧空气墙,-55.199,-1.180,-3.386,隧道,-50.428,-0.719,-1.421,车中部车厢窗户外皮,
2025:06:15:46:54:542,2.575,249.448,359.554,-0.936,-0.097,-0.339,-53.666,-1.065,-3.050,应急疏散平台左侧空气墙,-54.607,-1.163,-3.391,隧道,-50.428,-0.719,-1.421,车中部车厢窗户外皮,
2025:06:15:46:54:566,2.639,251.137,359.235,-0.944,-0.095,-0.317,-54.533,-1.117,-3.050,应急疏散平台左侧空气墙,-55.501,-1.214,-3.376,隧道,-50.428,-0.719,-1.421,车中部车厢窗户外皮,
2025:06:15:46:54:587,2.608,253.012,358.935,-0.972,-0.093,-0.215,-60.743,-1.648,-3.050,应急疏散平台左侧空气墙,-52.841,-0.894,-1.301,车中车厢座椅,-53.436,-0.951,-1.433,车中车厢内部中部条纹,
2025:06:15:46:54:609,2.834,254.075,358.895,-0.987,-0.088,-0.133,-72.325,-2.576,-3.050,应急疏散平台左侧空气墙,-62.548,-1.701,-1.729,车中车内底板.001,-58.377,-1.328,-1.166,车中车厢座椅,
2025:06:15:46:54:631,2.974,255.211,358.839,-0.993,-0.091,-0.080,-62.119,-1.701,-0.604,车中车内底板.001,-77.286,-3.088,-1.823,隧道,-75.779,-2.950,-1.702,道床,
2025:06:15:46:54:654,3.141,256.378,358.774,-0.993,-0.091,-0.069,-61.975,-1.701,-0.372,车中车内底板.001,-79.950,-3.357,-1.615,隧道,-78.727,-3.244,-1.531,隧道,
2025:06:15:46:54:676,3.343,257.276,358.565,-0.993,-0.094,-0.065,-61.378,-1.701,-0.259,车中车内底板.001,-78.473,-3.326,-1.378,隧道,-74.518,-2.950,-1.119,道床,
2025:06:15:46:54:698,3.575,258.156,358.350,-0.993,-0.101,-0.063,-60.084,-1.701,-0.135,车中车内底板.001,-76.585,-3.386,-1.180,隧道,-72.316,-2.950,-0.910,道床,
2025:06:15:46:54:720,3.772,258.875,358.192,-0.994,-0.103,-0.036,-59.815,-1.701,0.347,车中车内底板.001,-77.839,-3.570,-0.309,隧道,-71.858,-2.950,-0.091,道床,
2025:06:15:46:54:742,3.994,259.692,358.053,-0.993,-0.108,-0.045,-59.006,-1.701,0.226,车中车内底板.001,-75.959,-3.546,-0.549,隧道,-70.480,-2.950,-0.298,道床,
2025:06:15:46:54:764,4.120,260.209,357.989,-0.993,-0.109,-0.049,-58.862,-1.701,0.173,车中车内底板.001,-75.573,-3.536,-0.652,隧道,-70.236,-2.950,-0.389,道床,
2025:06:15:46:54:788,4.189,260.709,357.939,-0.993,-0.107,-0.058,-59.181,-1.701,0.009,车中车内底板.001,-75.488,-3.457,-0.945,隧道,-70.777,-2.950,-0.670,道床,
2025:06:15:46:54:810,4.255,261.135,357.901,-0.993,-0.107,-0.056,-59.184,-1.701,0.048,车中车内底板.001,-75.682,-3.477,-0.879,隧道,-70.784,-2.950,-0.604,道床,
2025:06:15:46:54:832,4.353,261.591,357.823,-0.992,-0.106,-0.062,-59.385,-1.701,-0.062,车中车内底板.001,-75.549,-3.420,-1.066,隧道,-71.125,-2.950,-0.791,道床,
2025:06:15:46:54:853,4.409,261.969,357.762,-0.992,-0.106,-0.062,-59.383,-1.701,-0.063,车中车内底板.001,-75.537,-3.420,-1.068,隧道,-71.121,-2.950,-0.793,道床,
2025:06:15:46:54:875,4.456,262.362,357.769,-0.993,-0.106,-0.058,-59.377,-1.701,-0.005,车中车内底板.001,-75.800,-3.449,-0.973,隧道,-71.111,-2.950,-0.696,道床,
2025:06:15:46:54:898,4.486,262.708,357.811,-0.993,-0.103,-0.065,-59.861,-1.701,-0.151,车中车内底板.001,-76.046,-3.375,-1.215,隧道,-71.934,-2.950,-0.945,道床,
2025:06:15:46:54:920,4.545,263.074,357.837,-0.993,-0.102,-0.065,-59.938,-1.701,-0.147,车中车内底板.001,-76.213,-3.377,-1.209,隧道,-72.065,-2.950,-0.938,道床,
2025:06:15:46:54:942,4.633,263.277,357.887,-0.992,-0.101,-0.072,-60.123,-1.701,-0.291,车中车内底板.001,-75.785,-3.297,-1.432,隧道,-72.380,-2.950,-1.184,道床,
2025:06:15:46:54:966,4.762,263.484,357.927,-0.992,-0.099,-0.077,-60.413,-1.701,-0.394,车中车内底板.001,-75.593,-3.223,-1.571,隧道,-72.873,-2.950,-1.360,道床,
2025:06:15:46:54:987,4.870,263.593,357.929,-0.997,-0.067,-0.048,-87.470,-2.950,-1.197,道床,-92.520,-3.291,-1.443,隧道,-75.417,-2.950,-1.493,道床,
2025:06:15:46:55:009,4.976,263.753,357.944,-0.998,-0.058,-0.035,-94.928,-2.950,-0.872,道床,-73.375,-1.701,-0.107,车中车内底板.001,-102.632,-3.396,-1.146,隧道,
2025:06:15:46:55:031,5.014,263.698,358.074,-0.998,-0.055,-0.029,-98.018,-2.950,-0.647,道床,-75.192,-1.701,0.025,车中车内底板.001,-107.413,-3.464,-0.923,隧道,
2025:06:15:46:55:053,5.079,263.554,358.223,-0.998,-0.053,-0.031,-99.737,-2.950,-0.787,道床,-76.202,-1.701,-0.057,车中车内底板.001,-108.627,-3.422,-1.062,隧道,
