TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:03:48:303,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:03:49:473,0.000,160.000,0.000,0.257,-0.096,-0.962,-41.284,0.774,-3.509,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:03:49:578,357.216,25.552,359.586,0.501,-0.049,0.864,-41.010,-0.060,3.594,隧道,-42.322,0.068,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:613,356.610,24.658,358.934,0.488,-0.039,0.872,-41.059,-0.032,3.597,隧道,-42.328,0.070,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:671,356.569,24.042,358.734,0.516,-0.040,0.856,-40.956,-0.038,3.596,隧道,-42.322,0.069,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:717,356.321,23.050,358.948,0.545,-0.039,0.838,-40.842,-0.036,3.596,隧道,-42.316,0.070,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:745,356.162,22.298,359.203,0.562,-0.038,0.826,-40.773,-0.033,3.597,隧道,-42.312,0.070,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:769,356.237,22.056,359.329,0.573,-0.048,0.818,-40.723,-0.066,3.593,隧道,-42.309,0.067,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:779,356.283,21.912,359.345,0.591,-0.058,0.804,-40.642,-0.100,3.590,隧道,-42.303,0.065,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:811,356.493,21.664,359.351,0.604,-0.074,0.794,-40.584,-0.149,3.585,隧道,-42.298,0.061,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:835,356.589,21.763,359.373,0.632,-0.084,0.770,-40.438,-0.187,3.582,隧道,-42.286,0.058,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:857,356.688,21.786,359.402,0.636,-0.088,0.766,-40.418,-0.201,3.580,隧道,-42.284,0.056,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:879,356.711,21.751,359.353,0.643,-0.091,0.760,-40.381,-0.213,3.579,隧道,-42.282,0.056,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:900,356.685,21.774,359.327,0.633,-0.089,0.769,-40.437,-0.203,3.580,隧道,-42.286,0.056,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:922,356.607,21.864,359.315,0.630,-0.087,0.771,-40.449,-0.196,3.581,隧道,-42.287,0.057,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:945,356.465,21.960,359.337,0.633,-0.083,0.770,-40.435,-0.186,3.582,隧道,-42.286,0.058,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:967,356.500,21.943,359.366,0.625,-0.079,0.776,-40.476,-0.172,3.583,隧道,-42.289,0.059,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:49:989,356.511,21.940,359.408,0.624,-0.079,0.777,-40.482,-0.171,3.583,隧道,-42.289,0.059,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:012,356.501,21.974,359.501,0.619,-0.079,0.782,-40.509,-0.170,3.583,隧道,-42.291,0.059,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:033,356.533,22.032,359.633,0.615,-0.079,0.785,-40.528,-0.167,3.584,隧道,-42.293,0.059,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:055,356.491,22.038,359.801,0.600,-0.066,0.798,-40.603,-0.125,3.588,隧道,-42.299,0.063,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:078,356.524,21.946,359.900,0.582,-0.058,0.811,-40.685,-0.097,3.590,隧道,-42.306,0.065,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:101,356.574,21.848,359.977,0.532,-0.042,0.846,-40.899,-0.042,3.596,隧道,-42.324,0.069,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:123,356.609,21.830,0.036,0.523,-0.037,0.851,-40.933,-0.027,3.597,隧道,-42.326,0.070,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:145,356.520,21.937,0.079,0.532,-0.023,0.846,-40.896,0.013,3.599,隧道,-42.323,0.073,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:167,356.335,22.080,0.038,0.598,0.085,0.797,-40.620,0.337,3.567,隧道,-42.301,0.099,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:190,356.127,22.272,359.897,0.627,0.106,0.772,-40.479,0.410,3.560,隧道,-42.289,0.105,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:212,356.028,22.532,359.867,0.648,0.140,0.749,-40.357,0.529,3.548,隧道,-42.278,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:03:50:233,355.906,22.752,359.780,0.654,0.155,0.741,-40.320,0.581,3.543,隧道,-42.275,0.118,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
