TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:41:46:354,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:41:47:308,354.814,341.652,2.555,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:41:47:355,354.230,341.640,2.096,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:41:47:433,354.247,341.740,2.054,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:41:47:477,353.743,341.230,1.593,-0.457,-0.002,0.889,-43.807,0.073,3.593,隧道,-42.644,0.078,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:493,353.788,341.136,1.542,-0.459,-0.008,0.888,-43.817,0.057,3.594,隧道,-42.645,0.077,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:516,353.909,340.990,1.637,-0.432,-0.009,0.902,-43.724,0.054,3.595,隧道,-42.638,0.077,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:538,354.061,340.839,1.822,-0.345,-0.023,0.938,-43.451,0.017,3.598,隧道,-42.618,0.074,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:561,354.192,340.723,1.988,-0.346,-0.038,0.938,-43.455,-0.021,3.598,隧道,-42.618,0.071,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:582,354.364,340.681,2.143,-0.346,0.002,0.938,-43.453,0.085,3.592,隧道,-42.618,0.079,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:605,354.581,340.632,2.278,-0.347,0.026,0.937,-43.456,0.147,3.585,隧道,-42.619,0.084,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:633,354.802,340.519,2.580,-0.350,0.063,0.935,-43.462,0.242,3.576,隧道,-42.620,0.091,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:655,354.879,340.443,2.589,-0.352,0.076,0.933,-43.467,0.277,3.573,隧道,-42.620,0.094,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:677,355.003,340.336,2.722,-0.416,0.076,0.906,-43.665,0.283,3.572,隧道,-42.636,0.094,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:700,355.039,340.267,2.806,-0.426,0.075,0.902,-43.699,0.280,3.572,隧道,-42.638,0.094,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:721,355.160,340.178,2.954,-0.437,0.072,0.896,-43.737,0.273,3.573,隧道,-42.641,0.093,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:745,355.297,340.140,3.041,-0.438,0.069,0.896,-43.741,0.266,3.574,隧道,-42.642,0.093,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:768,355.474,340.121,3.090,-0.444,0.066,0.894,-43.759,0.257,3.575,隧道,-42.643,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:790,355.614,340.132,3.129,-0.446,0.063,0.893,-43.766,0.250,3.575,隧道,-42.644,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:811,355.681,340.094,3.148,-0.447,0.062,0.892,-43.771,0.247,3.576,隧道,-42.644,0.091,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:833,355.669,339.986,3.136,-0.450,0.062,0.891,-43.780,0.248,3.576,隧道,-42.645,0.091,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:856,355.609,339.844,3.074,-0.453,0.063,0.889,-43.792,0.251,3.575,隧道,-42.647,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:41:47:878,355.557,339.711,2.997,-0.456,0.064,0.888,-43.803,0.254,3.575,隧道,-42.648,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
