TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:24:29:181,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:24:30:390,0.000,160.000,0.000,0.191,-0.032,-0.981,-141.609,0.970,-3.450,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:24:30:492,357.776,253.415,1.739,-0.993,0.011,-0.119,-161.715,0.281,-1.337,车中车厢内部上部条纹,-180.129,0.477,-3.553,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:583,357.482,253.728,1.589,-0.993,0.015,-0.113,-162.597,0.372,-1.317,车中车厢内部上部条纹,-182.050,0.659,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:641,357.324,253.888,1.505,-0.992,0.016,-0.126,-177.905,0.664,-3.535,隧道,-182.050,0.659,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:688,357.196,254.024,1.366,-0.992,0.050,-0.118,-176.812,1.792,-3.104,隧道,-182.050,0.659,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:711,357.166,254.129,1.302,-0.993,0.059,-0.107,-178.057,2.182,-2.844,隧道,-182.050,0.659,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:733,357.151,254.194,1.290,-0.993,0.080,-0.083,-178.458,2.960,-2.041,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:757,357.156,254.226,1.286,-0.993,0.092,-0.075,-176.376,3.220,-1.576,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:787,357.141,254.238,1.274,-0.992,0.101,-0.079,-173.719,3.244,-1.531,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:809,357.121,254.267,1.265,-0.991,0.107,-0.079,-172.431,3.306,-1.414,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:832,357.169,254.275,1.276,-0.991,0.110,-0.079,-171.976,3.327,-1.376,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:854,357.191,254.294,1.237,-0.990,0.116,-0.076,-170.913,3.376,-1.212,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:877,357.203,254.304,1.208,-0.989,0.125,-0.078,-168.966,3.407,-1.112,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:898,357.216,254.340,1.214,-0.990,0.113,-0.081,-171.020,3.327,-1.373,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:920,357.243,254.356,1.228,-0.991,0.099,-0.085,-173.485,3.168,-1.674,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:941,357.256,254.382,1.237,-0.993,0.080,-0.089,-177.228,2.874,-2.145,隧道,-179.951,2.593,-2.671,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:964,357.261,254.420,1.254,-0.993,0.069,-0.092,-179.468,2.638,-2.432,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:30:986,357.266,254.473,1.286,-0.994,0.054,-0.095,-181.897,2.229,-2.806,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:007,357.273,254.552,1.326,-0.994,0.049,-0.095,-183.206,2.070,-2.936,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:031,357.286,254.650,1.337,-0.994,0.044,-0.096,-184.254,1.917,-3.037,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:053,357.293,254.817,1.338,-0.995,0.042,-0.095,-184.646,1.866,-3.065,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:074,357.291,254.982,1.339,-0.995,0.041,-0.094,-185.472,1.855,-3.071,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:096,357.300,255.208,1.327,-0.995,0.041,-0.096,-184.571,1.807,-3.096,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:118,357.323,255.518,1.335,-0.995,0.038,-0.091,-187.396,1.775,-3.113,隧道,-179.951,2.672,-2.477,隧道,0.000,0.000,0.000,Null,
2025:06:20:24:31:141,357.377,255.914,1.379,-0.999,0.028,0.045,-150.746,0.304,1.327,车中车厢内部上部条纹,-193.738,1.502,3.259,隧道,-146.514,0.186,1.137,underground-connection (2),
2025:06:20:24:31:161,357.447,256.264,1.452,-0.993,0.024,0.119,-164.121,0.590,3.542,隧道,-146.514,0.184,1.149,underground-connection (2),-149.994,0.280,1.315,车中车厢左车门1-2,
2025:06:20:24:31:187,357.490,256.544,1.544,-0.987,0.020,0.158,-145.060,0.127,1.352,车中车厢内部窗户皮,-145.854,0.143,1.479,GameObject (1),-158.853,0.404,3.560,隧道,
2025:06:20:24:31:209,357.502,256.716,1.576,-0.988,0.025,0.152,-145.144,0.141,1.350,车中车厢内部窗户皮,-159.951,0.511,3.631,隧道,-145.978,0.162,1.479,GameObject (1),
2025:06:20:24:31:229,357.536,256.882,1.587,-0.987,0.024,0.159,-145.031,0.136,1.351,车中车厢内部窗户皮,-145.824,0.155,1.479,GameObject (1),-158.684,0.463,3.554,隧道,
2025:06:20:24:31:252,357.599,256.826,1.581,-0.986,0.021,0.167,-144.918,0.126,1.352,车中车厢内部窗户皮,-145.665,0.142,1.479,GameObject (1),-157.915,0.401,3.561,隧道,
2025:06:20:24:31:274,357.703,256.628,1.612,-0.986,0.018,0.167,-144.931,0.120,1.352,车中车厢内部窗户皮,-145.676,0.133,1.479,GameObject (1),-157.987,0.354,3.565,隧道,
2025:06:20:24:31:297,357.815,256.376,1.643,-0.987,0.018,0.159,-145.049,0.122,1.352,车中车厢内部窗户皮,-145.834,0.136,1.479,GameObject (1),-158.760,0.368,3.564,隧道,
