TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:16:31:39:169,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:120,330.211,215.747,358.290,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:152,331.003,210.691,359.966,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:223,330.913,209.905,0.158,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:268,330.484,209.090,0.298,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:273,330.464,209.075,0.304,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:305,330.404,209.009,0.347,-0.392,0.261,-0.882,-44.442,1.324,-3.342,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:326,330.460,208.988,0.401,-0.395,0.258,-0.882,-44.461,1.314,-3.345,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:349,330.557,208.951,0.463,-0.397,0.256,-0.881,-44.471,1.305,-3.348,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:372,330.700,208.885,0.535,-0.395,0.253,-0.883,-44.462,1.290,-3.353,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:394,330.816,208.782,0.651,-0.393,0.250,-0.885,-44.447,1.272,-3.358,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:414,330.989,208.638,0.775,-0.391,0.246,-0.887,-44.437,1.253,-3.364,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:437,331.194,208.436,0.927,-0.385,0.242,-0.891,-44.404,1.231,-3.371,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:459,331.435,208.207,1.003,-0.380,0.238,-0.894,-44.378,1.208,-3.377,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:483,331.764,207.846,1.120,-0.375,0.231,-0.898,-44.372,1.192,-3.451,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:504,332.001,207.473,1.210,-0.368,0.227,-0.901,-44.337,1.169,-3.459,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:527,332.263,207.012,1.296,-0.361,0.223,-0.905,-44.298,1.145,-3.467,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:548,332.543,206.513,1.367,-0.350,0.218,-0.911,-44.212,1.101,-3.410,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:570,332.947,205.899,1.411,-0.340,0.211,-0.916,-44.156,1.064,-3.421,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:592,333.263,205.410,1.418,-0.333,0.205,-0.920,-44.117,1.036,-3.430,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:616,333.627,204.719,1.466,-0.325,0.199,-0.924,-44.076,1.005,-3.439,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:637,333.764,204.279,1.569,-0.319,0.197,-0.927,-44.045,0.992,-3.443,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:659,333.998,203.785,1.698,-0.314,0.193,-0.930,-44.015,0.971,-3.449,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:31:40:688,334.449,203.217,1.799,-0.308,0.185,-0.933,-43.987,0.936,-3.460,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
