TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:50:25:015,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:50:26:249,0.000,160.000,0.000,0.242,-0.037,-0.970,-41.354,0.944,-3.535,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:50:26:363,351.924,3.701,355.939,0.135,0.098,0.986,-42.160,0.319,3.569,隧道,-42.465,0.097,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:14:50:26:403,350.976,4.608,355.840,0.133,0.115,0.984,-42.162,0.361,3.564,隧道,-42.463,0.100,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:14:50:26:465,350.741,4.775,355.760,0.123,0.120,0.985,-42.187,0.372,3.563,隧道,-42.464,0.101,1.334,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:14:50:26:513,350.518,4.948,355.625,0.112,0.124,0.986,-42.212,0.382,3.562,隧道,-42.466,0.102,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:14:50:26:539,350.407,4.930,355.701,0.104,0.112,0.988,-42.232,0.353,3.565,隧道,-42.467,0.100,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:14:50:26:563,350.426,4.846,355.742,0.101,0.108,0.989,-42.242,0.342,3.566,隧道,-42.468,0.099,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:14:50:26:585,350.547,4.699,355.868,0.091,0.092,0.992,-42.265,0.303,3.570,隧道,-42.470,0.096,1.339,车中车厢左车门4-1,-42.470,0.096,1.339,车中车厢左车门4-2,
2025:06:14:50:26:608,350.677,4.527,355.945,0.084,0.084,0.993,-42.282,0.284,3.572,隧道,-42.472,0.095,1.341,车中车厢左车门4-1,-42.472,0.094,1.337,车中车厢左车门4-2,
2025:06:14:50:26:628,350.772,4.395,356.006,0.075,0.073,0.995,-42.306,0.257,3.575,隧道,-42.474,0.093,1.349,车中车厢左车门4-1,-42.475,0.092,1.335,车中车厢左车门4-2,
2025:06:14:50:26:650,350.867,4.373,356.010,0.072,0.070,0.995,-42.313,0.249,3.575,隧道,-42.474,0.093,1.354,车中车厢左车门4-1,-42.475,0.092,1.335,车中车厢左车门4-2,
2025:06:14:50:26:671,350.941,4.396,356.035,0.068,0.065,0.996,-42.323,0.238,3.577,隧道,-42.474,0.092,1.361,车中车厢左车门4-1,-42.476,0.091,1.335,车中车厢左车门4-2,
2025:06:14:50:26:695,351.025,4.418,356.142,0.062,0.057,0.996,-42.337,0.218,3.579,隧道,-42.474,0.091,1.375,车中车厢左车门4-1,-42.477,0.089,1.334,车中车厢左车门4-2,
2025:06:14:50:26:716,351.009,4.484,356.131,0.061,0.043,0.997,-42.339,0.184,3.582,隧道,-42.474,0.088,1.376,车中车厢左车门4-1,-42.477,0.087,1.334,车中车厢左车门4-2,
2025:06:14:50:26:739,351.051,4.528,356.141,0.061,0.035,0.998,-42.340,0.163,3.584,隧道,-42.474,0.086,1.376,车中车厢左车门4-1,-42.477,0.085,1.334,车中车厢左车门4-2,
2025:06:14:50:26:763,351.127,4.530,356.164,0.058,0.032,0.998,-42.346,0.156,3.585,隧道,-42.474,0.086,1.385,车中车厢左车门4-1,-42.477,0.084,1.334,车中车厢左车门4-2,
2025:06:14:50:26:783,351.296,4.543,356.218,0.059,0.014,0.998,-42.343,0.113,3.589,隧道,-42.474,0.082,1.380,车中车厢左车门4-1,-42.477,0.081,1.334,车中车厢左车门4-2,
2025:06:14:50:26:806,351.470,4.532,356.239,0.058,0.003,0.998,-42.346,0.086,3.592,隧道,-42.474,0.079,1.384,车中车厢左车门4-1,-42.477,0.079,1.334,车中车厢左车门4-2,
2025:06:14:50:26:826,351.681,4.474,356.279,0.056,-0.008,0.998,-42.351,0.060,3.594,隧道,-42.474,0.077,1.396,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:849,351.889,4.359,356.347,0.052,-0.019,0.998,-42.362,0.033,3.597,隧道,-42.479,0.075,1.333,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:872,352.131,4.168,356.448,0.049,-0.032,0.998,-42.368,0.001,3.600,隧道,-42.480,0.073,1.333,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:896,352.353,3.920,356.560,0.047,-0.042,0.998,-42.375,-0.024,3.598,隧道,-42.481,0.071,1.332,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:916,352.670,3.632,356.782,0.044,-0.057,0.997,-42.383,-0.062,3.594,隧道,-42.483,0.068,1.331,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:938,352.898,3.396,356.962,0.041,-0.071,0.997,-42.390,-0.094,3.591,隧道,-42.484,0.066,1.330,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:961,353.126,3.197,357.026,0.043,-0.087,0.995,-42.386,-0.134,3.587,隧道,-42.484,0.063,1.330,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:26:983,353.377,3.068,357.105,0.047,-0.094,0.994,-42.376,-0.151,3.585,隧道,-42.483,0.062,1.331,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:005,353.644,2.924,357.180,0.046,-0.103,0.994,-42.380,-0.175,3.583,隧道,-42.484,0.060,1.330,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:028,353.792,2.838,357.166,0.043,-0.103,0.994,-42.388,-0.174,3.583,隧道,-42.485,0.060,1.330,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:049,354.064,2.759,357.218,0.034,-0.096,0.995,-42.409,-0.157,3.585,隧道,-42.487,0.061,1.329,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:070,354.365,2.741,357.177,0.031,-0.097,0.995,-42.416,-0.159,3.584,隧道,-42.487,0.061,1.329,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:094,354.756,2.886,357.081,0.033,-0.104,0.994,-42.412,-0.176,3.583,隧道,-42.487,0.060,1.329,车中车厢左车门4-2,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:116,355.273,3.301,357.034,0.480,0.035,0.877,-41.160,0.176,3.583,隧道,-42.393,0.086,1.330,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:137,355.656,3.966,356.891,0.308,-0.030,0.951,-41.697,0.002,3.600,隧道,-42.431,0.073,1.331,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:161,355.981,5.160,356.808,0.555,0.080,0.828,-40.864,0.314,3.569,隧道,-42.366,0.096,1.329,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:183,356.173,6.766,356.830,0.507,0.156,0.848,-41.048,0.519,3.549,隧道,-42.375,0.111,1.328,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:204,356.369,8.727,356.868,0.457,0.194,0.868,-41.217,0.612,3.540,隧道,-42.383,0.119,1.328,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:228,356.524,10.996,357.015,0.399,0.168,0.901,-41.409,0.526,3.548,隧道,-42.391,0.112,1.328,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:249,356.477,13.256,357.184,0.430,0.081,0.899,-41.306,0.298,3.571,隧道,-42.378,0.095,1.329,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:273,356.335,16.102,357.181,0.456,0.027,0.889,-41.205,0.153,3.585,隧道,-42.363,0.084,1.330,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:294,356.231,18.515,356.958,0.510,-0.063,0.858,-40.996,-0.102,3.590,隧道,-42.340,0.065,1.331,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:317,356.347,21.360,356.606,0.583,-0.112,0.805,-40.682,-0.259,3.574,隧道,-42.306,0.052,1.332,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:338,356.750,22.732,356.344,0.643,-0.115,0.757,-40.376,-0.291,3.571,隧道,-42.277,0.049,1.332,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:361,357.415,24.256,356.287,0.659,-0.164,0.734,-40.267,-0.460,3.555,隧道,-42.262,0.035,1.333,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:382,357.892,26.040,356.183,0.674,-0.180,0.716,-40.164,-0.529,3.548,隧道,-42.247,0.029,1.334,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
2025:06:14:50:27:405,358.415,27.353,356.217,0.652,-0.183,0.736,-40.291,-0.521,3.549,隧道,-42.254,0.029,1.334,车中车厢左车门4-1,-42.478,0.077,1.334,车中车厢左车门4-2,
