TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:47:50:530,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:47:51:680,0.000,160.000,0.000,0.136,0.021,-0.991,-41.869,1.200,-3.380,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:47:51:773,0.424,37.843,358.710,0.777,0.019,0.630,-39.365,0.154,3.585,隧道,-42.147,0.085,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:858,0.631,38.049,358.478,0.787,0.015,0.616,-39.253,0.140,3.586,隧道,-42.136,0.084,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:886,0.724,38.139,358.425,0.790,0.014,0.613,-39.223,0.133,3.587,隧道,-42.133,0.083,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:908,0.784,38.197,358.392,0.795,0.013,0.607,-39.172,0.130,3.587,隧道,-42.129,0.083,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:929,0.816,38.270,358.354,0.798,0.012,0.603,-39.140,0.128,3.587,隧道,-42.126,0.083,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:953,0.835,38.348,358.320,0.801,0.012,0.598,-39.100,0.126,3.588,隧道,-42.122,0.083,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:974,0.906,38.426,358.289,0.804,0.010,0.595,-39.068,0.121,3.588,隧道,-42.119,0.082,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:51:998,0.924,38.533,358.303,0.808,0.010,0.590,-39.023,0.121,3.588,隧道,-42.115,0.082,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:019,0.926,38.693,358.280,0.810,0.010,0.586,-38.988,0.121,3.588,隧道,-42.111,0.082,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:041,0.944,38.851,358.236,0.814,0.010,0.581,-38.948,0.119,3.588,隧道,-42.107,0.082,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:065,0.970,39.106,358.226,0.818,0.013,0.576,-38.896,0.135,3.587,隧道,-42.101,0.083,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:085,0.944,39.376,358.290,0.821,0.017,0.570,-38.848,0.153,3.585,隧道,-42.096,0.085,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:108,0.891,39.657,358.384,0.825,0.021,0.565,-38.806,0.172,3.583,隧道,-42.091,0.087,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:131,0.800,39.952,358.441,0.827,0.025,0.562,-38.773,0.187,3.582,隧道,-42.087,0.088,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:151,0.681,40.300,358.480,0.829,0.028,0.558,-38.739,0.200,3.580,隧道,-42.083,0.089,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:174,0.556,40.615,358.510,0.829,0.029,0.559,-38.745,0.208,3.580,隧道,-42.082,0.090,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:196,0.397,40.970,358.558,0.831,0.032,0.556,-38.715,0.221,3.578,隧道,-42.078,0.091,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:218,0.217,41.309,358.594,0.829,0.035,0.559,-38.746,0.232,3.577,隧道,-42.079,0.092,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:241,0.080,41.730,358.612,0.830,0.033,0.557,-38.730,0.226,3.578,隧道,-42.076,0.092,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:263,359.716,42.136,358.597,0.829,0.036,0.557,-38.731,0.237,3.577,隧道,-42.074,0.093,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:286,359.390,42.593,358.610,0.831,0.040,0.555,-38.709,0.256,3.575,隧道,-42.070,0.094,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:16:47:52:307,358.902,43.035,358.501,0.828,0.046,0.559,-38.747,0.280,3.572,隧道,-42.072,0.097,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
