TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:16:47:50:530,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:16:47:51:680,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:773,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:858,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:886,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:908,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:929,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:953,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:974,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:51:998,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:019,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:041,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:065,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:085,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:108,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:131,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:151,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:174,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:196,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:218,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:241,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:263,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:286,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:307,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:329,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:352,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:373,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:398,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:419,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:441,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:462,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:485,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:507,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:530,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:551,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:574,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:597,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:619,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:640,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:662,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:684,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:707,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:730,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:760,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:782,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:806,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:828,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:850,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:871,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:894,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:916,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:939,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:961,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:52:982,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:47:53:004,-42.501,-1.621,0.969,-0.059,0.000,-1.846,1.846,0.000,0.000,0.000,
2025:06:16:47:53:027,-42.512,-1.621,0.940,-0.652,0.000,-1.748,1.866,0.000,0.000,0.000,
2025:06:16:47:53:050,-42.518,-1.621,0.906,-0.052,0.000,-0.992,0.993,0.000,0.000,0.000,
2025:06:16:47:53:072,-42.512,-1.621,0.912,0.386,0.000,0.410,0.563,-0.524,0.000,-9.916,
2025:06:16:47:53:093,-42.509,-1.621,0.917,0.167,0.000,0.259,0.308,-0.524,0.000,-9.916,
2025:06:16:47:53:115,-42.499,-1.621,0.921,0.154,0.000,0.168,0.228,-0.524,0.000,-9.916,
2025:06:16:47:53:138,-42.495,-1.621,0.926,0.220,0.000,0.302,0.373,-0.524,0.000,-9.916,
2025:06:16:47:53:161,-42.494,-1.621,0.928,0.070,0.000,0.121,0.140,-0.524,0.000,-9.916,
2025:06:16:47:53:182,-42.492,-1.621,0.932,0.032,0.000,0.074,0.081,1.227,0.000,11.125,
2025:06:16:47:53:204,-42.486,-1.621,0.957,0.364,0.000,1.495,1.539,1.227,0.000,11.125,
2025:06:16:47:53:228,-42.476,-1.621,1.003,0.607,0.000,2.742,2.808,1.227,0.000,11.125,
2025:06:16:47:53:251,-42.453,-1.621,1.077,0.372,0.000,1.440,1.488,1.227,0.000,11.125,
2025:06:16:47:53:272,-42.448,-1.621,1.113,0.275,0.000,2.128,2.145,1.227,0.000,11.125,
2025:06:16:47:53:295,-42.443,-1.621,1.133,0.344,0.000,1.213,1.261,2.051,0.000,20.069,
2025:06:16:47:53:316,-42.421,-1.621,1.165,0.406,0.000,0.363,0.545,2.051,0.000,20.069,
2025:06:16:47:53:339,-42.407,-1.621,1.177,0.818,0.000,0.684,1.067,2.051,0.000,20.069,
2025:06:16:47:53:360,-42.401,-1.621,1.180,0.337,0.000,0.163,0.374,2.051,0.000,20.069,
2025:06:16:47:53:383,-42.369,-1.621,1.166,0.295,0.000,-0.307,0.426,13.891,0.000,-26.218,
2025:06:16:47:53:404,-42.363,-1.621,1.161,0.324,0.000,-0.317,0.453,13.891,0.000,-26.218,
2025:06:16:47:53:428,-42.363,-1.621,1.158,0.024,0.000,-0.162,0.164,13.891,0.000,-26.218,
2025:06:16:47:53:451,-42.361,-1.621,1.134,-0.010,0.000,-0.714,0.714,13.891,0.000,-26.218,
2025:06:16:47:53:472,-42.357,-1.621,1.132,0.229,0.000,-0.076,0.241,13.891,0.000,-26.218,
2025:06:16:47:53:494,-42.355,-1.621,1.135,0.113,0.000,0.137,0.178,-15.511,0.000,6.308,
2025:06:16:47:53:515,-42.350,-1.621,1.140,0.080,0.000,0.081,0.114,-15.511,0.000,6.308,
2025:06:16:47:53:538,-42.348,-1.621,1.142,0.134,0.000,0.118,0.178,-15.511,0.000,6.308,
2025:06:16:47:53:561,-42.347,-1.621,1.143,0.053,0.000,0.045,0.069,-15.511,0.000,6.308,
2025:06:16:47:53:582,-42.346,-1.621,1.143,0.000,0.000,0.000,0.000,-15.511,0.000,6.308,
2025:06:16:47:53:605,-42.346,-1.621,1.143,0.000,0.000,0.000,0.000,-1.133,0.000,-1.367,
2025:06:16:47:53:628,-42.345,-1.621,1.117,0.083,0.000,-1.554,1.557,-1.133,0.000,-1.367,
2025:06:16:47:53:649,-42.360,-1.621,1.138,-0.329,0.000,0.337,0.471,-1.133,0.000,-1.367,
2025:06:16:47:53:672,-42.364,-1.621,1.146,-0.224,0.000,0.472,0.523,-1.133,0.000,-1.367,
2025:06:16:47:53:695,-42.363,-1.621,1.124,0.055,0.000,-1.354,1.355,-1.133,0.000,-1.367,
2025:06:16:47:53:716,-42.368,-1.621,1.124,0.078,0.000,0.095,0.123,0.554,0.000,-13.538,
2025:06:16:47:53:739,-42.365,-1.621,1.127,0.154,0.000,0.163,0.224,0.554,0.000,-13.538,
2025:06:16:47:53:762,-42.364,-1.621,1.128,0.068,0.000,0.061,0.092,0.554,0.000,-13.538,
2025:06:16:47:53:783,-42.361,-1.621,1.130,0.060,0.000,0.041,0.072,0.554,0.000,-13.538,
2025:06:16:47:53:806,-42.359,-1.621,1.131,0.112,0.000,0.069,0.131,0.043,0.000,13.948,
2025:06:16:47:53:828,-42.359,-1.621,1.131,0.000,0.000,0.000,0.000,0.043,0.000,13.948,
