TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:02:36:022,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:02:37:324,0.000,160.000,0.000,0.414,0.042,-0.909,-40.535,1.304,-3.348,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:02:37:676,357.906,254.666,359.383,-0.942,-0.021,-0.335,-55.427,-0.212,-3.579,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:02:37:787,356.191,253.963,359.539,-0.939,0.009,-0.344,-55.024,0.198,-3.581,隧道,-48.958,0.139,-1.356,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:37:847,355.849,253.952,359.488,-0.938,0.012,-0.346,-54.953,0.240,-3.576,隧道,-48.921,0.161,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:37:896,355.755,253.918,358.942,-0.939,0.013,-0.344,-55.029,0.246,-3.576,隧道,-48.960,0.164,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:37:925,355.848,254.099,358.390,-0.940,0.011,-0.340,-55.191,0.221,-3.578,隧道,-49.011,0.155,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:37:952,355.765,254.202,358.025,-0.941,0.012,-0.338,-55.282,0.238,-3.577,隧道,-49.011,0.155,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:37:978,355.610,254.186,357.933,-0.941,0.014,-0.337,-55.287,0.272,-3.573,隧道,-49.011,0.155,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:38:000,355.787,254.069,358.019,-0.941,0.010,-0.338,-55.262,0.214,-3.579,隧道,-49.011,0.155,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:38:025,355.492,253.804,358.170,-0.940,0.014,-0.342,-55.087,0.270,-3.573,隧道,-48.989,0.176,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:38:048,355.125,253.496,358.448,-0.938,0.019,-0.346,-54.922,0.330,-3.568,隧道,-48.902,0.207,-1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:38:072,354.833,253.152,358.681,-0.936,0.024,-0.351,-48.790,0.234,-1.345,车中车厢内部上部条纹,-54.713,0.383,-3.562,隧道,0.000,0.000,0.000,Null,
2025:06:11:02:38:102,354.685,252.788,359.019,-0.935,0.025,-0.354,-48.710,0.239,-1.344,车中车厢内部上部条纹,-54.560,0.394,-3.561,隧道,0.000,0.000,0.000,Null,
2025:06:11:02:38:123,354.629,252.619,359.092,-0.935,0.024,-0.354,-48.722,0.235,-1.344,车中车厢内部上部条纹,-54.584,0.386,-3.562,隧道,0.000,0.000,0.000,Null,
2025:06:11:02:38:146,354.423,252.623,359.017,-0.935,0.027,-0.353,-48.732,0.256,-1.341,车中车厢内部上部条纹,-54.608,0.427,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:11:02:38:167,354.192,252.831,358.954,-0.961,0.012,-0.276,-58.406,0.277,-3.573,隧道,-50.676,0.180,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:38:190,354.000,253.041,359.006,-0.988,0.001,-0.156,-71.382,0.095,-3.591,隧道,-50.723,0.200,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:02:38:213,353.853,253.196,359.049,-0.998,-0.011,-0.063,-69.487,-0.212,-0.741,5,-50.601,-0.008,0.453,57,-53.369,-0.038,0.278,114,
2025:06:11:02:38:235,353.571,253.249,359.129,-0.999,-0.007,-0.047,-137.854,-0.635,-3.537,隧道,-69.903,-0.126,-0.330,115,-72.465,-0.145,-0.451,117,
2025:06:11:02:38:257,353.169,253.216,359.056,-0.998,0.000,-0.064,-78.717,0.073,-1.362,车中车厢内部窗户皮,-78.230,0.073,-1.331,SM_Plug_01a (6),-113.425,0.068,-3.593,隧道,
2025:06:11:02:38:279,352.858,253.308,358.677,-0.997,0.003,-0.074,-73.587,0.176,-1.353,车中车厢内部窗户皮,-69.133,0.162,-1.020,underground-connection (3),-103.343,0.269,-3.574,隧道,
2025:06:11:02:38:301,352.645,253.528,358.446,-0.997,0.006,-0.082,-97.410,0.383,-3.562,隧道,-69.118,0.226,-1.227,underground-connection (3),-70.522,0.234,-1.343,车中车厢内部上部条纹,
2025:06:11:02:38:322,352.500,253.647,358.368,-0.995,0.005,-0.097,-89.058,0.306,-3.570,隧道,-66.306,0.195,-1.350,车中车厢内部窗户皮,-67.633,0.205,-1.349,车中车厢内部窗户皮,
2025:06:11:02:38:342,352.393,253.843,358.289,-0.995,0.004,-0.097,-89.261,0.284,-3.572,隧道,-66.414,0.183,-1.352,车中车厢内部窗户皮,-67.633,0.205,-1.349,车中车厢内部窗户皮,
2025:06:11:02:38:366,352.260,254.151,358.125,-0.996,0.005,-0.094,-68.215,0.206,-1.455,GameObject,-90.601,0.318,-3.569,隧道,-67.099,0.200,-1.350,车中车厢内部窗户皮,
2025:06:11:02:38:387,352.256,254.581,357.645,-0.996,-0.001,-0.091,-69.058,0.046,-1.455,GameObject,-92.497,0.016,-3.598,隧道,-68.063,0.047,-1.364,车中车厢内部窗户皮,
2025:06:11:02:38:411,352.325,254.953,357.453,-0.997,-0.004,-0.083,-96.947,-0.127,-3.588,隧道,-69.116,-0.021,-1.256,underground-connection (3),-70.875,-0.028,-1.404,车中部车厢窗户外皮,
2025:06:11:02:38:433,352.266,255.289,357.519,-0.997,-0.004,-0.078,-69.126,-0.018,-1.117,underground-connection (3),-100.576,-0.133,-3.587,隧道,-69.121,-0.004,-1.188,underground-connection (3),
2025:06:11:02:38:454,352.178,255.929,357.436,-0.998,-0.003,-0.068,-109.817,-0.122,-3.588,隧道,-104.711,-0.133,-3.587,隧道,-69.121,-0.004,-1.188,underground-connection (3),
2025:06:11:02:38:477,352.308,256.640,357.233,-0.998,-0.011,-0.056,-121.681,-0.824,-3.470,应急疏散平台左侧空气墙,-122.080,-0.828,-3.493,隧道,-69.605,-0.229,-0.548,5,
2025:06:11:02:38:497,352.469,257.355,357.083,-0.997,-0.069,-0.037,-86.553,-2.950,-0.657,道床,-93.968,-3.461,-0.931,隧道,-59.004,-1.050,0.362,91,
2025:06:11:02:38:522,352.481,257.597,357.093,-0.993,-0.112,-0.034,-58.491,-1.701,0.423,车中车内底板.001,-75.263,-3.586,-0.153,隧道,-69.604,-2.950,0.041,道床,
2025:06:11:02:38:543,352.588,257.791,356.863,-0.993,-0.117,-0.031,-57.783,-1.701,0.503,车中车内底板.001,-73.913,-3.598,0.008,隧道,-68.399,-2.950,0.177,道床,
2025:06:11:02:38:566,352.730,258.025,356.384,-0.990,-0.141,-0.030,-55.111,-1.701,0.594,车中车内底板.001,-68.265,-3.580,0.198,隧道,-63.854,-2.950,0.331,道床,
2025:06:11:02:38:587,352.613,257.948,356.392,-0.989,-0.145,-0.035,-54.772,-1.701,0.541,车中车内底板.001,-67.641,-3.591,0.088,隧道,-63.278,-2.950,0.242,道床,
2025:06:11:02:38:609,352.624,257.733,356.464,-0.989,-0.138,-0.042,-55.364,-1.701,0.432,车中车内底板.001,-68.839,-3.587,-0.137,隧道,-64.285,-2.950,0.055,道床,
