TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:36:40:627,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:36:41:817,0.000,160.000,0.000,0.421,0.104,-0.901,-40.570,1.675,-3.167,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:36:41:910,6.050,163.629,359.703,0.362,0.029,-0.932,-40.737,0.215,-3.579,隧道,-41.600,0.146,-1.356,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:14:36:41:953,5.497,163.412,359.928,0.364,0.060,-0.930,-40.727,0.365,-3.564,隧道,-41.595,0.221,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:14:36:42:008,5.339,163.342,0.020,0.363,0.094,-0.927,-41.600,0.300,-1.334,车中车厢内部上部条纹,-40.735,0.525,-3.548,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:066,5.105,163.351,0.082,0.353,0.121,-0.928,-41.630,0.362,-1.320,车中车厢内部上部条纹,-40.789,0.651,-3.536,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:084,5.041,163.363,0.103,0.352,0.133,-0.926,-41.633,0.389,-1.313,车中车厢内部上部条纹,-40.790,0.706,-3.530,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:107,5.005,163.343,0.120,0.352,0.138,-0.926,-41.633,0.401,-1.309,车中车厢内部上部条纹,-40.790,0.731,-3.522,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:129,4.982,163.332,0.122,0.352,0.141,-0.925,-41.633,0.407,-1.307,车中车厢内部上部条纹,-40.791,0.743,-3.518,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:149,4.962,163.333,0.093,0.352,0.147,-0.924,-41.635,0.422,-1.302,车中车厢内部上部条纹,-40.795,0.773,-3.509,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:175,4.943,163.368,0.088,0.354,0.151,-0.923,-40.786,0.793,-3.503,隧道,-40.797,0.774,-3.509,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:195,4.896,163.405,0.099,0.349,0.149,-0.925,-41.644,0.425,-1.301,车中车厢内部上部条纹,-40.813,0.780,-3.507,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:217,4.850,163.472,0.099,0.346,0.147,-0.927,-41.651,0.422,-1.302,车中车厢内部上部条纹,-40.826,0.773,-3.509,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:238,4.786,163.528,0.147,0.344,0.146,-0.928,-41.656,0.418,-1.303,车中车厢内部上部条纹,-40.837,0.766,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:260,4.732,163.576,0.193,0.339,0.133,-0.931,-41.669,0.389,-1.313,车中车厢内部上部条纹,-40.863,0.705,-3.530,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:284,4.703,163.636,0.220,0.337,0.131,-0.932,-41.673,0.384,-1.314,车中车厢内部上部条纹,-40.871,0.695,-3.532,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:306,4.710,163.699,0.222,0.334,0.121,-0.935,-41.680,0.361,-1.320,车中车厢内部上部条纹,-40.888,0.649,-3.536,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:328,4.704,163.735,0.248,0.333,0.119,-0.935,-41.682,0.357,-1.321,车中车厢内部上部条纹,-40.893,0.640,-3.537,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:351,4.712,163.781,0.262,0.331,0.105,-0.938,-41.688,0.324,-1.329,车中车厢内部上部条纹,-40.907,0.573,-3.544,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:373,4.720,163.812,0.242,0.331,0.098,-0.938,-41.686,0.307,-1.333,车中车厢内部上部条纹,-40.905,0.538,-3.547,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:395,4.706,163.834,0.241,0.330,0.093,-0.939,-41.689,0.296,-1.335,车中车厢内部上部条纹,-40.911,0.515,-3.549,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:417,4.675,163.846,0.255,0.330,0.091,-0.940,-41.689,0.292,-1.336,车中车厢内部上部条纹,-40.911,0.507,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:438,4.665,163.839,0.296,0.330,0.092,-0.939,-41.687,0.293,-1.335,车中车厢内部上部条纹,-40.908,0.510,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:461,4.684,163.836,0.331,0.330,0.089,-0.940,-41.688,0.287,-1.336,车中车厢内部上部条纹,-40.910,0.497,-3.551,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:484,4.715,163.813,0.395,0.330,0.088,-0.940,-41.688,0.284,-1.337,车中车厢内部上部条纹,-40.910,0.492,-3.552,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:505,4.748,163.807,0.423,0.329,0.086,-0.940,-41.691,0.279,-1.338,车中车厢内部上部条纹,-40.916,0.481,-3.553,隧道,0.000,0.000,0.000,Null,
2025:06:14:36:42:528,4.793,163.796,0.443,0.308,0.013,-0.951,-41.022,0.139,-3.586,隧道,-41.742,0.109,-1.359,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:14:36:42:549,4.850,163.781,0.481,0.288,-0.064,-0.956,-41.122,-0.217,-3.579,隧道,-41.742,0.109,-1.359,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:14:36:42:573,4.944,163.767,0.540,0.279,-0.106,-0.954,-41.166,-0.411,-3.559,隧道,-41.742,0.109,-1.359,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:14:36:42:595,5.051,163.756,0.587,0.281,-0.107,-0.954,-41.155,-0.417,-3.559,隧道,-41.742,0.109,-1.359,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
