TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:14:50:37:228,17.776,210.487,358.497,-0.553,-0.397,-0.733,-45.534,-0.834,-3.050,应急疏散平台左侧空气墙,-45.820,-1.039,-3.429,隧道,0.000,0.000,0.000,Null,
2025:07:14:50:37:389,17.854,210.415,358.701,-0.551,-0.408,-0.728,-45.540,-1.728,-3.050,应急疏散平台左侧空气墙,-44.312,-0.819,-1.425,车中车厢内部中部条纹,-45.592,-1.766,-3.118,隧道,
2025:07:14:50:37:456,17.685,210.238,358.688,-0.549,-0.405,-0.731,-45.518,-2.091,-3.050,应急疏散平台左侧空气墙,-45.450,-2.041,-2.960,隧道,-44.310,-1.200,-1.441,车中车厢内部下部条纹,
2025:07:14:50:37:529,17.531,210.194,358.629,-0.549,-0.403,-0.732,-45.515,-2.079,-3.050,应急疏散平台左侧空气墙,-45.453,-2.033,-2.966,隧道,-44.309,-1.194,-1.441,车中车厢内部下部条纹,
2025:07:14:50:37:603,17.277,210.100,358.677,-0.550,-0.399,-0.733,-45.518,-2.057,-3.050,应急疏散平台左侧空气墙,-45.465,-2.018,-2.979,隧道,-44.310,-1.180,-1.440,车中车厢内部下部条纹,
2025:07:14:50:37:673,17.058,209.901,358.651,-0.546,-0.397,-0.738,-45.476,-2.029,-3.050,应急疏散平台左侧空气墙,-45.435,-1.999,-2.994,隧道,-44.285,-1.163,-1.440,车中车厢内部下部条纹,
2025:07:14:50:37:742,16.843,209.448,358.585,-0.180,-0.338,-0.924,-43.337,-1.355,-3.050,应急疏散平台左侧空气墙,-43.384,-1.443,-3.291,隧道,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:37:812,16.824,208.287,358.352,-0.216,-0.347,-0.913,-43.498,-1.411,-3.050,应急疏散平台左侧空气墙,-43.548,-1.493,-3.265,隧道,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:37:880,16.849,207.249,358.233,-0.212,-0.344,-0.915,-43.479,-1.396,-3.050,应急疏散平台左侧空气墙,-43.530,-1.479,-3.272,隧道,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:37:950,16.900,206.373,358.035,-0.205,-0.339,-0.918,-43.441,-1.367,-3.050,应急疏散平台左侧空气墙,-43.494,-1.454,-3.285,隧道,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:38:023,16.370,204.795,357.241,-0.187,-0.324,-0.927,-43.350,-1.291,-3.050,应急疏散平台左侧空气墙,-43.405,-1.386,-3.322,隧道,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:38:091,15.085,199.690,355.077,-0.115,-0.297,-0.948,-43.024,-1.145,-3.050,应急疏散平台左侧空气墙,-43.062,-1.244,-3.366,隧道,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:38:161,13.473,192.640,353.080,0.015,-0.252,-0.968,-42.467,-1.038,-3.429,隧道,-42.473,-0.939,-3.050,应急疏散平台左侧空气墙,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:38:232,11.548,184.794,351.142,0.212,-0.168,-0.963,-41.549,-0.687,-3.532,隧道,-41.859,-0.824,-3.346,应急疏散平台左侧空气墙,-44.088,-1.630,-3.191,隧道,
2025:07:14:50:38:305,9.574,177.907,350.186,0.209,-0.144,-0.967,-41.546,-0.575,-3.543,隧道,-41.859,-0.824,-3.346,应急疏散平台左侧空气墙,-44.088,-1.630,-3.191,隧道,
