TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:09:52:07:697,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:52:08:701,351.077,0.458,358.220,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:52:08:737,356.018,314.880,8.719,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:52:08:820,358.455,307.159,8.749,-0.772,-0.301,0.559,-45.798,-1.159,3.392,隧道,-42.959,-0.054,1.336,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:09:52:08:869,5.169,288.689,7.543,-0.868,-0.435,0.238,-43.934,-0.569,1.402,车中车厢内部窗户皮,-47.947,-2.581,2.502,隧道,-47.072,-2.142,2.262,隧道右侧空气墙,
2025:07:09:52:08:892,6.199,286.432,7.156,-0.870,-0.451,0.199,-48.095,-2.748,2.299,隧道,-44.250,-0.755,1.420,车中部车厢窗户外皮,-46.927,-2.142,2.032,隧道右侧空气墙,
2025:07:09:52:08:914,7.651,284.293,6.392,-0.881,-0.454,0.135,-48.632,-3.007,1.975,隧道,-45.112,-1.192,1.435,车中车厢内部下部条纹,-48.522,-2.950,1.958,道床,
2025:07:09:52:08:935,8.838,282.600,5.834,-0.895,-0.446,0.022,-49.575,-3.374,1.218,隧道,-45.110,-1.146,1.110,SM_Fire_Extinguisher_Cabinet_01a,-46.290,-1.735,1.139,GameObject (2),
2025:07:09:52:08:958,9.981,280.162,5.188,-0.889,-0.454,-0.057,-49.749,-3.542,0.589,隧道,-46.211,-1.735,0.816,GameObject (2),-48.590,-2.950,0.664,道床,
2025:07:09:52:08:979,10.994,277.828,4.689,-0.876,-0.462,-0.137,-49.631,-3.596,-0.052,隧道,-46.103,-1.735,0.500,GameObject (2),-48.406,-2.950,0.139,道床,
2025:07:09:52:09:002,12.158,274.666,4.097,-0.866,-0.480,-0.142,-49.291,-3.596,-0.052,隧道,-45.937,-1.735,0.496,GameObject (2),-48.127,-2.950,0.138,道床,
2025:07:09:52:09:025,13.000,272.184,3.829,-0.830,-0.557,-0.001,-47.906,-3.436,1.016,隧道,-45.322,-1.701,1.020,车中车内底板.001,-47.182,-2.950,1.017,道床,
2025:07:09:52:09:046,13.861,269.306,3.669,-0.807,-0.590,-0.033,-47.559,-3.497,0.814,隧道,-45.104,-1.701,0.916,车中车内底板.001,-46.811,-2.950,0.845,道床,
2025:07:09:52:09:068,14.677,266.611,3.361,-0.781,-0.620,-0.081,-47.235,-3.547,0.538,隧道,-44.912,-1.701,0.778,车中车内底板.001,-46.484,-2.950,0.616,道床,
2025:07:09:52:09:092,15.534,263.528,3.088,-0.744,-0.664,-0.079,-46.729,-3.543,0.573,隧道,-44.665,-1.701,0.791,车中车内底板.001,-46.064,-2.950,0.643,道床,
2025:07:09:52:09:113,16.050,261.110,2.666,-0.735,-0.672,-0.087,-46.634,-3.548,0.528,隧道,-44.615,-1.701,0.766,车中车内底板.001,-45.981,-2.950,0.605,道床,
2025:07:09:52:09:136,16.619,257.999,2.567,-0.703,-0.617,-0.353,-46.673,-3.434,-1.023,隧道,-44.698,-1.701,-0.031,车中车内底板.001,-46.121,-2.950,-0.746,道床,
2025:07:09:52:09:157,16.858,256.055,2.634,-0.695,-0.592,-0.407,-46.671,-3.331,-1.360,隧道,-44.757,-1.701,-0.240,车中车内底板.001,-46.223,-2.950,-1.098,道床,
2025:07:09:52:09:180,17.285,252.590,2.463,-0.686,-0.586,-0.431,-46.580,-3.268,-1.485,隧道,-44.747,-1.701,-0.334,车中车内底板.001,-46.208,-2.950,-1.252,道床,
