TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:07:09:52:07:697,-42.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:07:09:52:08:701,-42.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:08:737,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:08:820,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:08:869,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:08:892,-42.501,-1.621,1.004,-0.036,0.000,0.254,0.256,0.000,0.000,0.000,
2025:07:09:52:08:914,-42.506,-1.621,1.019,-0.213,0.000,-0.047,0.218,-1.218,0.000,9.214,
2025:07:09:52:08:935,-42.511,-1.621,1.018,-0.276,0.000,-0.049,0.280,-1.218,0.000,9.214,
2025:07:09:52:08:958,-42.515,-1.621,1.018,-0.111,0.000,-0.001,0.111,-1.218,0.000,9.214,
2025:07:09:52:08:979,-42.517,-1.621,1.018,-0.175,0.000,0.014,0.175,-1.218,0.000,9.214,
2025:07:09:52:09:002,-42.520,-1.621,1.018,-0.142,0.000,0.021,0.144,-1.218,0.000,9.214,
2025:07:09:52:09:025,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.558,0.000,-9.106,
2025:07:09:52:09:046,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.558,0.000,-9.106,
2025:07:09:52:09:068,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.558,0.000,-9.106,
2025:07:09:52:09:092,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.558,0.000,-9.106,
2025:07:09:52:09:113,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.558,0.000,-9.106,
2025:07:09:52:09:136,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.659,0.000,-0.108,
2025:07:09:52:09:157,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.659,0.000,-0.108,
2025:07:09:52:09:180,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.659,0.000,-0.108,
2025:07:09:52:09:203,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.659,0.000,-0.108,
2025:07:09:52:09:225,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.659,0.000,-0.108,
2025:07:09:52:09:247,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:267,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:299,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:322,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:344,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:366,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:389,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:411,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:433,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:454,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:477,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:499,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:519,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:09:52:09:541,-42.521,-1.621,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
