TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:37:30:323,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:37:31:529,0.000,160.000,0.000,0.062,-0.070,-0.996,-42.178,0.904,-3.470,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:37:31:625,351.432,249.388,357.637,-0.889,0.078,-0.451,-51.381,0.845,-3.487,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:37:31:705,351.215,250.611,356.582,-0.912,0.062,-0.405,-47.707,0.422,-1.300,车中车厢内部上部条纹,-52.690,0.759,-3.514,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:762,351.272,251.183,356.188,-0.918,0.045,-0.394,-47.939,0.340,-1.324,车中车厢内部上部条纹,-53.101,0.595,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:814,351.281,251.378,356.137,-0.916,-0.009,-0.400,-53.064,-0.025,-3.598,隧道,-53.101,0.595,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:846,351.348,251.195,356.172,-0.913,-0.039,-0.406,-52.804,-0.353,-3.565,隧道,-53.101,0.595,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:874,351.401,251.053,356.199,-0.910,-0.064,-0.410,-52.601,-0.620,-3.539,隧道,-53.101,0.595,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:900,351.476,250.870,356.238,-0.907,-0.076,-0.414,-52.451,-0.739,-3.529,隧道,-53.101,0.595,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:926,351.560,250.664,356.233,-0.905,-0.081,-0.418,-52.657,-0.824,-3.681,应急疏散平台左侧空气墙,-52.403,-0.801,-3.564,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:948,351.649,250.436,356.343,-0.902,-0.088,-0.422,-51.866,-0.824,-3.369,应急疏散平台左侧空气墙,-52.116,-0.848,-3.487,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:972,351.740,250.244,356.427,-0.900,-0.096,-0.425,-51.102,-0.828,-3.050,应急疏散平台左侧空气墙,-51.979,-0.922,-3.464,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:31:998,351.799,250.051,356.543,-0.899,-0.097,-0.427,-51.061,-0.827,-3.050,应急疏散平台左侧空气墙,-51.934,-0.921,-3.464,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:32:022,351.827,249.930,356.603,-0.898,-0.097,-0.429,-51.028,-0.824,-3.056,应急疏散平台左侧空气墙,-51.887,-0.916,-3.466,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:32:046,351.855,249.815,356.673,-0.898,-0.095,-0.430,-51.170,-0.824,-3.135,应急疏散平台左侧空气墙,-51.873,-0.898,-3.471,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:32:067,351.898,249.686,356.764,-0.898,-0.087,-0.431,-51.925,-0.824,-3.511,应急疏散平台左侧空气墙,-51.892,-0.820,-3.495,隧道,0.000,0.000,0.000,Null,
2025:06:16:37:32:091,351.982,249.603,356.829,-0.951,-0.003,-0.309,-56.630,0.030,-3.597,隧道,-48.275,-0.184,-1.383,车中部车厢窗户外皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:121,352.085,249.480,356.914,-0.961,0.012,-0.277,-58.316,0.272,-3.573,隧道,-50.615,0.177,-1.352,车中车厢内部窗户皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:144,352.137,249.353,357.054,-0.960,0.011,-0.279,-58.215,0.261,-3.574,隧道,-50.564,0.171,-1.353,车中车厢内部窗户皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:165,352.204,249.065,357.270,-0.957,0.008,-0.291,-57.535,0.209,-3.579,隧道,-50.427,0.153,-1.377,车中部车厢窗户外皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:187,352.297,248.534,357.474,-0.953,0.007,-0.301,-56.960,0.190,-3.581,隧道,-50.427,0.153,-1.377,车中部车厢窗户外皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:210,352.401,247.724,357.876,-0.948,0.006,-0.318,-56.114,0.157,-3.585,隧道,-50.427,0.153,-1.377,车中部车厢窗户外皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:233,352.653,245.946,358.622,-0.938,0.005,-0.347,-54.867,0.139,-3.586,隧道,-48.848,0.109,-1.359,车中车厢内部窗户皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:255,353.097,243.418,359.377,-0.922,-0.001,-0.386,-53.443,0.068,-3.593,隧道,-48.494,0.099,-1.360,车中车厢内部窗户皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:278,353.785,240.453,0.143,-0.901,-0.008,-0.434,-52.013,-0.008,-3.599,隧道,-48.494,0.099,-1.360,车中车厢内部窗户皮,-48.268,-0.183,-1.380,车中车厢内部窗户皮,
2025:06:16:37:32:299,354.746,236.986,0.949,-0.872,-0.025,-0.489,-50.659,-0.152,-3.585,隧道,-46.506,-0.033,-1.257,underground-connection (2),-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:321,355.765,233.790,1.334,-0.774,-0.057,-0.631,-45.427,-0.128,-1.376,车中车厢内部窗户皮,-48.116,-0.326,-3.568,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:344,356.838,230.393,1.655,-0.628,-0.098,-0.772,-46.239,-0.489,-3.552,隧道,-47.689,-0.392,-3.561,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:366,357.894,226.732,1.855,-0.504,-0.130,-0.854,-45.232,-0.597,-3.541,隧道,-47.689,-0.392,-3.561,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:388,358.806,223.286,1.975,-0.267,-0.176,-0.947,-43.247,-0.345,-1.392,车中车厢内部窗户皮,-43.847,-0.739,-3.520,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:409,359.492,220.440,1.847,-0.180,-0.176,-0.968,-43.430,-0.732,-3.585,隧道,-43.847,-0.739,-3.520,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:434,0.297,217.448,1.752,-0.174,-0.172,-0.969,-43.395,-0.716,-3.590,隧道,-43.903,-0.664,-3.535,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:455,0.926,215.412,1.488,-0.316,-0.152,-0.936,-43.352,-0.290,-1.388,车中车厢内部窗户皮,-44.078,-0.640,-3.537,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:477,1.657,213.341,1.266,-0.332,-0.149,-0.932,-43.387,-0.283,-1.387,车中车厢内部窗户皮,-44.153,-0.627,-3.538,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:498,2.545,211.077,1.214,-0.390,-0.146,-0.909,-43.547,-0.284,-1.387,车中车厢内部窗户皮,-44.469,-0.630,-3.538,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:528,3.660,208.306,1.058,-0.488,-0.130,-0.863,-43.844,-0.260,-1.386,车中车厢内部窗户皮,-45.062,-0.584,-3.542,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:547,4.022,207.470,0.896,-0.497,-0.127,-0.858,-43.874,-0.254,-1.385,车中车厢内部窗户皮,-45.125,-0.572,-3.544,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:568,4.616,205.965,0.675,-0.509,-0.121,-0.852,-43.909,-0.241,-1.384,车中车厢内部窗户皮,-45.201,-0.548,-3.546,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:590,5.100,204.822,0.549,-0.498,-0.118,-0.859,-43.866,-0.229,-1.384,车中车厢内部窗户皮,-45.121,-0.525,-3.548,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:613,5.617,203.416,0.458,-0.468,-0.123,-0.875,-43.762,-0.238,-1.384,车中车厢内部窗户皮,-44.920,-0.543,-3.547,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:635,6.152,201.924,0.353,-0.367,-0.163,-0.916,-43.458,-0.323,-1.390,车中车厢内部窗户皮,-44.339,-0.715,-3.590,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:657,6.646,200.623,0.170,-0.189,-0.200,-0.961,-43.408,-0.824,-3.486,应急疏散平台左侧空气墙,-43.421,-0.837,-3.553,隧道,-46.708,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:37:32:678,7.096,199.701,0.002,-0.080,-0.207,-0.975,-42.897,-0.824,-3.392,应急疏散平台左侧空气墙,-42.905,-0.844,-3.488,隧道,-42.643,-0.163,-0.280,54,
2025:06:16:37:32:701,7.375,198.800,359.971,-0.057,-0.208,-0.977,-42.794,-0.824,-3.387,应急疏散平台左侧空气墙,-42.800,-0.845,-3.488,隧道,-42.615,-0.166,-0.291,54,
2025:06:16:37:32:724,7.374,197.874,359.885,-0.066,-0.204,-0.977,-42.838,-0.824,-3.465,应急疏散平台左侧空气墙,-42.840,-0.829,-3.492,隧道,-42.625,-0.165,-0.309,54,
2025:06:16:37:32:745,7.304,196.985,359.801,-0.096,-0.192,-0.977,-42.998,-0.824,-3.744,应急疏散平台左侧空气墙,-42.975,-0.777,-3.508,隧道,-42.660,-0.152,-0.320,54,
