TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:16:37:30:323,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:16:37:31:529,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:625,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:705,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:762,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:814,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:846,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:874,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:900,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:926,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:948,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:972,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:31:998,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:022,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:046,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:067,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:091,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:121,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:144,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:165,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:187,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:210,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:233,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:255,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:278,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:299,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:321,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:344,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:366,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:388,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:409,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:434,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:455,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:477,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:498,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:528,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:547,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:568,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:590,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:613,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:635,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:657,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:678,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:701,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:724,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:745,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:768,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:790,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:812,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:834,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:857,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:880,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:902,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:923,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:947,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:967,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:32:989,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:024,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:046,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:068,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:091,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:115,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:136,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:37:33:163,-42.476,-1.621,1.001,0.556,0.000,1.056,1.193,0.000,0.000,0.000,
2025:06:16:37:33:187,-42.479,-1.621,0.991,-0.144,0.000,-0.603,0.620,0.000,0.000,0.000,
2025:06:16:37:33:211,-42.465,-1.621,1.010,0.817,0.000,1.124,1.390,0.000,0.000,0.000,
2025:06:16:37:33:234,-42.464,-1.621,1.014,0.467,0.000,0.337,0.576,0.000,0.000,0.000,
2025:06:16:37:33:258,-42.470,-1.621,1.004,-0.394,0.000,-0.646,0.757,-3.939,0.000,-6.460,
2025:06:16:37:33:282,-42.458,-1.621,1.004,0.204,0.000,-0.180,0.272,-3.939,0.000,-6.460,
2025:06:16:37:33:305,-42.469,-1.621,0.999,-0.683,0.000,-0.290,0.742,-3.939,0.000,-6.460,
2025:06:16:37:33:329,-42.478,-1.621,1.013,-0.498,0.000,0.802,0.944,-3.939,0.000,-6.460,
2025:06:16:37:33:353,-42.471,-1.621,1.030,0.392,0.000,1.039,1.110,-3.939,0.000,-6.460,
2025:06:16:37:33:377,-42.487,-1.621,1.052,-0.940,0.000,1.329,1.628,7.858,0.000,16.850,
2025:06:16:37:33:401,-42.504,-1.621,1.012,-0.170,0.000,-0.380,0.416,7.858,0.000,16.850,
2025:06:16:37:33:424,-42.508,-1.621,1.007,-0.280,0.000,-0.311,0.418,7.858,0.000,16.850,
2025:06:16:37:33:449,-42.522,-1.621,0.995,-0.213,0.000,-0.190,0.285,7.858,0.000,16.850,
2025:06:16:37:33:472,-42.527,-1.621,0.990,-0.320,0.000,-0.298,0.437,-6.047,0.000,-12.288,
2025:06:16:37:33:495,-42.531,-1.621,0.987,-0.093,0.000,-0.090,0.129,-6.047,0.000,-12.288,
2025:06:16:37:33:521,-42.545,-1.621,0.985,-0.869,0.000,-0.152,0.882,-6.047,0.000,-12.288,
2025:06:16:37:33:546,-42.556,-1.621,0.983,-0.672,0.000,-0.111,0.681,-6.047,0.000,-12.288,
2025:06:16:37:33:568,-42.590,-1.621,0.969,-0.648,0.000,-0.294,0.711,-6.047,0.000,-12.288,
2025:06:16:37:33:592,-42.602,-1.621,0.963,-0.728,0.000,-0.330,0.800,-4.349,0.000,-1.042,
2025:06:16:37:33:617,-42.640,-1.621,0.946,-0.780,0.000,-0.358,0.858,-4.349,0.000,-1.042,
2025:06:16:37:33:641,-42.653,-1.621,0.940,-0.797,0.000,-0.362,0.875,-4.349,0.000,-1.042,
2025:06:16:37:33:664,-42.693,-1.621,0.922,-0.766,0.000,-0.344,0.839,-4.349,0.000,-1.042,
2025:06:16:37:33:689,-42.718,-1.621,0.910,-1.498,0.000,-0.713,1.659,-1.181,0.000,-0.497,
2025:06:16:37:33:711,-42.728,-1.621,0.905,-0.606,0.000,-0.307,0.679,-1.181,0.000,-0.497,
2025:06:16:37:33:735,-42.760,-1.621,0.889,-0.609,0.000,-0.291,0.675,-1.181,0.000,-0.497,
2025:06:16:37:33:759,-42.771,-1.621,0.884,-0.643,0.000,-0.304,0.711,-1.181,0.000,-0.497,
2025:06:16:37:33:782,-42.802,-1.621,0.869,-0.593,0.000,-0.273,0.653,-1.181,0.000,-0.497,
2025:06:16:37:33:805,-42.824,-1.621,0.860,-1.296,0.000,-0.585,1.422,1.730,0.000,0.708,
2025:06:16:37:33:830,-42.845,-1.621,0.850,-0.663,0.000,-0.292,0.724,1.730,0.000,0.708,
2025:06:16:37:33:852,-42.865,-1.621,0.842,-1.241,0.000,-0.532,1.351,1.730,0.000,0.708,
2025:06:16:37:33:878,-42.876,-1.621,0.837,-0.629,0.000,-0.262,0.681,1.730,0.000,0.708,
2025:06:16:37:33:901,-42.907,-1.621,0.824,-0.627,0.000,-0.253,0.676,-6.468,0.000,-2.343,
2025:06:16:37:33:926,-42.918,-1.621,0.820,-0.657,0.000,-0.261,0.707,-6.468,0.000,-2.343,
2025:06:16:37:33:949,-42.949,-1.621,0.808,-0.587,0.000,-0.223,0.628,-6.468,0.000,-2.343,
2025:06:16:37:33:971,-42.971,-1.621,0.800,-1.310,0.000,-0.491,1.399,-6.468,0.000,-2.343,
2025:06:16:37:33:997,-42.992,-1.621,0.792,-0.631,0.000,-0.234,0.674,-6.468,0.000,-2.343,
2025:06:16:37:34:045,-43.003,-1.621,0.788,0.000,0.000,0.000,0.000,6.081,0.000,2.729,
2025:06:16:37:34:075,-43.046,-1.621,0.772,0.000,0.000,0.000,0.000,6.081,0.000,2.729,
2025:06:16:37:34:096,-43.141,-1.621,0.744,-1.481,0.000,-0.472,1.554,6.081,0.000,2.729,
2025:06:16:37:34:121,-43.198,-1.621,0.724,-3.464,0.000,-1.234,3.677,-8.492,0.000,-2.377,
2025:06:16:37:34:145,-43.253,-1.621,0.707,-1.808,0.000,-0.393,1.850,-8.492,0.000,-2.377,
2025:06:16:37:34:169,-43.297,-1.621,0.697,-2.651,0.000,-0.599,2.718,-8.492,0.000,-2.377,
2025:06:16:37:34:191,-43.314,-1.621,0.693,-0.998,0.000,-0.252,1.029,-8.492,0.000,-2.377,
2025:06:16:37:34:213,-43.345,-1.621,0.685,-0.524,0.000,-0.146,0.544,1.323,0.000,1.113,
2025:06:16:37:34:238,-43.361,-1.621,0.680,-0.987,0.000,-0.291,1.029,1.323,0.000,1.113,
2025:06:16:37:34:260,-43.373,-1.621,0.676,-0.676,0.000,-0.224,0.712,1.323,0.000,1.113,
2025:06:16:37:34:283,-43.403,-1.621,0.666,-0.599,0.000,-0.193,0.629,1.323,0.000,1.113,
2025:06:16:37:34:306,-43.423,-1.621,0.660,-1.209,0.000,-0.387,1.270,1.323,0.000,1.113,
2025:06:16:37:34:326,-43.434,-1.621,0.656,-0.662,0.000,-0.211,0.695,1.389,0.000,-0.267,
