TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:19:48:17:817,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:19:48:19:029,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:128,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:162,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:219,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:268,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:296,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:319,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:340,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:362,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:384,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:405,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:438,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:461,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:484,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:507,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:529,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:48:19:551,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
