TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:03:10:215,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:03:11:338,0.000,160.000,0.000,0.372,-0.024,-0.928,-40.723,1.001,-3.440,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:03:11:460,18.088,31.394,3.016,0.473,-0.335,0.815,-41.060,-0.888,3.475,隧道,-42.301,-0.007,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:538,17.917,31.500,3.160,0.477,-0.333,0.813,-41.044,-0.883,3.476,隧道,-42.300,-0.007,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:591,17.786,31.485,3.245,0.481,-0.332,0.812,-41.030,-0.882,3.476,隧道,-42.299,-0.006,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:646,17.650,31.516,3.218,0.483,-0.330,0.811,-41.023,-0.878,3.478,隧道,-42.298,-0.006,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:668,17.618,31.538,3.223,0.483,-0.330,0.811,-41.023,-0.878,3.478,隧道,-42.298,-0.006,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:690,17.581,31.543,3.210,0.482,-0.336,0.809,-41.025,-0.894,3.473,隧道,-42.298,-0.008,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:713,17.539,31.557,3.193,0.480,-0.355,0.802,-41.029,-0.951,3.455,隧道,-42.297,-0.014,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:736,17.532,31.563,3.163,0.479,-0.359,0.801,-41.030,-0.962,3.452,隧道,-42.297,-0.015,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:758,17.517,31.560,3.155,0.478,-0.370,0.797,-41.034,-0.996,3.442,隧道,-42.296,-0.018,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:778,17.503,31.546,3.132,0.477,-0.374,0.796,-41.037,-1.008,3.438,隧道,-42.296,-0.020,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:802,17.484,31.542,3.115,0.476,-0.379,0.794,-41.040,-1.021,3.434,隧道,-42.296,-0.021,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:823,17.469,31.539,3.102,0.475,-0.381,0.793,-41.043,-1.028,3.432,隧道,-42.297,-0.022,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:845,17.421,31.540,3.093,0.474,-0.382,0.793,-41.045,-1.031,3.431,隧道,-42.297,-0.022,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:867,17.359,31.544,3.083,0.472,-0.390,0.791,-41.051,-1.053,3.425,隧道,-42.297,-0.024,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:890,17.288,31.563,3.079,0.472,-0.389,0.791,-41.052,-1.050,3.425,隧道,-42.297,-0.024,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:911,17.198,31.594,3.058,0.471,-0.387,0.792,-41.054,-1.045,3.427,隧道,-42.297,-0.024,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:934,17.085,31.648,3.029,0.472,-0.386,0.793,-41.053,-1.040,3.428,隧道,-42.297,-0.023,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:956,16.936,31.766,2.993,0.472,-0.384,0.793,-41.051,-1.037,3.429,隧道,-42.297,-0.023,1.337,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:11:979,16.858,31.868,3.003,0.512,-0.356,0.782,-40.902,-0.977,3.447,隧道,-42.284,-0.017,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:002,16.740,32.002,3.007,0.585,-0.288,0.758,-40.593,-0.822,3.495,隧道,-42.260,-0.001,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:024,16.689,32.127,2.957,0.585,-0.292,0.757,-40.592,-0.833,3.491,隧道,-42.259,-0.002,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:045,16.611,32.286,2.923,0.607,-0.274,0.746,-40.488,-0.794,3.503,隧道,-42.250,0.002,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:068,16.546,32.392,2.854,0.584,-0.299,0.754,-40.593,-0.856,3.484,隧道,-42.258,-0.004,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:090,16.500,32.547,2.822,0.585,-0.300,0.753,-40.588,-0.860,3.483,隧道,-42.257,-0.005,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:113,16.463,32.720,2.782,0.592,-0.298,0.749,-40.556,-0.858,3.484,隧道,-42.253,-0.005,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:03:12:133,16.423,32.874,2.748,0.587,-0.303,0.751,-40.579,-0.870,3.480,隧道,-42.255,-0.006,1.336,车中车厢左车门4-1,0.000,0.000,0.000,Null,
