TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:19:39:642,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:19:40:756,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:19:40:864,10.629,38.016,0.554,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:19:40:946,10.206,37.633,0.579,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:19:41:012,10.277,38.018,0.830,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:19:41:060,10.384,38.361,0.952,0.498,-0.150,0.854,-40.981,-0.352,3.565,隧道,-42.282,0.041,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:19:41:085,10.361,38.479,1.007,0.503,-0.146,0.852,-40.960,-0.342,3.566,隧道,-42.279,0.042,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:19:41:107,10.303,38.478,1.021,0.509,-0.140,0.849,-40.939,-0.326,3.568,隧道,-42.278,0.043,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:19:41:129,10.287,38.449,1.033,0.502,-0.134,0.855,-40.967,-0.305,3.570,隧道,-42.281,0.045,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:19:41:151,10.229,38.429,1.039,0.517,-0.123,0.847,-40.908,-0.278,3.573,隧道,-42.276,0.047,1.332,车中车厢左车门4-1,0.000,0.000,0.000,Null,
