TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:10:19:39:642,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:10:19:40:756,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:40:864,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:40:946,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:012,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:060,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:085,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:107,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:129,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:151,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:173,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:196,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:219,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:239,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:261,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:283,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:306,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:327,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:349,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:371,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:19:41:394,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
