TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:51:16:263,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:51:17:507,0.000,160.000,0.000,0.203,-0.029,-0.979,-41.564,1.081,-3.416,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:51:17:611,12.046,220.754,0.154,-0.729,-0.235,-0.643,-47.057,-1.363,-3.050,应急疏散平台左侧空气墙,-45.213,-0.767,-1.422,车中车厢内部窗户皮,-47.327,-1.449,-3.288,隧道,
2025:06:16:51:17:702,12.388,218.704,359.934,-0.739,-0.240,-0.630,-47.208,-1.423,-3.050,应急疏散平台左侧空气墙,-45.301,-0.803,-1.425,车中车厢内部窗户皮,-47.453,-1.503,-3.259,隧道,
2025:06:16:51:17:764,12.173,218.673,0.233,-0.746,-0.236,-0.622,-47.309,-1.411,-3.050,应急疏散平台左侧空气墙,-45.360,-0.795,-1.424,车中车厢内部窗户皮,-47.566,-1.492,-3.265,隧道,
2025:06:16:51:17:818,11.646,219.482,0.734,-0.759,-0.226,-0.611,-47.487,-1.375,-3.050,应急疏散平台左侧空气墙,-45.464,-0.774,-1.423,车中车厢内部窗户皮,-47.775,-1.461,-3.282,隧道,
2025:06:16:51:17:851,11.205,220.570,1.307,-0.771,-0.190,-0.608,-47.587,-1.153,-3.050,应急疏散平台左侧空气墙,-45.512,-0.641,-1.413,车中车厢内部窗户皮,-47.985,-1.251,-3.364,隧道,
2025:06:16:51:17:877,11.182,221.201,1.068,-0.770,-0.174,-0.614,-47.534,-1.038,-3.050,应急疏散平台左侧空气墙,-45.476,-0.572,-1.408,车中车厢内部窗户皮,-47.971,-1.137,-3.399,隧道,
2025:06:16:51:17:908,11.230,221.889,0.760,-0.774,-0.168,-0.611,-47.591,-1.004,-3.050,应急疏散平台左侧空气墙,-45.508,-0.552,-1.407,车中车厢内部窗户皮,-48.046,-1.103,-3.409,隧道,
2025:06:16:51:17:933,11.065,222.145,0.798,-0.773,-0.156,-0.616,-47.544,-0.918,-3.050,应急疏散平台左侧空气墙,-45.477,-0.501,-1.403,车中车厢内部窗户皮,-48.028,-1.016,-3.436,隧道,
