TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:09:47:48:521,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:47:49:704,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:47:49:794,352.267,217.761,359.176,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:47:49:873,354.171,216.852,359.676,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:47:49:928,354.932,216.537,359.826,-0.538,0.058,-0.841,-45.431,0.386,-3.562,隧道,-44.013,0.233,-1.345,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:07:09:47:49:986,355.861,215.877,0.067,-0.533,-0.037,-0.845,-45.404,-0.119,-3.588,隧道,-44.013,0.233,-1.345,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:07:09:47:50:012,356.191,215.562,0.153,-0.529,-0.046,-0.847,-45.372,-0.163,-3.584,隧道,-44.013,0.233,-1.345,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:07:09:47:50:034,356.329,215.308,0.241,-0.527,-0.054,-0.848,-45.358,-0.206,-3.580,隧道,-44.013,0.233,-1.345,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:07:09:47:50:056,356.459,215.072,0.315,-0.523,-0.060,-0.850,-45.328,-0.234,-3.577,隧道,-44.013,0.233,-1.345,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:07:09:47:50:079,356.677,214.854,0.173,-0.505,-0.067,-0.861,-43.907,-0.098,-1.374,车中车厢内部窗户皮,-45.197,-0.270,-3.573,隧道,0.000,0.000,0.000,Null,
