TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:57:21:910,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:124,0.000,160.000,0.000,0.372,-0.153,-0.916,-40.653,0.371,-3.563,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:231,349.338,176.411,359.238,0.100,0.029,-0.995,-42.044,0.208,-3.580,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:295,349.005,176.534,359.155,0.109,0.032,-0.993,-42.004,0.223,-3.578,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:348,349.089,176.544,359.159,0.115,0.029,-0.993,-41.980,0.207,-3.580,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:395,349.312,176.512,359.168,0.117,0.022,-0.993,-41.969,0.178,-3.582,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:419,349.483,176.558,359.158,0.119,0.018,-0.993,-41.961,0.159,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:441,349.497,176.624,359.124,0.118,0.018,-0.993,-41.966,0.158,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:464,349.449,176.681,359.080,0.117,0.019,-0.993,-41.969,0.163,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:485,349.378,176.740,359.043,0.116,0.020,-0.993,-41.971,0.169,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:508,349.385,176.810,359.016,0.118,0.021,-0.993,-41.965,0.171,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:530,349.409,176.880,359.007,0.118,0.021,-0.993,-41.967,0.170,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:552,349.490,176.896,359.009,0.119,0.020,-0.993,-41.960,0.169,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:575,349.598,176.916,359.026,0.120,0.019,-0.993,-41.958,0.163,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:597,349.695,176.921,359.027,0.120,0.018,-0.993,-41.954,0.157,-3.585,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:619,349.826,176.890,359.032,0.122,0.015,-0.992,-41.944,0.146,-3.586,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:642,349.965,176.820,359.053,0.124,0.013,-0.992,-41.935,0.135,-3.587,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:663,350.118,176.709,359.090,0.127,0.010,-0.992,-41.923,0.123,-3.588,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:684,350.271,176.559,359.154,0.130,0.007,-0.992,-41.911,0.111,-3.589,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:708,350.490,176.369,359.167,0.133,0.004,-0.991,-41.892,0.095,-3.591,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:730,350.731,176.157,359.184,0.137,-0.001,-0.991,-41.877,0.076,-3.593,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:57:23:752,350.934,175.884,359.256,0.139,-0.006,-0.990,-41.864,0.053,-3.595,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
