TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:10:24:01:617,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:24:02:806,0.000,160.000,0.000,0.558,-0.449,-0.698,-39.138,-1.458,-3.283,隧道,-39.324,-1.308,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:10:24:02:901,51.671,149.601,10.425,0.259,-0.942,-0.212,-41.591,-2.950,0.190,道床,-41.934,-1.701,0.470,车中车内底板.001,-41.414,-3.595,0.045,隧道,
2025:07:10:24:02:943,46.572,150.982,10.686,0.321,-0.892,-0.320,-41.338,-2.950,-0.217,道床,-41.787,-1.701,0.230,车中车内底板.001,-41.120,-3.558,-0.435,隧道,
2025:07:10:24:03:003,43.827,152.344,10.720,0.383,-0.823,-0.419,-41.022,-2.950,-0.675,道床,-41.602,-1.701,-0.039,车中车内底板.001,-40.784,-3.460,-0.935,隧道,
2025:07:10:24:03:051,34.405,156.698,12.797,0.383,-0.823,-0.419,-41.032,-2.950,-0.680,道床,-41.613,-1.701,-0.044,车中车内底板.001,-40.795,-3.459,-0.939,隧道,
2025:07:10:24:03:069,31.751,157.958,13.333,0.383,-0.823,-0.419,-41.035,-2.950,-0.681,道床,-41.616,-1.701,-0.046,车中车内底板.001,-40.799,-3.459,-0.940,隧道,
2025:07:10:24:03:091,29.381,159.393,13.288,0.383,-0.823,-0.419,-41.039,-2.950,-0.683,道床,-41.619,-1.701,-0.047,车中车内底板.001,-40.802,-3.458,-0.942,隧道,
2025:07:10:24:03:113,26.221,160.825,14.070,0.383,-0.823,-0.419,-41.042,-2.950,-0.684,道床,-41.623,-1.701,-0.048,车中车内底板.001,-40.806,-3.458,-0.943,隧道,
2025:07:10:24:03:136,23.003,162.481,14.335,0.383,-0.823,-0.419,-41.046,-2.950,-0.685,道床,-41.627,-1.701,-0.050,车中车内底板.001,-40.810,-3.458,-0.944,隧道,
2025:07:10:24:03:159,20.940,163.653,14.441,0.385,-0.494,-0.780,-41.109,-1.655,-1.878,应急疏散平台,-41.430,-1.243,-1.228,车中车厢座椅,-41.323,-1.380,-1.444,车中车厢内部下部条纹,
