TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:22:15:801,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:16:758,1.938,96.208,357.179,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:16:826,359.332,91.681,358.334,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:16:902,359.865,92.504,358.771,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:16:940,0.092,93.207,358.928,0.998,0.049,-0.037,23.173,3.279,-1.465,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:16:970,0.462,94.035,358.927,0.998,0.042,-0.049,22.477,2.838,-2.189,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:16:983,0.518,94.195,358.924,0.998,0.042,-0.047,24.109,2.864,-2.158,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:016,0.638,94.510,358.851,0.998,0.040,-0.048,24.725,2.776,-2.265,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:025,0.641,94.612,358.824,0.998,0.040,-0.050,23.530,2.725,-2.327,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:060,0.602,94.749,358.722,0.998,0.042,-0.036,31.240,3.181,-1.648,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:092,0.560,94.865,358.690,0.999,0.043,-0.033,31.619,3.284,-1.456,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:100,0.553,94.861,358.689,0.999,0.043,-0.033,31.512,3.288,-1.448,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:134,0.470,94.859,358.731,0.999,0.046,-0.020,33.065,3.546,-0.549,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:156,0.360,94.836,358.756,0.999,0.048,-0.015,30.333,3.591,-0.086,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:178,0.252,94.772,358.784,0.999,0.051,-0.010,26.601,3.569,0.312,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:200,0.140,94.669,358.851,0.999,0.053,-0.003,21.881,3.501,0.799,隧道.002,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:22:17:224,0.116,94.503,358.907,0.999,0.054,0.001,19.663,3.417,1.079,隧道,20.028,3.436,1.079,隧道.002,0.000,0.000,0.000,Null,
2025:06:11:22:17:247,0.128,94.334,358.951,0.998,0.054,0.010,15.501,3.220,1.575,隧道,20.028,3.455,1.344,隧道.002,0.000,0.000,0.000,Null,
2025:06:11:22:17:268,0.111,94.157,358.997,0.998,0.055,0.016,12.223,3.074,1.849,隧道,20.028,3.455,1.344,隧道.002,0.000,0.000,0.000,Null,
2025:06:11:22:17:290,0.058,94.002,359.037,0.998,0.056,0.022,7.947,2.907,2.105,隧道,20.028,3.455,1.344,隧道.002,0.000,0.000,0.000,Null,
2025:06:11:22:17:314,-0.004,93.802,359.068,0.998,0.057,0.027,4.713,2.781,2.258,隧道,20.028,3.455,1.344,隧道.002,0.000,0.000,0.000,Null,
2025:06:11:22:17:334,359.942,93.669,359.100,0.998,0.061,0.034,-0.596,2.652,2.415,隧道,0.057,2.693,2.438,隧道,0.000,0.000,0.000,Null,
2025:06:11:22:17:356,359.938,93.501,359.113,0.997,0.066,0.039,-4.252,2.607,2.470,隧道,0.057,2.709,2.524,隧道,0.000,0.000,0.000,Null,
2025:06:11:22:17:379,359.936,93.341,359.137,0.997,0.069,0.042,-6.384,2.585,2.498,隧道,0.057,2.709,2.524,隧道,0.000,0.000,0.000,Null,
2025:06:11:22:17:403,359.965,93.250,359.114,0.996,0.072,0.044,-7.809,2.566,2.521,隧道,0.057,2.709,2.524,隧道,0.000,0.000,0.000,Null,
2025:06:11:22:17:423,359.971,93.133,359.094,0.996,0.072,0.045,-8.185,2.563,2.524,隧道,0.057,2.709,2.524,隧道,0.000,0.000,0.000,Null,
2025:06:11:22:17:445,359.980,93.062,359.085,0.986,0.068,-0.151,-15.996,1.883,-3.056,隧道,0.057,2.709,2.524,隧道,0.000,0.000,0.000,Null,
