TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:17:08:05:558,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:08:06:584,341.786,218.815,354.700,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:08:06:649,342.378,219.161,354.343,-0.719,-0.006,-0.695,-47.232,0.037,-3.596,隧道,-44.943,0.057,-1.385,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:735,342.434,219.007,354.380,-0.718,-0.007,-0.696,-47.219,0.035,-3.597,隧道,-44.944,0.056,-1.393,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:778,342.420,218.898,354.457,-0.717,-0.006,-0.697,-47.208,0.041,-3.596,隧道,-44.943,0.059,-1.397,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:810,342.427,218.795,354.449,-0.716,-0.006,-0.698,-47.192,0.042,-3.596,隧道,-44.943,0.060,-1.405,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:838,342.424,218.771,354.460,-0.716,-0.005,-0.698,-47.192,0.045,-3.596,隧道,-44.942,0.061,-1.404,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:916,342.421,218.784,354.464,-0.717,-0.004,-0.697,-47.196,0.052,-3.595,隧道,-44.941,0.065,-1.400,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:942,342.467,218.784,354.501,-0.717,-0.004,-0.697,-47.200,0.051,-3.595,隧道,-44.941,0.064,-1.399,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:966,342.483,218.770,354.478,-0.717,-0.004,-0.697,-47.197,0.051,-3.595,隧道,-44.941,0.065,-1.400,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:06:991,342.503,218.743,354.500,-0.717,-0.004,-0.697,-47.195,0.053,-3.595,隧道,-44.940,0.065,-1.401,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:015,342.474,218.720,354.527,-0.717,-0.003,-0.698,-47.193,0.057,-3.594,隧道,-44.939,0.068,-1.400,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:042,342.479,218.688,354.524,-0.715,-0.002,-0.699,-47.178,0.068,-3.593,隧道,-44.936,0.073,-1.404,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:067,342.459,218.692,354.487,-0.715,0.000,-0.700,-47.165,0.078,-3.592,隧道,-44.936,0.073,-1.404,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:090,342.436,218.682,354.475,-0.714,0.001,-0.700,-47.160,0.086,-3.592,隧道,-44.936,0.073,-1.404,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:113,342.407,218.707,354.472,-0.714,0.003,-0.700,-47.157,0.097,-3.590,隧道,-44.925,0.088,-1.402,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:137,342.348,218.745,354.477,-0.714,0.005,-0.700,-47.159,0.109,-3.589,隧道,-44.918,0.094,-1.394,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:160,342.331,218.780,354.450,-0.714,0.007,-0.700,-47.158,0.122,-3.588,隧道,-44.909,0.101,-1.385,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:183,342.357,218.878,354.367,-0.715,0.007,-0.699,-47.165,0.125,-3.588,隧道,-44.907,0.102,-1.379,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:17:08:07:205,342.483,219.045,354.221,-0.716,0.008,-0.698,-44.897,0.106,-1.360,车中车厢内部窗户皮,-47.183,0.133,-3.587,隧道,-44.898,0.106,-1.361,车中部车厢窗户外皮,
2025:06:17:08:07:227,342.669,219.328,354.009,-0.719,0.006,-0.695,-44.916,0.097,-1.360,车中车厢内部窗户皮,-47.221,0.115,-3.589,隧道,-44.910,0.098,-1.360,车中部车厢窗户外皮,
2025:06:17:08:07:250,343.126,220.222,353.688,-0.740,0.003,-0.673,-45.066,0.090,-1.361,车中车厢内部窗户皮,-47.517,0.101,-3.590,隧道,-44.910,0.098,-1.360,车中部车厢窗户外皮,
2025:06:17:08:07:274,343.785,221.302,353.433,-0.826,-0.008,-0.563,-49.179,0.011,-3.599,隧道,-46.035,0.043,-1.455,GameObject,-44.910,0.098,-1.360,车中部车厢窗户外皮,
2025:06:17:08:07:297,344.815,222.442,353.309,-0.928,-0.036,-0.370,-53.780,-0.350,-3.566,隧道,-45.487,-0.032,-0.261,83,-48.289,-0.140,-1.377,车中车厢内部窗户皮,
2025:06:17:08:07:320,346.079,223.708,353.160,-0.943,-0.055,-0.329,-55.287,-0.655,-3.535,隧道,-48.444,-0.188,-1.381,车中车厢内部窗户皮,-48.289,-0.140,-1.377,车中车厢内部窗户皮,
2025:06:17:08:07:343,347.421,224.923,353.074,-0.945,-0.075,-0.317,-54.354,-0.854,-3.050,应急疏散平台左侧空气墙,-55.563,-0.950,-3.456,隧道,-48.289,-0.140,-1.377,车中车厢内部窗户皮,
2025:06:17:08:07:366,349.468,226.354,353.074,-0.947,-0.103,-0.304,-54.897,-1.260,-3.050,应急疏散平台左侧空气墙,-55.777,-1.355,-3.333,隧道,-48.289,-0.140,-1.377,车中车厢内部窗户皮,
2025:06:17:08:07:389,351.946,228.211,353.072,-0.946,-0.130,-0.299,-55.124,-1.637,-3.050,应急疏散平台左侧空气墙,-55.478,-1.685,-3.162,隧道,-48.289,-0.140,-1.377,车中车厢内部窗户皮,
2025:06:17:08:07:420,355.652,231.113,353.486,-0.951,-0.170,-0.260,-57.083,-2.507,-3.050,应急疏散平台左侧空气墙,-51.210,-1.457,-1.444,车中车厢内部下部条纹,-52.576,-1.701,-1.818,车中车内底板.001,
2025:06:17:08:07:442,358.193,233.525,353.319,-0.954,-0.200,-0.225,-51.124,-1.701,-1.099,车中车内底板.001,-56.163,-2.756,-2.289,隧道,-50.835,-1.641,-1.030,车中车厢座椅,
2025:06:17:08:07:463,0.636,236.094,353.432,-0.958,-0.208,-0.198,-50.822,-1.701,-0.776,车中车内底板.001,-56.765,-2.992,-2.002,隧道,-56.573,-2.950,-1.963,道床,
2025:06:17:08:07:484,3.187,238.921,353.512,-0.974,-0.191,-0.121,-51.694,-1.701,-0.202,车中车内底板.001,-50.390,-1.445,-0.040,76,-58.052,-2.950,-0.990,道床,
2025:06:17:08:07:508,5.845,242.334,353.969,-0.975,-0.221,-0.032,-50.471,-1.701,0.669,车中车内底板.001,-58.657,-3.561,0.397,隧道,-55.968,-2.950,0.486,道床,
2025:06:17:08:07:530,7.264,245.283,354.521,-0.979,-0.201,0.020,-51.308,-1.701,1.110,车中车内底板.001,-59.380,-3.358,1.271,隧道,-46.524,-0.719,1.015,underground-connection (2),
2025:06:17:08:07:551,8.409,248.661,355.028,-0.980,-0.190,0.060,-50.750,-1.498,1.439,车中车厢内部下部条纹,-58.666,-3.036,1.920,隧道,-46.512,-0.674,1.181,underground-connection (2),
2025:06:17:08:07:573,8.751,250.966,355.238,-0.980,-0.182,0.084,-58.007,-2.779,2.261,隧道,-46.507,-0.640,1.281,underground-connection (2),-47.309,-0.789,1.349,车中车厢座椅,
2025:06:17:08:07:596,9.850,254.168,355.806,-0.981,-0.157,0.110,-58.006,-2.374,2.687,隧道,-46.569,-0.548,1.400,车中车厢内部窗户皮,-56.553,-2.142,2.523,隧道右侧空气墙,
2025:06:17:08:07:618,10.552,255.691,356.224,-0.986,-0.144,0.085,-46.506,-0.483,1.294,underground-connection (2),-48.219,-0.733,1.441,车中部车厢窗户外皮,-60.805,-2.565,2.522,隧道,
2025:06:17:08:07:640,11.469,256.917,356.780,-0.991,-0.135,-0.003,-55.752,-1.701,0.928,车中车内底板.001,-53.005,-1.328,0.936,车中车厢座椅,-68.800,-3.474,0.891,隧道,
2025:06:17:08:07:662,12.474,257.476,357.330,-0.986,-0.152,-0.067,-54.194,-1.701,0.185,车中车内底板.001,-52.235,-1.400,0.317,73,-66.113,-3.539,-0.623,隧道,
2025:06:17:08:07:685,13.574,257.435,357.924,-0.980,-0.151,-0.131,-54.166,-1.701,-0.575,车中车内底板.001,-50.036,-1.063,-0.022,76,-53.769,-1.640,-0.522,86,
2025:06:17:08:07:707,14.840,256.649,358.493,-0.970,-0.162,-0.184,-53.308,-1.701,-1.056,车中车内底板.001,-59.716,-2.771,-2.271,隧道,-51.968,-1.478,-0.802,车中车厢座椅,
2025:06:17:08:07:728,15.744,255.069,358.585,-0.950,-0.164,-0.266,-56.989,-2.405,-3.050,应急疏散平台左侧空气墙,-51.245,-1.410,-1.444,车中车厢内部下部条纹,-56.067,-2.245,-2.792,隧道,
2025:06:17:08:07:752,16.812,252.376,358.812,-0.945,-0.187,-0.268,-51.105,-1.598,-1.445,车中车厢内部下部条纹,-51.625,-1.701,-1.592,车中车内底板.001,-55.314,-2.432,-2.638,隧道,
2025:06:17:08:07:774,17.194,249.182,359.039,-0.918,-0.187,-0.350,-53.137,-2.056,-3.050,应急疏散平台左侧空气墙,-48.910,-1.197,-1.441,车中车厢内部下部条纹,-52.949,-2.018,-2.978,隧道,
2025:06:17:08:07:795,17.438,244.573,358.772,-0.898,-0.176,-0.403,-51.519,-1.659,-3.050,应急疏散平台左侧空气墙,-51.746,-1.703,-3.152,隧道,-47.911,-0.953,-1.431,车中车厢内部中部条纹,
2025:06:17:08:07:820,17.554,239.404,358.294,-0.837,-0.164,-0.522,-49.002,-1.171,-3.050,应急疏散平台左侧空气墙,-49.498,-1.268,-3.359,隧道,-46.444,-0.669,-1.455,GameObject,
2025:06:17:08:07:841,17.476,233.671,357.952,-0.732,-0.145,-0.666,-47.171,-0.824,-3.231,应急疏散平台左侧空气墙,-45.157,-0.424,-1.397,车中车厢内部窗户皮,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:863,17.291,228.080,357.561,-0.600,-0.126,-0.790,-45.984,-0.631,-3.538,隧道,-45.157,-0.424,-1.397,车中车厢内部窗户皮,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:885,17.282,221.833,357.509,-0.482,-0.121,-0.868,-43.861,-0.238,-1.384,车中车厢内部窗户皮,-45.061,-0.539,-3.547,隧道,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:905,17.056,214.067,356.665,-0.374,-0.119,-0.920,-43.502,-0.213,-1.382,车中车厢内部窗户皮,-44.384,-0.494,-3.551,隧道,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:934,16.968,203.673,355.869,-0.368,-0.158,-0.916,-43.465,-0.311,-1.389,车中车厢内部窗户皮,-44.353,-0.692,-3.597,隧道,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:955,16.884,195.563,354.990,-0.286,-0.148,-0.947,-43.219,-0.272,-1.386,车中车厢内部窗户皮,-43.870,-0.609,-3.540,隧道,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:977,16.839,187.512,354.226,-0.107,-0.001,-0.994,-42.996,0.072,-3.593,隧道,-43.870,-0.609,-3.540,隧道,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:07:998,16.937,181.294,353.309,0.103,0.051,-0.993,-42.046,0.304,-3.570,隧道,-43.870,-0.609,-3.540,隧道,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:08:022,16.990,173.027,352.207,0.405,-0.001,-0.914,-40.511,0.074,-3.593,隧道,-41.501,0.076,-1.362,车中车厢内部窗户皮,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:08:044,17.162,165.975,351.753,0.543,-0.076,-0.836,-39.593,-0.322,-3.568,隧道,-41.016,-0.123,-1.376,车中车厢内部窗户皮,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:08:079,17.159,163.690,350.771,0.615,-0.148,-0.774,-38.987,-0.757,-3.514,隧道,-38.709,-0.824,-3.864,应急疏散平台左侧空气墙,-47.451,-0.879,-3.486,隧道,
2025:06:17:08:08:102,17.715,152.958,349.364,0.772,-0.186,-0.608,-41.359,-0.180,0.022,34,-37.046,-1.221,-3.373,隧道,-37.457,-1.122,-3.050,应急疏散平台左侧空气墙,
