TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:17:08:05:558,-42.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:06:17:08:06:584,-42.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:649,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:735,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:778,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:810,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:838,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:916,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:942,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:966,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:06:991,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:015,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:042,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:067,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:090,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:113,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:137,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:160,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:183,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:205,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:227,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:250,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:274,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:297,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:320,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:343,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:366,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:389,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:420,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:442,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:463,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:484,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:508,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:530,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:551,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:573,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:596,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:618,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:640,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:662,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:685,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:707,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:728,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:752,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:774,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:795,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:820,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:841,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:863,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:885,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:905,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:934,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:955,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:977,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:07:998,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:022,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:044,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:079,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:102,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:127,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:159,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:178,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:200,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:221,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:240,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:263,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:293,-42.519,-1.621,0.973,-0.469,0.000,-0.359,0.591,-4.690,0.000,-3.590,
2025:06:17:08:08:313,-42.509,-1.621,0.974,0.588,0.000,0.064,0.591,-4.690,0.000,-3.590,
2025:06:17:08:08:336,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,-4.690,0.000,-3.590,
2025:06:17:08:08:358,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,-4.690,0.000,-3.590,
2025:06:17:08:08:379,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,-4.690,0.000,-3.590,
2025:06:17:08:08:402,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,4.690,0.000,3.590,
2025:06:17:08:08:425,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,4.690,0.000,3.590,
2025:06:17:08:08:445,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,4.690,0.000,3.590,
2025:06:17:08:08:471,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,4.690,0.000,3.590,
2025:06:17:08:08:492,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,4.690,0.000,3.590,
2025:06:17:08:08:513,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:535,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:559,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:581,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:603,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:625,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:647,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:669,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:693,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:714,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:736,-42.509,-1.621,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:17:08:08:758,-42.503,-1.621,0.973,0.122,0.000,-0.015,0.122,0.000,0.000,0.000,
2025:06:17:08:08:780,-42.493,-1.621,0.972,0.593,0.000,-0.072,0.597,0.000,0.000,0.000,
2025:06:17:08:08:804,-42.486,-1.621,0.971,0.409,0.000,-0.047,0.412,0.000,0.000,0.000,
2025:06:17:08:08:825,-42.466,-1.621,0.968,0.408,0.000,-0.057,0.412,0.000,0.000,0.000,
