TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:14:47:608,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:14:48:736,0.000,160.000,0.000,0.285,-0.025,-0.958,-41.177,1.099,-3.410,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:14:48:832,355.096,137.521,1.040,0.627,0.061,-0.776,-40.595,0.255,-1.342,车中车厢内部上部条纹,-38.804,0.430,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:48:914,355.073,137.791,1.089,0.622,0.061,-0.781,-40.622,0.254,-1.342,车中车厢内部上部条纹,-38.856,0.428,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:48:976,355.000,137.949,1.143,0.621,0.062,-0.782,-40.629,0.256,-1.342,车中车厢内部上部条纹,-38.870,0.432,-3.557,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:024,354.978,137.968,1.187,0.621,0.062,-0.781,-40.628,0.256,-1.342,车中车厢内部上部条纹,-38.867,0.432,-3.558,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:052,354.957,137.929,1.173,0.621,0.062,-0.781,-40.625,0.257,-1.342,车中车厢内部上部条纹,-38.862,0.434,-3.557,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:074,354.953,137.883,1.210,0.622,0.062,-0.781,-40.624,0.256,-1.342,车中车厢内部上部条纹,-38.861,0.433,-3.557,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:098,354.959,137.861,1.228,0.621,0.083,-0.779,-40.631,0.316,-1.331,车中车厢内部上部条纹,-38.866,0.553,-3.546,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:119,354.966,137.805,1.251,0.620,0.115,-0.776,-40.644,0.404,-1.308,车中车厢内部上部条纹,-38.875,0.731,-3.522,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:141,354.965,137.753,1.263,0.620,0.121,-0.775,-40.645,0.420,-1.302,车中车厢内部上部条纹,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:162,354.949,137.698,1.259,0.620,0.136,-0.773,-38.887,0.848,-3.487,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:184,354.923,137.666,1.270,0.619,0.147,-0.771,-38.899,0.910,-3.468,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:208,354.934,137.635,1.256,0.619,0.152,-0.771,-38.907,0.939,-3.459,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:229,354.937,137.599,1.245,0.618,0.161,-0.770,-38.922,0.983,-3.446,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:253,354.969,137.530,1.264,0.617,0.173,-0.768,-38.928,1.049,-3.426,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:274,355.001,137.426,1.272,0.619,0.176,-0.766,-38.916,1.069,-3.420,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:294,355.030,137.271,1.281,0.621,0.175,-0.764,-38.891,1.064,-3.421,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:318,355.092,137.007,1.249,0.627,0.169,-0.761,-38.837,1.036,-3.430,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:340,355.190,136.623,1.193,0.641,0.157,-0.751,-38.695,0.986,-3.445,隧道,-38.877,0.765,-3.512,隧道,0.000,0.000,0.000,Null,
2025:06:20:14:49:361,355.311,136.095,1.126,0.695,0.103,-0.712,-40.248,0.396,-1.310,车中车厢内部上部条纹,-38.086,0.716,-3.527,隧道,0.000,0.000,0.000,Null,
