TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:28:47:793,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:28:49:033,0.000,160.000,0.000,0.408,-0.043,-0.912,-40.512,0.906,-3.469,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:28:49:146,359.118,249.038,356.121,-0.925,-0.027,-0.379,-53.665,-0.245,-3.576,隧道,-48.296,-0.088,-1.374,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:28:49:215,359.159,249.205,356.084,-0.929,-0.029,-0.369,-54.016,-0.281,-3.572,隧道,-48.485,-0.106,-1.375,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:28:49:274,359.167,249.149,356.085,-0.925,-0.030,-0.379,-53.653,-0.280,-3.572,隧道,-48.298,-0.105,-1.375,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:28:49:322,359.133,249.018,356.067,-0.919,-0.055,-0.391,-53.198,-0.557,-3.545,隧道,-48.298,-0.105,-1.375,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:28:49:347,359.087,248.995,356.072,-0.920,-0.071,-0.387,-53.405,-0.748,-3.580,隧道,-48.275,-0.354,-1.423,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:15:28:49:368,359.078,248.997,356.084,-0.918,-0.083,-0.388,-52.624,-0.824,-3.271,应急疏散平台左侧空气墙,-53.120,-0.868,-3.480,隧道,-48.275,-0.431,-1.434,车中部车厢窗户外皮,
2025:06:15:28:49:390,359.075,248.995,356.105,-0.915,-0.090,-0.394,-51.928,-0.835,-3.050,应急疏散平台左侧空气墙,-52.885,-0.929,-3.462,隧道,-48.275,-0.431,-1.434,车中部车厢窗户外皮,
2025:06:15:28:49:409,359.082,249.021,356.107,-0.914,-0.093,-0.394,-51.919,-0.865,-3.050,应急疏散平台左侧空气墙,-52.854,-0.960,-3.453,隧道,-48.275,-0.431,-1.434,车中部车厢窗户外皮,
