TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:10:35:22:357,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:35:23:351,57.648,133.363,349.498,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:35:23:394,46.773,137.991,349.299,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:35:23:480,42.372,140.932,349.808,0.149,-0.908,-0.393,-41.909,-2.950,-0.427,道床,-42.113,-1.701,0.113,车中车内底板.001,-41.813,-3.533,-0.679,隧道,
2025:07:10:35:23:523,33.356,146.240,351.722,0.453,-0.742,-0.495,-40.568,-2.950,-1.146,道床,-41.330,-1.701,-0.313,车中车内底板.001,-40.343,-3.319,-1.392,隧道,
2025:07:10:35:23:542,32.020,147.569,351.658,0.344,-0.733,-0.587,-40.998,-2.950,-1.553,道床,-41.584,-1.701,-0.553,车中车内底板.001,-40.905,-3.148,-1.711,隧道,
2025:07:10:35:23:563,29.695,148.542,352.609,0.311,-0.692,-0.651,-41.062,-2.950,-1.977,道床,-41.623,-1.701,-0.802,车中车内底板.001,-41.047,-2.985,-2.010,隧道,
2025:07:10:35:23:584,27.582,149.746,353.228,0.308,-0.665,-0.681,-41.566,-1.777,-1.030,车中车厢座椅,-41.601,-1.701,-0.953,车中车内底板.001,-41.060,-2.870,-2.150,隧道,
2025:07:10:35:23:606,25.557,150.862,353.860,0.282,-0.629,-0.725,-41.724,-1.492,-0.940,车中车厢座椅,-41.630,-1.701,-1.181,车中车内底板.001,-41.178,-2.711,-2.344,隧道,
2025:07:10:35:23:630,23.201,152.174,354.448,0.249,-0.585,-0.772,-41.724,-1.579,-1.322,车中车厢座椅,-41.684,-1.672,-1.445,车中车厢内部下部条纹,-41.672,-1.701,-1.483,车中车内底板.001,
2025:07:10:35:23:652,20.776,153.264,355.149,0.237,-0.545,-0.804,-41.751,-1.488,-1.444,车中车厢内部下部条纹,-41.659,-1.701,-1.759,车中车内底板.001,-41.378,-2.346,-2.709,隧道,
2025:07:10:35:23:674,18.318,154.198,355.874,0.212,-0.495,-0.843,-41.693,-1.650,-2.078,planty,-41.693,-1.650,-2.078,应急疏散平台,-41.489,-2.127,-2.889,隧道,
2025:07:10:35:23:695,15.851,155.243,356.371,0.202,-0.453,-0.868,-41.667,-1.650,-2.445,planty,-41.667,-1.650,-2.445,应急疏散平台,-41.533,-1.950,-3.020,隧道,
2025:07:10:35:23:717,13.706,156.217,356.877,0.195,-0.408,-0.892,-41.566,-1.748,-3.128,隧道,-41.583,-1.712,-3.050,应急疏散平台左侧空气墙,-41.544,-1.848,-3.075,隧道,
2025:07:10:35:23:740,10.885,157.548,357.301,0.182,-0.360,-0.915,-41.629,-1.535,-3.242,隧道,-41.667,-1.459,-3.050,应急疏散平台左侧空气墙,-41.544,-1.848,-3.075,隧道,
2025:07:10:35:23:762,9.060,158.409,357.646,0.172,-0.327,-0.929,-41.672,-1.391,-3.319,隧道,-41.722,-1.296,-3.050,应急疏散平台左侧空气墙,-41.544,-1.848,-3.075,隧道,
2025:07:10:35:23:785,6.867,159.628,357.815,0.158,-0.286,-0.945,-41.738,-1.203,-3.379,隧道,-41.793,-1.103,-3.050,应急疏散平台左侧空气墙,-41.544,-1.848,-3.075,隧道,
2025:07:10:35:23:804,5.225,160.684,357.890,0.147,-0.255,-0.956,-41.791,-1.060,-3.422,隧道,-41.848,-0.961,-3.050,应急疏散平台左侧空气墙,-41.544,-1.848,-3.075,隧道,
2025:07:10:35:23:826,3.510,161.636,358.346,0.139,-0.221,-0.965,-41.827,-0.910,-3.468,隧道,-41.881,-0.824,-3.091,应急疏散平台左侧空气墙,-41.544,-1.848,-3.075,隧道,
