TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:07:10:35:22:357,-42.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:07:10:35:23:351,-42.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:394,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:480,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:523,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:542,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:563,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:584,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:606,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:630,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:652,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:674,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:695,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:717,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:740,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:23:762,-42.498,-1.621,0.996,0.103,0.000,-0.256,0.276,0.000,0.000,0.000,
2025:07:10:35:23:785,-42.497,-1.621,0.994,0.048,0.000,-0.125,0.134,0.483,0.000,-1.248,
2025:07:10:35:23:804,-42.496,-1.621,0.990,0.086,0.000,-0.235,0.250,0.483,0.000,-1.248,
2025:07:10:35:23:826,-42.494,-1.621,0.983,0.042,0.000,-0.128,0.135,0.483,0.000,-1.248,
2025:07:10:35:23:848,-42.493,-1.621,0.982,0.028,0.000,-0.060,0.066,0.483,0.000,-1.248,
2025:07:10:35:23:872,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.483,0.000,-1.248,
2025:07:10:35:23:894,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,-0.483,0.000,1.248,
2025:07:10:35:23:915,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,-0.483,0.000,1.248,
2025:07:10:35:23:938,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,-0.483,0.000,1.248,
2025:07:10:35:23:961,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,-0.483,0.000,1.248,
2025:07:10:35:23:983,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,-0.483,0.000,1.248,
2025:07:10:35:24:005,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:24:026,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:24:049,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:24:071,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:24:093,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:07:10:35:24:115,-42.493,-1.621,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
