TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:23:43:239,0.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:354,0.000,135.000,0.000,0.635,-0.064,-0.770,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:496,355.427,252.334,356.324,-0.975,0.020,-0.221,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:545,355.564,251.931,355.911,-0.972,0.017,-0.235,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:608,355.710,251.660,355.891,-0.971,0.014,-0.239,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:662,356.128,251.575,355.932,-0.969,0.007,-0.246,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:679,356.242,251.601,355.995,-0.969,0.005,-0.247,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:703,356.256,251.735,356.033,-0.970,0.004,-0.244,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:724,356.234,251.848,356.032,-0.970,0.019,-0.241,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:746,356.200,252.040,356.074,-0.970,0.065,-0.233,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:768,356.153,252.206,356.136,-0.970,0.084,-0.228,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:790,356.072,252.417,356.182,-0.968,0.113,-0.223,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:811,355.906,252.672,356.125,-0.969,0.116,-0.218,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:23:44:835,355.540,252.854,356.040,-0.967,0.138,-0.213,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
