TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:16:23:43:239,-44.000,0.000,0.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:16:23:44:354,-44.000,-0.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:496,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:545,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:608,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:662,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:679,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:703,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:724,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:746,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:768,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:790,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:811,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:835,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:854,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:876,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:898,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:920,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:943,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:966,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:44:986,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:009,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:032,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:053,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:076,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:099,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:119,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:142,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:165,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:187,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:215,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:237,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:260,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:281,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:303,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:326,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:348,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:371,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:394,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:415,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:437,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:458,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:481,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:504,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:527,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:548,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:570,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:592,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:615,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:636,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:659,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:681,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:703,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:726,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:748,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:770,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:792,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:814,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:836,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:859,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:882,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:903,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:927,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:947,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:969,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:45:993,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:015,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:038,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:058,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:081,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:104,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:127,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:148,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:170,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:194,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:215,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:235,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:257,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:289,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:312,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:334,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:355,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:377,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:399,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:421,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:445,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:466,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:488,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:510,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:532,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:23:46:554,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
