TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:21:21:057,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:21:22:269,0.000,160.000,0.000,0.377,-0.082,-0.923,-40.670,0.823,-3.494,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:21:22:359,348.692,158.501,0.468,0.362,0.116,-0.925,-41.590,0.351,-1.323,车中车厢内部上部条纹,-40.723,0.628,-3.538,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:392,348.700,158.567,0.383,0.368,0.116,-0.923,-41.574,0.353,-1.322,车中车厢内部上部条纹,-40.690,0.632,-3.538,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:444,348.653,158.608,0.287,0.363,0.118,-0.924,-41.588,0.357,-1.321,车中车厢内部上部条纹,-40.717,0.641,-3.537,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:493,348.570,158.702,0.212,0.363,0.120,-0.924,-41.588,0.363,-1.320,车中车厢内部上部条纹,-40.716,0.652,-3.536,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:513,348.520,158.677,0.215,0.365,0.122,-0.923,-41.583,0.366,-1.319,车中车厢内部上部条纹,-40.705,0.659,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:535,348.484,158.646,0.201,0.368,0.124,-0.922,-41.577,0.372,-1.317,车中车厢内部上部条纹,-40.693,0.671,-3.534,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:558,348.465,158.608,0.186,0.367,0.127,-0.922,-41.579,0.379,-1.315,车中车厢内部上部条纹,-40.696,0.684,-3.533,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:579,348.428,158.574,0.179,0.366,0.130,-0.921,-41.581,0.385,-1.314,车中车厢内部上部条纹,-40.699,0.697,-3.531,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:602,348.405,158.540,0.159,0.366,0.131,-0.921,-41.581,0.388,-1.313,车中车厢内部上部条纹,-40.698,0.703,-3.531,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:623,348.373,158.518,0.141,0.366,0.132,-0.921,-41.581,0.390,-1.312,车中车厢内部上部条纹,-40.699,0.708,-3.529,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:646,348.377,158.498,0.149,0.365,0.132,-0.922,-41.584,0.390,-1.312,车中车厢内部上部条纹,-40.706,0.708,-3.529,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:668,348.379,158.480,0.172,0.366,0.132,-0.921,-41.581,0.389,-1.312,车中车厢内部上部条纹,-40.699,0.706,-3.530,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:691,348.374,158.470,0.178,0.366,0.131,-0.921,-41.581,0.387,-1.313,车中车厢内部上部条纹,-40.699,0.702,-3.531,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:712,348.395,158.470,0.174,0.367,0.127,-0.922,-41.579,0.378,-1.316,车中车厢内部上部条纹,-40.696,0.682,-3.533,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:735,348.394,158.471,0.167,0.368,0.125,-0.921,-41.575,0.374,-1.317,车中车厢内部上部条纹,-40.688,0.675,-3.533,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:757,348.407,158.469,0.168,0.368,0.124,-0.921,-41.574,0.371,-1.318,车中车厢内部上部条纹,-40.688,0.668,-3.534,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:778,348.432,158.484,0.166,0.369,0.122,-0.921,-41.572,0.367,-1.319,车中车厢内部上部条纹,-40.683,0.660,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:802,348.468,158.501,0.179,0.370,0.120,-0.921,-41.568,0.362,-1.320,车中车厢内部上部条纹,-40.678,0.650,-3.536,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:824,348.518,158.529,0.196,0.370,0.118,-0.922,-41.569,0.358,-1.321,车中车厢内部上部条纹,-40.679,0.641,-3.537,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:845,348.572,158.569,0.228,0.363,0.112,-0.925,-41.587,0.342,-1.325,车中车厢内部上部条纹,-40.717,0.609,-3.540,隧道,0.000,0.000,0.000,Null,
2025:06:10:21:22:869,348.670,158.629,0.241,0.301,0.061,-0.952,-41.047,0.362,-3.564,隧道,-41.748,0.220,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:21:22:890,348.786,158.696,0.243,0.245,0.001,-0.969,-41.319,0.085,-3.592,隧道,-41.748,0.220,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:21:22:912,348.941,158.808,0.247,0.212,-0.024,-0.977,-41.476,-0.029,-3.597,隧道,-41.748,0.220,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
