TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:22:18:078,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:22:19:247,0.000,160.000,0.000,0.270,-0.065,-0.961,-41.227,0.816,-3.496,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:22:19:350,355.319,80.057,359.440,0.996,0.015,0.086,-13.121,0.525,3.548,隧道,-38.587,0.136,1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:16:22:19:440,354.142,81.412,359.129,0.998,0.035,0.059,-3.977,1.423,3.302,隧道,-37.395,0.252,1.317,车中车厢左车门3-2,-37.338,0.254,1.320,车中车厢左车门3-1,
2025:06:16:22:19:503,353.762,82.097,359.379,0.998,0.042,0.055,-3.594,1.707,3.150,隧道,-36.962,0.305,1.317,车中车厢左车门3-1,-37.338,0.254,1.320,车中车厢左车门3-1,
2025:06:16:22:19:556,353.839,82.146,359.595,0.998,0.039,0.054,-36.641,0.301,1.328,车中车厢内部上部条纹,-2.165,1.641,3.185,隧道,0.057,1.727,3.305,隧道,
2025:06:16:22:19:580,353.905,81.823,359.880,0.998,0.037,0.059,-4.461,1.493,3.264,隧道,-37.372,0.264,1.316,车中车厢左车门3-2,-37.328,0.266,1.319,车中车厢左车门3-1,
2025:06:16:22:19:601,353.893,81.630,359.955,0.997,0.038,0.069,-9.089,1.332,3.340,隧道,-38.025,0.242,1.323,车中车厢左车门3-2,-37.355,0.267,1.370,车中车厢左车门3-1,
2025:06:16:22:19:631,353.956,81.211,0.095,0.995,0.036,0.094,-16.810,1.013,3.437,隧道,-38.957,0.203,1.344,车中车厢内部窗户皮,-38.041,0.238,1.383,车中车厢左车门3-2,
2025:06:16:22:19:660,354.132,80.896,0.039,0.993,0.033,0.114,-19.943,0.816,3.596,隧道,-20.743,0.789,3.504,隧道,-39.533,0.171,1.347,车中车厢内部窗户皮,
2025:06:16:22:19:688,354.303,80.651,359.910,0.992,0.029,0.125,-22.382,0.661,3.535,隧道,-39.768,0.154,1.349,车中车厢内部窗户皮,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:717,354.511,80.369,359.745,0.990,0.024,0.136,-24.035,0.525,3.548,隧道,-39.987,0.136,1.351,车中车厢内部窗户皮,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:738,354.577,80.322,359.660,0.990,0.022,0.139,-24.396,0.484,3.552,隧道,-40.035,0.131,1.351,车中车厢内部窗户皮,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:762,354.727,80.228,359.537,0.990,0.019,0.143,-24.794,0.418,3.559,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:783,354.856,80.212,359.508,0.989,0.016,0.146,-25.128,0.357,3.565,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:805,355.081,80.161,359.478,0.989,0.012,0.147,-25.193,0.288,3.572,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:829,355.389,80.140,359.508,0.989,0.005,0.150,-25.545,0.163,3.584,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:850,355.746,80.130,359.551,0.989,-0.002,0.151,-25.530,0.052,3.595,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:871,356.060,80.221,359.584,0.989,-0.008,0.150,-25.413,-0.052,3.595,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:895,356.300,80.404,359.572,0.989,-0.013,0.148,-25.277,-0.141,3.586,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:917,356.542,80.699,359.505,0.989,-0.018,0.144,-24.817,-0.238,3.577,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:937,356.730,81.078,359.440,0.990,-0.026,0.138,-24.191,-0.394,3.561,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:962,357.191,81.603,359.294,0.990,-0.045,0.131,-23.576,-0.774,3.509,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:19:983,357.453,82.104,359.281,0.991,-0.058,0.124,-23.134,-1.052,3.425,隧道,-24.636,0.448,3.556,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:20:005,357.597,82.757,359.280,0.991,-0.066,0.114,-38.909,-0.149,1.414,车中部车厢窗户外皮,-21.971,-1.270,3.359,隧道,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:20:027,357.999,83.512,359.231,0.992,-0.078,0.103,-21.218,-1.592,3.212,隧道,-38.900,-0.194,1.375,车中车厢内部窗户皮,-39.567,0.168,1.348,车中车厢内部窗户皮,
2025:06:16:22:20:051,358.310,84.521,359.235,0.992,-0.087,0.087,-19.251,-1.943,3.035,隧道,-38.151,-0.289,1.382,车中车厢内部窗户皮,-38.050,-0.298,1.391,车中车厢左车门3-2,
2025:06:16:22:20:072,358.607,85.522,359.286,0.993,-0.095,0.071,-36.656,-0.464,1.421,车中部车厢窗户外皮,-17.775,-2.261,2.779,隧道,-19.025,-2.142,2.689,隧道右侧空气墙,
2025:06:16:22:20:095,358.844,86.567,359.331,0.993,-0.105,0.058,-17.014,-2.597,2.483,隧道,-21.325,-2.142,2.232,隧道右侧空气墙,-36.223,-0.537,1.400,车中车厢内部窗户皮,
2025:06:16:22:20:117,359.150,87.751,359.345,0.993,-0.114,0.040,-34.409,-0.833,1.324,车中车厢座椅,-16.022,-2.944,2.061,隧道,-15.966,-2.950,2.063,道床,
2025:06:16:22:20:138,359.615,89.135,359.378,0.992,-0.130,0.000,-28.732,-1.701,1.003,车中车内底板.001,-31.524,-1.336,1.003,车中车厢座椅,-15.433,-3.440,1.003,隧道,
2025:06:16:22:20:160,359.795,90.002,359.476,0.979,-0.162,-0.121,-31.594,-1.701,-0.326,车中车内底板.001,-34.510,-1.219,0.034,116,-32.569,-1.540,-0.206,6,
2025:06:16:22:20:183,359.992,91.079,359.593,0.970,-0.167,-0.176,-31.989,-1.701,-0.886,车中车内底板.001,-37.554,-0.745,0.125,84,-33.116,-1.508,-0.681,78,
