TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:16:18:17:253,-44.000,0.000,0.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:16:18:18:433,-44.000,-0.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:572,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:612,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:678,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:723,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:741,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:820,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:842,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:864,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:885,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:908,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:929,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:952,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:972,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:18:996,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:018,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:041,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:070,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:092,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:113,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:135,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:156,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:180,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:201,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:224,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:246,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:269,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:292,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:314,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:336,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:357,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:379,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:402,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:424,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:447,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:468,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:491,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:513,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:534,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:558,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:579,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:601,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:625,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:647,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:668,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:692,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:714,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:735,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:758,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:779,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:801,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:823,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:847,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:868,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:892,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:913,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:935,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:958,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:19:979,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:003,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:024,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:046,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:067,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:089,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:112,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:132,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:155,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:177,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:199,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:223,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:245,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:266,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:289,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:312,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:332,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:18:20:355,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
