TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:06:05:327,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:06:06:637,0.000,160.000,0.000,0.162,0.050,-0.985,-41.763,1.421,-3.303,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:06:06:744,29.027,151.685,4.318,0.258,-0.416,-0.872,-41.359,-1.650,-2.755,planty,-41.359,-1.650,-2.755,应急疏散平台,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:793,20.935,153.575,4.035,0.249,-0.286,-0.925,-41.294,-1.232,-3.370,隧道,-41.380,-1.133,-3.050,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:847,15.338,155.930,3.723,0.222,-0.194,-0.956,-41.411,-0.819,-3.559,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:895,12.910,157.253,3.161,0.196,-0.154,-0.968,-41.551,-0.622,-3.539,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:925,8.893,159.173,3.251,0.150,-0.084,-0.985,-41.773,-0.299,-3.571,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:946,7.084,160.237,3.051,0.128,-0.053,-0.990,-41.876,-0.161,-3.584,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:968,5.463,161.153,2.887,0.102,-0.025,-0.994,-41.994,-0.034,-3.597,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:06:989,4.171,161.878,2.789,0.089,-0.003,-0.996,-42.054,0.063,-3.594,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:012,3.032,162.532,2.849,0.080,0.016,-0.997,-42.098,0.152,-3.585,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:035,2.219,163.136,2.924,0.084,0.030,-0.996,-42.084,0.212,-3.579,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:056,1.667,163.681,2.815,0.079,0.039,-0.996,-42.105,0.250,-3.575,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:079,1.208,164.198,2.470,0.083,0.044,-0.996,-42.089,0.276,-3.573,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:102,0.635,164.706,1.956,0.082,0.052,-0.995,-42.094,0.310,-3.569,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:124,359.879,165.130,1.491,0.074,0.063,-0.995,-42.131,0.360,-3.565,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:145,359.222,165.515,1.162,0.085,0.054,-0.995,-42.084,0.319,-3.569,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:168,358.625,165.942,0.855,0.085,0.054,-0.995,-42.087,0.319,-3.569,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:191,358.040,166.420,0.563,0.090,0.049,-0.995,-42.067,0.297,-3.571,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:214,357.466,167.027,0.247,0.088,0.049,-0.995,-42.074,0.297,-3.571,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:235,356.939,167.709,0.012,0.093,0.040,-0.995,-42.053,0.259,-3.575,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:257,356.496,168.561,359.828,0.085,0.040,-0.996,-42.091,0.256,-3.575,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:279,356.340,169.468,359.636,0.073,0.038,-0.997,-42.149,0.249,-3.575,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:301,356.125,170.520,359.439,0.049,-0.018,-0.999,-42.259,-0.004,-3.600,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:324,356.098,171.658,359.333,-0.043,-0.049,-0.998,-42.670,-0.139,-3.586,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:352,356.230,173.032,359.276,-0.141,-0.085,-0.986,-43.113,-0.302,-3.570,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:374,356.148,173.699,359.416,-0.198,-0.081,-0.977,-43.379,-0.287,-3.572,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:395,356.159,174.663,359.564,-0.240,-0.095,-0.966,-43.585,-0.356,-3.565,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:418,356.175,175.395,359.642,-0.239,-0.089,-0.967,-43.581,-0.330,-3.567,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:441,356.121,176.327,359.570,-0.241,-0.086,-0.967,-43.590,-0.315,-3.569,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:461,355.994,177.210,359.576,-0.240,-0.080,-0.968,-43.588,-0.287,-3.572,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:485,355.919,178.039,359.698,-0.231,-0.076,-0.970,-43.547,-0.268,-3.574,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:506,355.799,178.881,359.941,-0.234,-0.073,-0.969,-43.566,-0.255,-3.575,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:528,355.857,179.749,0.275,-0.248,-0.072,-0.966,-43.637,-0.253,-3.575,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:550,356.045,180.657,0.521,-0.248,-0.076,-0.966,-43.639,-0.271,-3.573,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
2025:06:15:06:07:573,356.338,181.585,0.772,-0.258,-0.082,-0.963,-43.690,-0.296,-3.571,隧道,-41.406,-0.824,-3.581,应急疏散平台左侧空气墙,-41.258,-1.812,-3.094,隧道,
