TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:15:06:05:327,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:15:06:06:637,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:744,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:793,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:847,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:895,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:925,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:946,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:968,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:06:989,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:012,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:035,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:056,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:079,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:102,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:124,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:145,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:168,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:191,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:214,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:235,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:257,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:279,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:301,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:324,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:352,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:374,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:395,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:418,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:441,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:461,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:485,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:506,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:528,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:550,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:573,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:07:595,-42.505,-1.621,0.996,-0.325,0.000,-0.254,0.412,0.000,0.000,0.000,
2025:06:15:06:07:618,-42.509,-1.621,0.995,-0.188,0.000,-0.023,0.190,0.000,0.000,0.000,
2025:06:15:06:07:640,-42.470,-1.621,1.001,1.331,0.000,0.078,1.333,0.000,0.000,0.000,
2025:06:15:06:07:661,-42.489,-1.621,0.991,-1.140,0.000,-0.544,1.263,0.000,0.000,0.000,
2025:06:15:06:07:684,-42.494,-1.621,0.986,-0.254,0.000,-0.334,0.420,0.000,0.000,0.000,
2025:06:15:06:07:707,-42.492,-1.621,0.969,0.042,0.000,-0.311,0.314,-2.541,0.000,-3.341,
2025:06:15:06:07:728,-42.491,-1.621,0.961,0.079,0.000,-0.471,0.478,-2.541,0.000,-3.341,
2025:06:15:06:07:751,-42.490,-1.621,0.958,0.038,0.000,-0.178,0.182,-2.541,0.000,-3.341,
2025:06:15:06:07:774,-42.488,-1.621,0.952,0.036,0.000,-0.111,0.117,-2.541,0.000,-3.341,
2025:06:15:06:07:795,-42.487,-1.621,0.949,0.064,0.000,-0.163,0.175,2.902,0.000,2.231,
2025:06:15:06:07:818,-42.487,-1.621,0.948,0.030,0.000,-0.066,0.073,2.902,0.000,2.231,
2025:06:15:06:07:839,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,2.902,0.000,2.231,
2025:06:15:06:07:861,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,2.902,0.000,2.231,
2025:06:15:06:07:884,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,2.902,0.000,2.231,
2025:06:15:06:07:907,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,-0.362,0.000,1.111,
2025:06:15:06:07:929,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,-0.362,0.000,1.111,
2025:06:15:06:07:942,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,-0.362,0.000,1.111,
2025:06:15:06:07:991,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,-0.362,0.000,1.111,
2025:06:15:06:08:009,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:08:032,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:06:08:053,-42.486,-1.621,0.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
