TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:01:59:260,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:00:437,0.000,160.000,0.000,0.426,-0.216,-0.879,-40.289,0.014,-3.599,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:00:559,42.480,39.214,359.763,0.271,-0.824,0.497,-41.674,-2.142,2.456,隧道右侧空气墙,-41.577,-2.437,2.634,隧道,-42.275,-0.317,1.355,车中车厢左车门4-1,
2025:06:15:02:00:605,41.727,37.098,358.650,0.257,-0.820,0.512,-41.714,-2.142,2.506,隧道右侧空气墙,-41.634,-2.399,2.666,隧道,-42.292,-0.296,1.354,车中车厢左车门4-1,
2025:06:15:02:00:656,41.433,36.502,358.415,0.257,-0.823,0.507,-41.716,-2.142,2.488,隧道右侧空气墙,-41.632,-2.413,2.655,隧道,-42.292,-0.300,1.354,车中车厢左车门4-1,
2025:06:15:02:00:713,40.197,34.498,357.830,0.251,-0.814,0.525,-41.731,-2.142,2.555,隧道右侧空气墙,-41.664,-2.361,2.697,隧道,-42.306,-0.276,1.352,车中车厢左车门4-1,
2025:06:15:02:00:731,39.600,33.905,357.671,0.251,-0.810,0.531,-41.729,-2.142,2.580,隧道右侧空气墙,-41.667,-2.343,2.712,隧道,-42.309,-0.268,1.352,车中车厢左车门4-1,
2025:06:15:02:00:755,39.023,33.106,357.471,0.248,-0.805,0.539,-41.735,-2.142,2.612,隧道右侧空气墙,-41.680,-2.320,2.731,隧道,-42.314,-0.259,1.351,车中车厢左车门4-1,
2025:06:15:02:00:775,38.342,32.356,357.265,0.245,-0.799,0.550,-41.738,-2.142,2.655,隧道右侧空气墙,-41.692,-2.289,2.756,隧道,-42.320,-0.247,1.351,车中车厢左车门4-1,
2025:06:15:02:00:798,37.514,31.415,357.062,0.241,-0.796,0.555,-41.749,-2.142,2.676,隧道右侧空气墙,-41.709,-2.274,2.769,隧道,-42.325,-0.240,1.350,车中车厢左车门4-1,
2025:06:15:02:00:820,36.580,30.543,356.872,0.239,-0.789,0.567,-41.721,-2.241,2.796,隧道,-42.331,-0.228,1.349,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:843,35.625,29.575,356.668,0.226,-0.758,0.612,-41.772,-2.114,2.900,隧道,-42.346,-0.190,1.347,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:864,34.733,28.668,356.471,0.232,-0.735,0.638,-41.760,-2.034,2.965,隧道,-42.350,-0.168,1.346,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:886,33.973,27.996,356.314,0.233,-0.717,0.658,-41.765,-1.968,3.010,隧道,-42.354,-0.153,1.345,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:910,33.223,27.260,356.225,0.238,-0.701,0.672,-41.757,-1.912,3.040,隧道,-42.357,-0.141,1.344,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:930,32.660,26.730,356.187,0.236,-0.695,0.679,-41.764,-1.885,3.055,隧道,-42.360,-0.136,1.344,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:953,31.685,26.045,356.107,0.238,-0.695,0.678,-41.760,-1.888,3.053,隧道,-42.361,-0.135,1.344,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:976,31.383,25.616,356.157,0.237,-0.692,0.682,-41.766,-1.876,3.060,隧道,-42.363,-0.133,1.343,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:00:998,30.509,25.158,356.167,0.240,-0.692,0.680,-41.757,-1.878,3.059,隧道,-42.363,-0.133,1.343,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:020,29.752,24.835,356.215,0.255,-0.668,0.700,-41.721,-1.797,3.102,隧道,-42.362,-0.118,1.343,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:041,29.228,24.668,356.287,0.293,-0.626,0.723,-41.615,-1.677,3.166,隧道,-42.354,-0.099,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:064,28.629,24.465,356.425,0.320,-0.606,0.728,-41.537,-1.631,3.191,隧道,-42.348,-0.091,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:086,28.213,24.476,356.570,0.329,-0.604,0.726,-41.506,-1.630,3.191,隧道,-42.345,-0.091,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:111,27.850,24.545,356.747,0.343,-0.608,0.716,-41.461,-1.656,3.177,隧道,-42.340,-0.095,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:131,27.464,24.710,357.000,0.349,-0.605,0.716,-41.440,-1.649,3.181,隧道,-42.337,-0.094,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:155,27.259,25.103,357.189,0.361,-0.609,0.706,-41.398,-1.675,3.167,隧道,-42.331,-0.099,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:175,27.057,25.530,357.418,0.368,-0.609,0.702,-41.371,-1.682,3.163,隧道,-42.327,-0.100,1.341,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:195,26.911,25.982,357.643,0.376,-0.610,0.698,-41.343,-1.691,3.158,隧道,-42.323,-0.102,1.342,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:217,26.766,26.570,357.863,0.388,-0.615,0.686,-41.298,-1.722,3.142,隧道,-42.315,-0.108,1.342,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:241,26.618,27.204,358.061,0.394,-0.616,0.682,-41.274,-1.730,3.138,隧道,-42.311,-0.110,1.342,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:261,26.555,28.052,358.329,0.404,-0.618,0.674,-41.235,-1.750,3.127,隧道,-42.304,-0.114,1.342,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:285,26.629,28.900,358.505,0.415,-0.623,0.664,-41.191,-1.780,3.111,隧道,-42.295,-0.120,1.343,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:308,26.698,29.941,358.763,0.421,-0.631,0.652,-41.158,-1.819,3.090,隧道,-42.287,-0.128,1.343,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:330,26.885,31.383,359.137,0.435,-0.637,0.637,-41.096,-1.861,3.068,隧道,-42.274,-0.137,1.344,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:351,27.205,32.813,359.464,0.471,-0.640,0.608,-40.943,-1.928,3.032,隧道,-42.249,-0.152,1.345,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
2025:06:15:02:01:375,27.858,34.470,359.844,0.513,-0.654,0.556,-40.736,-2.061,2.943,隧道,-42.209,-0.184,1.347,车中车厢左车门4-1,-42.328,-0.236,1.350,车中车厢左车门4-1,
